"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","order","continentOcean","individualCount"
"1","2019-12-12 15:31:44-03","UFABC","HUFABC","000016","PreservedSpecimen","Plantae","Angiospermas","Gesneriaceae","Sinningia","defoliata","Sinningia defoliata","(Malme) Chautems","A.O. Araujo","Araujo, AO; E.L.Borba","1188","2015","03","14","Brasil","Goiás","Paraúna","Serra das Galés, estrada de terra a direita (GO-411) depois do Km 143 da estrada Paraúna-Montividiu, afloramento escorrendo água do lado direito da estrada de terra.","-50.691583","-16.983194","-50.691583","-16.983194","709","709","Erva com tubérculo nas fendas das rochas, no paredão. Local sombreado, escorrendo água. Folhas verdes em ambas as faces. Cálice vináceo, corola vermelha, nectário formado por duas glândulas, em botão. Folhas caducas na floração. Flo","HUFABC000016","HUFABC000016 HUFABC000016_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-12 15:31:44-03","UFABC","HUFABC","000059","PreservedSpecimen","Plantae","Angiospermas","Gesneriaceae","Sinningia","defoliata","Sinningia defoliata","(Malme) Chautems",NA,"Araujo, AO; Moraes, AP; Amorim, FW","1087","2013","01","29","Brasil","Goiás","Paraúna","Serra das Galés, estrada Paraúna-Montividiu, estrada a direita depois do km 143 (estrada de terra) Afloramento escorrendo água do lado direito da estrada de terra.","-50.735111","-17.1465","-50.735111","-17.1465","752","752","Erva entre rochas, no paredão escorrendo água. Vegetativa. Apenas uma folha e um tubérculo.","HUFABC000059","HUFABC000059",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:11:16-03","ESALQ","ESA","90012","PreservedSpecimen","Plantae","Magnoliophyta","Gesneriaceae","Sinningia","defoliata","Sinningia defoliata",NA,NA,"Araújo, A.O.; Scalon, V.R.; Chautems, A. ; Tsuji, R.","502.0","2005","01","16","Brasil","Goiás","Caiapônia","Estrada de tera Caiapônia-Montividiu, entrando a direita na Fazenda Dois Irmãos, em direção aos Três Morros e andando ca. 10 km nessa estrada. Mata de galeria dentro da Fazenda Kalosmi.","-51.8102989196777","-16.9566993713379",NA,NA,"740","740","Planta com tubérculo. Frutos secos","ESA090012","ESA090012","77016","auto",NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:02:15-03","JBP","HPL","3079","S","Plantae",NA,"Gesneriaceae","Sinningia","defoliata","Sinningia defoliata","(Malme) A. Chautems","H. Lorenzi","H. Lorenzi","2769","2001","06","15","Brasil","GO","Caiaponia","Coletado sobre rochas a meia sombra.","-51.8103","-16.9567",NA,NA,NA,NA,NA,NA,NA,"77016","auto","2001","06","15",NA,NA,NA,NA
"5","2015-07-02 14:02:15-03","JBP","HPL","3080","S","Plantae",NA,"Gesneriaceae","Sinningia","defoliata","Sinningia defoliata","(Malme) A. Chautems","H. Lorenzi","E.R. Salviani & H. Lorenzi","1536","2000","07","03","Brasil","GO","Caiaponia","Coletada na Estrada para Montividim, ca. 8km a leste da estrada, nos paredões de arenito.","-51.8103","-16.9567",NA,NA,NA,NA,NA,NA,NA,"77016","auto","2000","07","03",NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","3587392","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","defoliata","Sinningia defoliata","(Malme) Chautems",NA,"L. E. Skog & J. K. Boggan","7856","1999","3","22","Brazil",NA,NA,"Smithsonian Institution Dept. of Botany Research Greenhouses, Suitland, Maryland, U.S.A.",NA,NA,NA,NA,NA,NA,NA,"US00993455","US00993455_01",NA,NA,NA,NA,NA,"Dicotyledonae","Scrophulariales","South America - Neotropics","1"
"7","2020-09-12 05:00:02-03","US","US","3457010","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","defoliata","Sinningia defoliata","(Malme) Chautems","Boggan, John K., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","A. Macedo","5855","2003","10","20","Brazil","Minas Gerais",NA,"Ituiutaba, Rua 20, 494, Apto. 1101, CEP 38300-074",NA,NA,NA,NA,NA,NA,NA,"US01948523","US01948523_01",NA,NA,NA,NA,NA,"Dicotyledonae","Scrophulariales","South America - Neotropics","1"
"8","2020-09-12 05:00:02-03","US","US","3456870","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","defoliata","Sinningia defoliata","(Malme) Chautems",NA,"A. Macedo","5814",NA,NA,NA,"Brazil","Minas Gerais","Ituiutaba","Senada Aroeira","-49.4650001525879","-18.968900680542",NA,NA,NA,NA,NA,"US01323913","US01323913_01","50022","auto",NA,NA,NA,"Dicotyledonae","Scrophulariales","South America - Neotropics","1"
"9","2020-09-12 05:00:02-03","US","US","2582509A","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","defoliata","Sinningia defoliata","(Malme) Chautems",NA,"H. S. Irwin & T. R. Soderstrom","7273","1964","10","23","Brazil","Goiás",NA,"Serra do Caiapo, ca 48 km S of Caiaponia on road to Jatai","-51.78","-17.2",NA,NA,"800","1000",NA,"US00320641","US00320641_01",NA,NA,NA,NA,NA,"Dicotyledonae","Scrophulariales","South America - Neotropics","1"
"10","2020-09-12 05:00:02-03","US","US","2197110","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","defoliata","Sinningia defoliata","(Malme) Chautems",NA,"A. Macedo","3382","1951","10","28","Brazil","Minas Gerais",NA,"Mun. of Stirtake, Serra da Aroeira",NA,NA,NA,NA,NA,NA,NA,"US00320640","US00320640_01",NA,NA,NA,NA,NA,"Dicotyledonae","Scrophulariales","South America - Neotropics","1"
