"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","locality","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","infraspecificEpithet","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","645295","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Discocactus","bahiensis","Discocactus bahiensis","Britton & Rose","N. P. Taylor; D. C. Zappi","J. N. Rose","19764","1915","06","02","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645295","NY00645295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","120680","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Discocactus","bahiensis","Discocactus bahiensis","Britton & Rose","Unspecified Determiner","J. N. Rose","19783","1915","06","02","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00120680","NY00120680_01","possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","120681","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Discocactus","bahiensis","Discocactus bahiensis","Britton & Rose","Unspecified Determiner","J. N. Rose","19783","1915",NA,NA,"South America","Brazil","Bahia","sheet","Additional collection data on label: 42846. Flowered and painted Apr. 24, 1916. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00120681","NY00120681_01","possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0244353","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","bahiensis","Discocactus bahiensis","Britton & Rose","Taylor NP","Horst L; Uebelmann W",NA,NA,NA,NA,"Southern America","Brazil","Bahia",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200244353 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0244353",NA,NA,"Magnoliopsidae","1991","10","01","Massaroca, Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:16:31-03","UFV","VIC","43975","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","bahiensis","Discocactus bahiensis","Britton & Rose",NA,"Machado, M.; et al.","203","2014","03","30",NA,"Brasil","Bahia",NA,NA,"VIC043975",NA,NA,NA,NA,NA,NA,"Juremal, Ca 12 km na estrada para Abreus","Juazeiro","-40.4986000061035","-9.41166973114014","76509","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:16:31-03","UFV","VIC","39979","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","bahiensis","Discocactus bahiensis","Britton & Rose","M.R.Santos","Santos, M.R.","98","2011","04","16",NA,"Brasil","Bahia",NA,"Caatinga, solo argiloso-pedregoso,globoso","VIC039979",NA,NA,NA,NA,NA,NA,NA,"Morro do Chapéu","-41.1561012268066","-11.5500001907349","98143","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:16:31-03","UFV","VIC","39977","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","bahiensis","Discocactus bahiensis","Britton & Rose","M.R.Santos","Santos, M.R.","BR004","2012",NA,NA,NA,"Brasil","Bahia",NA,"703m,Caatinga,globoso","VIC039977",NA,NA,NA,NA,NA,NA,NA,"Morro do Chapéu, São Rafael",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:16:31-03","UFV","VIC","39978","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","bahiensis","Discocactus bahiensis","Britton & Rose","M.R.Santos","Meiado, M.V.","751","2011","12","03",NA,"Brasil","Bahia",NA,"Caatinga,globoso","VIC039978",NA,NA,NA,NA,NA,NA,NA,"Juazeiro","-40.4986000061035","-9.41166973114014","76509","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-21 19:33:24-03","UFC","EAC","44377","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Discocactus","bahiensis","Discocactus bahiensis","Britton & Rose","Menezes, M.O.T.","Menezes, M.O.T.; Taylor, N.P.; Machado, M.; Moro, M.F.; Castro, A.S.F.; Cardoso, D.T.","195","2009","01","25","Southern America","Brasil","Ceará",NA,"Herbáceo, flor branca, cefálio com lã branca suave, ocorrendo com C. jamaracu e P. gounellei; Caatinga/Cerrado","EAC0044377","EAC0044377",NA,NA,"2009","01","27","Sítio Espraiado, 1km da sede do município, Substrato argiloso, muito pedregoso","Lavras da Mangabeira","-38.977778","-6.7425",NA,NA,"-38.977778","-6.7425","262","262",NA,NA,NA,NA
"10","2021-03-21 19:33:24-03","UFC","EAC","19121","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Discocactus","bahiensis","Discocactus bahiensis","Britton & Rose","Menezes, M.O.T.","Figueiredo, M.A.","s.n.","1993","02","05","Southern America","Brasil","Ceará",NA,"Transição cerrado/caatinga","EAC0019121","EAC0019121",NA,NA,"2011","11","28","Próximo ao rio Salgado","Lavras da Mangabeira","-38.9644012451172","-6.75333023071289","29929","auto",NA,NA,NA,NA,NA,NA,NA,NA
