"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","class","identifiedBy","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber"
"1","2016-09-29 21:11:00-03","NY","NYBG","00864481","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","surrectum","Dichanthelium surrectum","M. A. Chase","9380","1925","04","08","South America","Brazil","Minas Gerais","Ouro Preto","Itacolumy (East of Ouro Preto)","-43.5081","-20.2878","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864481","NY00864481_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-28 13:46:00-03","NY","NYBG","784215","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","surrectum","Dichanthelium surrectum","L. B. Smith","9435","1956","12","26","South America","Brazil","Santa Catarina","Chapecó","Fazenda Campo Sao Vicente, 24 km west of Campo Erê","-53.18","-26.37","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70833' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784215","NY00784215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","784211","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","surrectum","Dichanthelium surrectum","W. Hoehne","s.n.","1948","12","30","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo, SP. Prox. a Congonhas","-46.660488","-23.627973",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784211","NY00784211_01","(Chase ex Zuloaga & Morrone) Zuloaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 21:11:00-03","NY","NYBG","00864457","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","surrectum","Dichanthelium surrectum","M. A. Chase","9555","1925","04","19","South America","Brazil","Minas Gerais",NA,"Summit Chapadao Serra da Gramma","-42.478219","-20.753455","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864457","NY00864457_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00864626","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","surrectum","Dichanthelium surrectum","H. S. Irwin","28942","1971","01","23","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, lower slopes of Serra da Caraça, ca. 10 km W. of Barão de Cocais","-43.4927778","-20.1263","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957016' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864626","NY00864626_01","(Chase ex Zuloaga & Morrone) Zuloaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00864455","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","surrectum","Dichanthelium surrectum","H. S. Irwin","5419","1964","08","21","South America","Brazil","Distrito Federal","Brasília","Ca. 35 km E. of Brasília.","-47.7","-15.62","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864455","NY00864455_01","(Chase ex Zuloaga & Morrone) Zuloaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","784214","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","surrectum","Dichanthelium surrectum","P. K. H. Dusén","17531","1916","01","25","South America","Brazil","Paraná","Três Barras do Paraná","Tres Barras","-53.1806","-25.4192",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784214","NY00784214_01","(Chase ex Zuloaga & Morrone) Zuloaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 21:11:00-03","NY","NYBG","00864482","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","surrectum","Dichanthelium surrectum","W. R. Anderson","36397","1972","02","20","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó","-43.567098","-19.391463","1220","1220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864482","NY00864482_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 13:46:00-03","NY","NYBG","784216","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","surrectum","Dichanthelium surrectum","L. B. Smith","8710","1956","12","18","South America","Brazil","Santa Catarina","Porto Uniao","Fazenda Frei Rogerio, 12 km southeast of Pôrto Uniao","-51.0781","-26.2383","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784216","NY00784216_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-28 13:46:00-03","NY","NYBG","784212","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Dichanthelium","surrectum","Dichanthelium surrectum","M. A. Chase","9815","1925","05","20","South America","Brazil","São Paulo",NA,"Campos do Jordao, Serra Mantiqueira",NA,NA,"1580","1580","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784212","NY00784212_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
