"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","fieldNumber","class","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","800718","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","mosenii","Mikania mosenii","Malme","W. C. Holmes","S. A. Mori","14395","1981","06","13","South America","Brazil","Bahia","Lençóis","Vicinity of Lençois, on trail to Barro Branco, ca 5 km N of Lençois","-41.3897","-12.5633","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800718","NY00800718_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-07 00:49:05-03","UFBA","ALCB","038048a","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","mosenii","Mikania mosenii","Malme","Gandara, A","Guedes, ML; Guaré, F; Roque, NF; Martins, DV; Muniz, CV","6103a","1998","09","19","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai In cio","-41.466667","-12.45",NA,"caule vináceo. Folhas discolores, semi-crassas. Inflorescências novas esverdeadas.",NA,NA,"2017","01","-41.466667","-12.45","1086","1086",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:24:46-03","UNICAMP","UEC","2201","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","mosenii","Mikania mosenii","Malme","Nakajima, JN","Hatschbach, G","26593","1971","03","24",NA,"Brazil","Paraná","Rio Branco do Sul","Santa Cruz.","-49.3142013549805","-25.1900005340576",NA,"Ereta, até 70 cm alt, capítulos creme.; Campo encosta de pequenos morros.","UEC125776","UEC125776","1999","02",NA,NA,NA,NA,"37352","auto",NA,NA,NA,NA,NA
"4","2015-09-04 06:07:27-03","MNHN","RECOLNAT_MNHN_P","P02410347","PreservedSpecimen",NA,NA,NA,"Asteraceae","Mikania","mosenii","Mikania mosenii","Malme","Roque","Mosén",NA,"1876","1","25",NA,"Brésil",NA,NA,"Prov. Minas Geraes, Serra de Caldas",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02410347' target='other'> <mi>dwc_moreinfo</mi></a>","P02410347","P02410347_01 P02410347_02",NA,NA,NA,NA,NA,NA,NA,NA,"type","4204",NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","3491954","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Mikania","mosenii","Mikania mosenii","Malme",NA,"R. Romero, J. N. Nakajima, E. Zanini & R. Cesar","1988","1995","3","17","South America - Neotropics","Brazil","Minas Gerais",NA,"Estrada para Sacramento, vale da nascente do rio São Francisco, parna Serra da Canastra, São Roque de Minas",NA,NA,NA,NA,"US01673813","US01673813_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"6","2019-11-01 14:54:17-03","UnB","UB","123019","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Mikania","mosenii","Mikania mosenii","Malme",NA,"Duarte, AP","8673","1965","01","05","Southern America","Brasil","Minas Gerais",NA,"Barbacena a Vasconcelos",NA,NA,NA,"Subarbusto; Campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-05-06 11:53:46-03","UFU","HUFU","74506","S","Plantae",NA,NA,"Asteraceae","Mikania","mosenii","Mikania mosenii","Malme","Oliveira, C.T.","Lopes, I.T.F.V.; Cândido, J.B.","160","2013","03","16",NA,"Brasil","Minas Gerais","Rio Paranaíba","Após cemitério da Paz.","-46.247200012207","-19.1935997009277",NA,"Subarbusto, ca. 0,60m altura, ramos glabrescentes, verdes, folhas levemente discolores, brácteas involucrais verde claro a alvas, flores brancas, pápus creme.; Fragmento de Cerrado. Área brejosa.","HUFU00073472","HUFU00073472","2013","05",NA,NA,NA,NA,"29416","auto",NA,NA,NA,NA,"20"
"8","2019-05-06 11:53:46-03","UFU","HUFU","12537","S","Plantae",NA,NA,"Asteraceae","Mikania","mosenii","Mikania mosenii","Malme","Nakajima, J.N.","Romero, R.; Nakajima, J.N.","3328","1996","03","19",NA,"Brasil","Minas Gerais","São Roque de Minas","Morro em frente à sede administrativa, E ao centro de visitantes.","-46.3657989501953","-20.2453002929688",NA,"Herbáceo, ca. 0,6 m. Brácteas esverdeadas, corola e estigma creme.; Campo limpo. Solo pedregoso.","HUFU00058423","HUFU00058423","1998","07",NA,NA,NA,NA,"57119","auto",NA,NA,NA,NA,NA
"9","2019-05-06 11:53:46-03","UFU","HUFU","8258","S","Plantae",NA,NA,"Asteraceae","Mikania","mosenii","Mikania mosenii","Malme","Nakajima, J.N.","Romero, R.; Nakajima, J.N.; Zanini, E. & César, R.","1988","1995","03","17",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada para Sacramento, 3 km da sede administrativa.","-46.3657989501953","-20.2453002929688",NA,"Herbáceo, ca. 0,5 m. Brácteas esverdeadas. Papilho creme.; Campo limpo, 5 meses após queimada.","HUFU00058367","HUFU00058367","1998","05",NA,NA,NA,NA,"57119","auto",NA,NA,NA,NA,NA
"10","2019-05-06 11:53:46-03","UFU","HUFU","41195","S","Plantae",NA,NA,"Asteraceae","Mikania","mosenii","Mikania mosenii","Malme","Nakajima, J.N.","Roschel, M.B.; Silva, J.L.","s.n.","2002","03","12",NA,"Brasil","Minas Gerais","Uberaba","Horto Florestal Barreira do Eli, Jazida do posto Paraíso.","-47.9319000244141","-19.7483005523682",NA,"Flores alvacentas.; Sobre murundum em área de cerrado.","HUFU00048256","HUFU00048256","2005","07",NA,NA,NA,NA,"73879","auto",NA,NA,NA,NA,NA
