"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01066885","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen","isotype","J. R. Swallen","7790","1945","12","19","South America","Brazil","Rio Grande do Sul","Fazenda da Brigada, Passo Fundo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205006' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066885","NY01066885_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:26:04-03","IAP","PACA-AGP","30723","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Rambo, B.",NA,"1946","01","28",NA,"Brasil","RS","Vila Oliva",NA,"Habitat: in campestribus siccis Fenofase: fruto","PACA030723",NA,"Liliatae","R. C. Oliveira","2001","04","Caxias do Sul","-51.1794013977051","-29.1681003570557","49662","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:26:04-03","IAP","PACA-AGP","54724","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Paspalum","compressifolium","Paspalum compressifolium glabrum","Mech.",NA,"Rambo, B.",NA,"1954","01","01",NA,"Brasil","RS","Faz. Englert",NA,"Habitat: in campestribus alte graminosis Fenofase: flor","PACA054724",NA,"Liliatae","R. C. Oliveira","2001","04","São Francisco de Paula","-50.5835990905762","-29.4480991363525","76715","auto","glabrum",NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:26:04-03","IAP","PACA-AGP","54681","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Rambo, B.",NA,"1954","01","01",NA,"Brasil","RS","Faz. Englert",NA,"Habitat: in campestribus dense graminosis Fenofase: fruto","PACA054681",NA,"Liliatae","R. C. Oliveira","2001","04","São Francisco de Paula","-50.5835990905762","-29.4480991363525","76715","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:42:54-03","UFJF","CESJ","23797","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"L. Krieger","CESJ23797","1988","12","26","América do Sul","Brasil","Paraná",NA,NA,"No campo. Pequenas touceiras. Base dos colmos e folhas arroxeados.","CESJ023797",NA,NA,"P.L. Viana","2008","08","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:01:33-03","UNICAMP","UEC","117997","S","Plantae","Liliopsida",NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Valls, JFM; Souza-Chies, T; Palmieri, DA","14202","1998","12","12",NA,"Brazil","Rio Grande do Sul","Na saída de Passo Fundo para Soledade.&nf;Área urbana.&nf;Solo argiloso arenoso, friável, vermelho escuro.&nf;Relevo suave ondulado.",NA,"Planta forrageira.&nf;Erva cespitosa com folhagem glauca. Colmos achatados.","UEC088676","UEC088676",NA,"Valls, JFM","1998","12","Passo Fundo","-52.451944","-28.282222",NA,NA,NA,"12","-52.451944","-28.282222","670","670",NA,NA
"7","2019-08-16 08:40:39-03","UTFPR","HCF","10288","S","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"M.G. Caxambu","3741","2012","02","03",NA,"Brasil","PR","Ponte dos Arcos",NA,"erva ereta, heliófita, palustre,com sementes de cor verde a castanha.",NA,NA,NA,"J. Cordeiro","2014",NA,"Balsa Nova","-49.806722","-25.552889",NA,NA,NA,NA,"49°48'24,2 W","25°33'10,4 S","831","831",NA,NA
"8","2021-01-27 14:32:56-03","UFSM","SMDB","17083","S","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Scherer, HJ","92","2014","10","08",NA,"Brasil","Rio Grande do Sul","Morro Pedra do Lagarto, Distrito de Santo Antão",NA,"Bainha foliar formando leque. Material testemunho de trabalho de Conclusão do Curso de Ciências Biológicas / Bacharelado - UFSM. Aluna: Hulia J. Scherer. Orientadora: Profa. Dra. Liliana Essi","SMDB017083",NA,NA,"Scherer, HJ","2016","04","Santa Maria","-53.8069000244141","-29.6842002868652","37819","auto",NA,"28",NA,NA,NA,NA,NA,NA
"9","2021-01-27 14:32:56-03","UFSM","SMDB","17082","S","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Scherer, HJ","90","2014","10","08",NA,"Brasil","Rio Grande do Sul","Morro Pedra do Lagarto, Distrito de Santo Antão",NA,"Bainhas foliares achatadas, desenvolvendo-se em forma de leque. Material testemunho de trabalho de Conclusão do Curso de Ciências Biológicas / Bacharelado - UFSM. Aluna: Hulia J. Scherer. Orientadora: Profa. Dra. Liliana Essi","SMDB017082",NA,NA,"Scherer, HJ","2016","04","Santa Maria","-53.8069000244141","-29.6842002868652","37819","auto",NA,"27",NA,NA,NA,NA,NA,NA
"10","2021-01-27 14:32:56-03","UFSM","SMDB","17490","S","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Longhi-Wagner, HM","9431","2005","03","07",NA,"Brasil","Paraná","Parque Estadual de Vila Velha, BR 376",NA,"Dupl. CEN. SI. Doação do ICN 136688","SMDB017490",NA,NA,NA,"2005",NA,"Ponta Grossa","-50.018611","-25.249722",NA,NA,NA,NA,"-50.018611","-25.249722","800","800",NA,NA
"11","2021-01-27 14:32:56-03","UFSM","SMDB","15053","S","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Rua, GH; et al.","883","2007","04","04",NA,"Brasil","Brasília","Fazenda Sucupira, estrada de acesso desde Riacho F",NA,"Relêvo ondulado. Frequente; hábito: cespitosa perene. Cerrado em encosta a direita (W) da estrada.Participante: Gabriel H. Rua; Clarissa Gouveia. Fontes: Daniela V. de Oliveira, João Benedito Pereira.Patrocinadores: EMBRAPA- CENARGEN","SMDB015053",NA,NA,NA,NA,NA,"Distrito Federal","-48","-15",NA,NA,NA,NA,"-48","-15",NA,NA,NA,NA
"12","2021-02-03 11:08:10-03","UFSM","SMDB","17590","S","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Longhi-Wagner, HM","9909","2005","11","25",NA,"Brasil","Rio Grande do Sul","para Tainhas (coleta com BOT-59)",NA,"ICN 142446","SMDB017590",NA,NA,"Longhi-Wagner, HM",NA,NA,"São Francisco de Paula","-50.5835990905762","-29.4480991363525","76715","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:40:46-03","MBM","MBM","207567","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Dombrowski, L.T.","1453",NA,NA,NA,"Southern America","Brazil","Paraná","Campo Comprido",NA,NA,"MBM207567","MBM207567",NA,"Oliveira, R.C.",NA,NA,"Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:40:46-03","MBM","MBM","161337","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Cervi, A.C.; Pott, A.; Pott, A.","3548",NA,NA,NA,"Southern America","Brazil","Paraná","Ponte do Rio das Mortes",NA,NA,"MBM161337","MBM161337",NA,"Oliveira, R.C.",NA,NA,"Jaguariaíva","-49.7057991027832","-24.2511005401611","44368","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:40:46-03","MBM","MBM","34494","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Hatschbach, G.; Pedersen, T.M.; Pedersen, T.M.","35892",NA,NA,NA,"Southern America","Brazil","Paraná","Córrego da Anta",NA,NA,"MBM034494","MBM034494",NA,"Oliveira, R.C.",NA,NA,"Palmeira","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:40:46-03","MBM","MBM","24891","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Hatschbach, G.","9644",NA,NA,NA,"Southern America","Brazil","Paraná","Rodovia do Café, Rio Tibagi",NA,NA,"MBM024891","MBM024891",NA,"Oliveira, R.C.",NA,NA,"Palmeira","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:40:46-03","MBM","MBM","24874","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Hatschbach, G.","173",NA,NA,NA,"Southern America","Brazil","Paraná","Florestal",NA,NA,"MBM024874","MBM024874",NA,"Oliveira, R.C.",NA,NA,"Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:40:46-03","MBM","MBM","207448","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Dombrowski, L.T.","6963",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa",NA,NA,"MBM207448","MBM207448",NA,"Oliveira, R.C.",NA,NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:40:45-03","MBM","MBM","118086","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Krapovickas, A.; Cristóbal, C.L.; Cristóbal, C.L.","40811",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa",NA,NA,"MBM118086","MBM118086",NA,NA,NA,NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:40:46-03","MBM","MBM","118088","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Krapovickas, A.; Cristóbal, C.L.; Cristóbal, C.L.","40797",NA,NA,NA,"Southern America","Brazil","Paraná","Vila Velha",NA,NA,"MBM118088","MBM118088",NA,NA,NA,NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:40:46-03","MBM","MBM","48363","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Krapovickas, A.; et al.; et al.","23288",NA,NA,NA,"Southern America","Brazil","Paraná","Vila Velha, 10km S",NA,NA,"MBM048363","MBM048363",NA,NA,NA,NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:40:46-03","MBM","MBM","24892","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Hatschbach, G.","9093",NA,NA,NA,"Southern America","Brazil","Paraná","Vila Velha, Arroio Quebra Perna",NA,NA,"MBM024892","MBM024892",NA,"Oliveira, R.C.",NA,NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:40:46-03","MBM","MBM","80879","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","compressifolium","Paspalum compressifolium","Swallen",NA,"Klein, R.; et al.; et al.","12194",NA,NA,NA,"Southern America","Brazil","Santa Catarina","Rod. BR-116",NA,NA,"MBM080879","MBM080879",NA,"Oliveira, R.C.",NA,NA,"Lages","-50.326099395752","-27.8160991668701","70701","auto",NA,NA,NA,NA,NA,NA,NA,NA
