"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount","typeStatus","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","393589","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","G.Schellenb.","E. Forero","A. P. Duarte","8888","1965","08","16","South America","Brazil","Espírito Santo","Conceiçao da Barra","-39.7319","-18.5933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393589","NY00393589_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","393588","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","G.Schellenb.","E. Forero","J. G. Kuhlmann","351","1934","05","16","South America","Brazil","Espírito Santo","Colatina","-40.6306","-19.5394","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393588","NY00393588_01","Estrada do Patrimônio, porto do Colatina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:37:27-03","EAO","IAN","67528","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","Schellenb.","Forero, E","Kuhlmann, JG","351","1934","05","16","Southern America","Brasil","Espírito Santo",NA,NA,NA,NA,"Liana, flores alvas.","IAN067528",NA,"Estrada de Petrópolis, próximo de Colatina.","1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:37:27-03","EAO","IAN","67539","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","Schellenb.","Forero, E","sc","1874",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN067539",NA,"Pântano, mata.","1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:05:13-03","ESALQ","ESA","84224","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","G. Schellenb.","Toledo, C.A.P.","Melo, E. et al.","1981.0","2007","01","28",NA,"Brasil","Bahia","Itatim","-39.6981010437012","-12.7118997573853",NA,NA,"ESA084224","ESA084224",NA,NA,"24374","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:05:13-03","ESALQ","ESA","79335","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","G. Schellenb.","Toledo, C.A.P.","Melo, E. et al.","1832.0","1996","11","09",NA,"Brasil","Bahia","Itatim","-39.6981010437012","-12.7118997573853",NA,NA,"ESA079335","ESA079335",NA,NA,"24374","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-24 17:08:56-03","UFES","SAMES","7025","PreservedSpecimen","Plantae",NA,NA,"Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","G.Schellenb.","Ribeiro,M.","Menezes,L.F.T.","2223","2015","08","19",NA,"Brasil","Espírito Santo","São Mateus","-39.8588981628418","-18.716100692749",NA,"Habito: Arbusto","SAMES07025",NA,"Próximo ao presídio, propriedade do Sr. Luiz .","2019","56510","auto","04","11","-187966666.0","-398813889.0",NA,NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0039882","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","G. Schellenb.","S. F. Smith","G. Hatschbach; J. M. Silva and L. A. Ferreira","68346","1998",NA,"9",NA,"Brazil","Espirito Santo",NA,"-39.734653","-18.592569",NA,"Arbusto, 2m, fruto vermelho, sementes pretas.",NA,NA,"Rod. ES-421, km 5-8 (Mun. Conceicao da Barra).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:21:18-03","MBM","MBM","118703","PreservedSpecimen","Plantae",NA,NA,"Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","Schellenb.","Smith, S.F.","Hatschbach, G.; Cervi, A.C.; Cervi, A.C.","51416","1987","08","23","Southern America","Brazil","Espírito Santo","Jaguaré","-40.076099395752","-18.9055995941162",NA,NA,"MBM118703","MBM118703","Rod. BR-101",NA,"43085","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-05 10:50:10-03","MNHN","RECOLNAT_MNHN_P","P05487840","PreservedSpecimen",NA,NA,NA,"Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","G.Schellenb.",NA,"Warming",NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05487840' target='other'> <mi>dwc_moreinfo</mi></a>","P05487840","P05487840_01","Lagoa Santa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2017-06-20 15:32:27-03","MNHN","RECOLNAT_MNHN_P","P05487841","PreservedSpecimen",NA,NA,NA,"Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","G.Schellenb.",NA,"[Sena]",NA,"1895","8","1",NA,"Brasil","Minas Gerais",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05487841' target='other'> <mi>dwc_moreinfo</mi></a>","P05487841","P05487841_01","Serra do Cipó.",NA,NA,NA,NA,NA,NA,NA,"11767",NA,NA,NA,NA,NA
"12","2012-05-17 05:02:00-03","MO","MOBOT","3169724","PreservedSpecimen","Plantae",NA,NA,"Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","G. Schellenb.","Ronald Liesner","Carl Schwacke","Schwacke 11767",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2011-02-07 09:42:00-02","MO","MOBOT","3169817","PreservedSpecimen","Plantae",NA,NA,"Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","G. Schellenb.","Ronald Liesner","J.E.B. Warming","Warming 849","1863","11","16","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2011-06-27 08:43:00-03","MO","MOBOT","3169858","PreservedSpecimen","Plantae",NA,NA,"Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","G. Schellenb.","Ronald Liesner","F. Sellow","Sellow s.n.","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:45:26-03","MBML","MBML-HERBARIO","12944",NA,"Plantae",NA,NA,"Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","Schellenb.","S. F. Smith/1999","G. Hatschbach; et al","68346","1998","10","09",NA,"Brasil","Espírito Santo","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,"Arbusto, 2m, fruto vermelho, sementes pretas. Restinga arbórea. EX HERB MBM","MBML012944","MBML012944","Rod. ES-421, km 5-8",NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","3387122","PreservedSpecimen","Plantae",NA,"Rosales","Connaraceae","Rourea","cnestidifolia","Rourea cnestidifolia","G. Schellenb.",NA,"G. Hatschbach, J. M. Silva & L. Ferreira","68346","1998","10","9","South America - Neotropics","Brazil","Espírito Santo","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,NA,"US01857745","US01857745_01","Rodovia ES-421, km 5-8",NA,"41644","auto",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
