"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","class","order","monthIdentified","dayIdentified","relatedCatalogItem","barcode","imagecode"
"1","2019-10-09 11:08:06-03","UFBA","ALCB","101036","PreservedSpecimen","Plantae","Dicotyledon","Acanthaceae","Staurogyne","veronicifolia","Staurogyne veronicifolia","(Ness) O. Kuntze","Braz, DM","2002","Hatschbach, G; Hatschbach, M; Silva, JM","61140","1994","10","08","Southern America","Brasil","Espírito Santo","Alfredo Chaves","São Bento de Urânia.","-40.749698638916","-20.6350002288818","32447","900","900","Flor alva.; Solos arenosos, nas encostas de morro.","auto",NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:29:50-03","NBC","NL-BOTANY","U.1056983","PreservedSpecimen","Plantae",NA,"Acanthaceae","Staurogyne","veronicifolia","Staurogyne veronicifolia","Kuntze","Monte Braz D","2004","Brade AC",NA,"1948","08","12","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1056983 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae","Lamiales","04","20","U 0017698","NL-U1056983","NL-U1056983"
"3","2017-09-11 17:06:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Acanthaceae","Ebermaiera","veronicifolia","Ebermaiera veronicifolia","Nees",NA,NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"In Brasilia australiore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
