"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","day","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","relationshipType","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","319273","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Jacquemontia","acrocephala","Jacquemontia acrocephala","Meisn.","isotype","L. Riedel","574","1826","10","South America","Brazil","Camp. Rio Pardo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319273","NY00319273_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1014231","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Jacquemontia","sphaerocephala","Jacquemontia sphaerocephala","Meisn.",NA,"E. P. Heringer","7893",NA,NA,"South America","Brazil","Horoto do Guará.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108659' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014231","NY01014231_01","M. H. Nee","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","571975","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Jacquemontia","sphaerocephala","Jacquemontia sphaerocephala","Meisn.",NA,"W. R. Anderson","36684","1972","03","South America","Brazil","Espigao Mestre, ca. 100 km WSW of Barreiras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=723382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571975","NY00571975_01","R. Simão-Bianchini","Bahia",NA,NA,NA,"06","760","760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02447149","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Jacquemontia","sphaerocephala","Jacquemontia sphaerocephala","Meisn.",NA,"W. R. Anderson","7920","1973","03","South America","Brazil","1 km E of São João da Aliança. Serra Geral do Paraná.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2259375' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447149","NY02447149_01","R. Simão-Bianchini","Goiás","São João d'Aliança","-47.52","-14.7","24","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1014194","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Jacquemontia","sphaerocephala","Jacquemontia sphaerocephala","Meisn.",NA,"H. S. Irwin","12161","1966","01","South America","Brazil","Chapada da Contagem, ca. 25 km N. E. of Brasília","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108616' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014194","NY01014194_01","R. Simão-Bianchini","Distrito Federal","Brasília","-47.75172","-15.62355","31","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1014236","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Jacquemontia","sphaerocephala","Jacquemontia sphaerocephala","Meisn.",NA,"G. G. Hatschbach","35966","1975","02","South America","Brazil","Serra da Pimenteira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108666' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014236","NY01014236_01","M. T. Buril","Mato Grosso do Sul","Rio Verde de Mato Grosso","-54.8442","-18.9183","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1014197","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Jacquemontia","sphaerocephala","Jacquemontia sphaerocephala","Meisn.",NA,"H. S. Irwin","23820","1969","02","South America","Brazil","Serra do Espinhaço, Serra dos Três Irmãos, ca. 20 km west of Montes Claros, road to Agua Boa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108619' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014197","NY01014197_01","R. Simão-Bianchini","Minas Gerais","Montes Claros","-43.6895","-16.78715","24","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1014196","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Jacquemontia","sphaerocephala","Jacquemontia sphaerocephala","Meisn.",NA,"H. S. Irwin","14520","1966","04","South America","Brazil","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108618' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014196","NY01014196_01","R. Simão-Bianchini","Goiás","Posse","-46.37","-14.13","07","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1014241","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Jacquemontia","sphaerocephala","Jacquemontia sphaerocephala","Meisn.",NA,"R. C. de Mendonça","1189","1989","02","South America","Brazil","Fazenda Grão de Ouro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108671' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014241","NY01014241_01","M. H. Nee","Minas Gerais","Patrocínio","-46.9667","-18.8086","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1014198","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Jacquemontia","sphaerocephala","Jacquemontia sphaerocephala","Meisn.",NA,"H. S. Irwin","25588","1970","01","South America","Brazil","Morro da Pedras, ca. 37 km N.E. of Patrocínio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108620' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014198","NY01014198_01","R. Simão-Bianchini","Minas Gerais",NA,"-43.2485756","-19.9480039","29","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
