"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","fieldNumber","order","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","02817219","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M.Schust.","O. Yano","8913","1984","06","11","South America","Brazil","São Paulo","Cananéia, Ilha do Cardoso","-47.9397","-25.0164","20","20","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3118127' target='other'> <mi>dwc_moreinfo</mi></a>","NY02817219","NY02817219_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-12 15:31:31-03","UFABC","HUFABC","001453","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M. Schuster","Yano, O","4176","1982","04","28",NA,"Brasil","São Paulo","Ilha do Cardoso","-47.5623","-25.0059","20","20",NA,"Epífilas em Quesnelia arvensis (Vell.) Mez.","HUFABC001453",NA,"Peralta, DF","2009","12","Cananéia","-47.5623","-25.0059",NA,NA,NA
"3","2019-10-09 11:26:37-03","UFBA","ALCB","112807","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M.Schust.","Yano, O","3943","1982","03","04","Southern America","Brasil","São Paulo","Ilha do Cardoso",NA,NA,NA,NA,NA,NA,NA,NA,"Grolle, R",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-05-02 10:53:51-03","IBt","SP-BRYOPHYTA","173970","S","Plantae",NA,"Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M. Schuster","Vital, D.M.","10491","1982","06","02","Southern America","BRASIL","São Paulo","Ilha do Cardoso","-47.939722","-25.016389","20","20",NA,"Partially submerged in water retained in axilis of bromeliaceae leaves","SP081677",NA,NA,NA,NA,"Cananéia","-47.939722","-25.016389",NA,NA,NA
"5","2019-05-02 10:53:51-03","IBt","SP-BRYOPHYTA","174174","S","Plantae",NA,"Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M. Schuster","Yano, O.","3937","1982","03","04","Southern America","BRASIL","São Paulo","Ilha do Cardoso, Retinga de Itacuruça","-47.939722","-25.016389","20","20",NA,"Epífilas emQuesnelia arverensis (Vell.) Mez., junto a base","SP081882",NA,NA,NA,NA,"Cananéia","-47.939722","-25.016389",NA,NA,NA
"6","2019-05-02 10:53:51-03","IBt","SP-BRYOPHYTA","174177","S","Plantae",NA,"Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M. Schuster","Yano, O.","3942","1982","03","04","Southern America","BRASIL","São Paulo","Ilha do Cardoso, Retinga de Itacuruça","-47.939722","-25.016389","20","20",NA,"Epífila em Quesnelia arvensis (Vell. Nez) Junto a água","SP081885",NA,NA,NA,NA,"Cananéia","-47.939722","-25.016389",NA,NA,NA
"7","2019-05-02 10:53:51-03","IBt","SP-BRYOPHYTA","174178","S","Plantae",NA,"Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M. Schuster","Yano, O.","3943","1982","03","04","Southern America","BRASIL","São Paulo","Ilha do Cardoso, Retinga de Itacuruça","-47.939722","-25.016389","20","20",NA,"Epífila em Quesnelia arvensis (Vell. Nez) Junto a água","SP081886",NA,NA,NA,NA,"Cananéia","-47.939722","-25.016389",NA,NA,NA
"8","2019-05-02 10:53:51-03","IBt","SP-BRYOPHYTA","174268","S","Plantae",NA,"Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M. Schuster","Yano, O.","4173","1982","04","28","Southern America","BRASIL","São Paulo","Ilha do Cardoso","-47.939722","-25.016389","20","20",NA,"Epífilas em Aechmea nudicaule (L.) Griseb","SP081979",NA,"Peralta, D.F.","2009","12","Cananéia","-47.939722","-25.016389",NA,NA,NA
"9","2019-05-02 10:53:51-03","IBt","SP-BRYOPHYTA","174270","S","Plantae",NA,"Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M. Schuster","Yano, O.","4176","1982","04","28","Southern America","BRASIL","São Paulo","Ilha do Cardoso","-47.939722","-25.016389","20","20",NA,"Epífilas em Quesnelia arvensis (Vell.) Mez.","SP081981",NA,"Peralta, D.F.","2009","12","Cananéia","-47.939722","-25.016389",NA,NA,NA
"10","2019-05-02 10:53:51-03","IBt","SP-BRYOPHYTA","174271","S","Plantae",NA,"Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M. Schuster","Yano, O.","4177","1982","04","28","Southern America","BRASIL","São Paulo","Ilha do Cardoso","-47.939722","-25.016389","20","20",NA,"Epífilas em Quesnelia arvensis (Vell.) Mez.","SP081982",NA,"Peralta, D.F.","2009","12","Cananéia","-47.939722","-25.016389",NA,NA,NA
"11","2019-05-02 10:53:51-03","IBt","SP-BRYOPHYTA","191039","S","Plantae",NA,"Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M. Schuster","Yano, O.; Wanderley, M.G.L.","8911","1984","06","11","Southern America","BRASIL","São Paulo","Ilha do Cardoso","-47.939722","-25.016389","20","20",NA,"Epífila de Quesnelia sp, mata de restinga.","SP086025",NA,"Peralta, D.F.","2008","05",NA,"-47.939722","-25.016389",NA,NA,NA
"12","2019-05-02 10:53:51-03","IBt","SP-BRYOPHYTA","191040","S","Plantae",NA,"Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M. Schuster","Yano, O.; Wanderley, M.G.L.","8912","1984","06","11","Southern America","BRASIL","São Paulo","Ilha do Cardoso","-47.939722","-25.016389","20","20",NA,"Epífila de Quennelia sp, mata de restinga.","SP086026",NA,"Yano, O.; Peralta, D.F.","2008","05","Cananéia","-47.939722","-25.016389",NA,NA,NA
"13","2019-05-02 10:53:51-03","IBt","SP-BRYOPHYTA","191041","S","Plantae",NA,"Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M. Schuster","Yano, O.; Wanderley, M.G.L.","8913","1984","06","11","Southern America","BRASIL","São Paulo","Ilha do Cardoso","-47.939722","-25.016389","20","20",NA,"Epífila de Quennelia sp, mata de restinga.","SP086027",NA,"Peralta, D.F.","2008","05","Cananéia","-47.939722","-25.016389",NA,NA,NA
"14","2019-05-02 10:53:51-03","IBt","SP-BRYOPHYTA","207586","S","Plantae",NA,"Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M. Schuster","Vital, D.M.","12622","1984","10","24","Southern America","BRASIL","São Paulo","Ilha do Cardoso","-47.939722","-25.016389","20","20",NA,"Partialy inmensed in water, ases of leaves of terrestrial, Bromeliaceae in a restinga vegetation","SP089067",NA,"Peralta, D.F.","2009","12","Cananéia","-47.939722","-25.016389",NA,NA,NA
"15","2019-05-02 10:54:12-03","IBt","SP-BRYOPHYTA","086473","S","Plantae",NA,"Lejeuneaceae","Lejeunea","natans","Lejeunea natans","() Grolle","Vital, D.M.","160","1964","03","27","Southern America","BRASIL","São Paulo","Ilha Comprida","-47.939722","-25.016389","20","20",NA,"na floresta, dentro de uma bromélia","SP060731",NA,NA,NA,NA,"Cananéia","-47.939722","-25.016389",NA,NA,NA
"16","2019-05-02 10:54:12-03","IBt","SP-BRYOPHYTA","208624","S","Plantae",NA,"Lejeuneaceae","Lejeunea","natans","Lejeunea natans","() Grolle","Vital, D.M.; Giancotti, C.","13679","1986","03","12","Southern America","BRASIL","São Paulo","Ilha do Cardoso","-47.939722","-25.016389","20","20",NA,"Submersas na água coletadas pelas bases de um Bromeliaceae, na restinga ensolarada junto ao mangue, ca 1km NE dos Alojamentos","SP090644",NA,NA,NA,NA,"Cananéia","-47.939722","-25.016389",NA,NA,NA
"17","2018-02-16 16:33:09-02","MNHN","RECOLNAT_MNHN_PC","PC0723601","PreservedSpecimen",NA,NA,"Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Steph.) R.M.Schust.","Peralta, D.F.|Bordin, J.|Yano, O.|Silva, O.& P.",NA,"2009","5","14",NA,"Brésil",NA,"Brasil, Sao Paulo, Cananéia, Ilha do Cardoso, trilha das Antas, restinga","-47.92472","-25.07583","5",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0723601' target='other'> <mi>dwc_moreinfo</mi></a>","PC0723601",NA,"Peralta",NA,NA,NA,NA,NA,"8112",NA,NA
"18","2020-09-18 09:32:41-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Meteoriaceae","Peltolejeunea","natans","Peltolejeunea natans","(Cardot) N. Nishim. & Ando","?","s.n.",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leucodontales",NA
"19","2019-11-01 15:12:23-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Müll. Hal.) Schimp.","Yano, O","4176","1982","04","28","Southern America","Brasil","São Paulo","Ilha do Cardoso","-47.5623","-25.0059","20","20",NA,"Epífilas em Quesnelia arvensis (Vell.) Mez.",NA,NA,"Peralta, DF","2009","12","Cananéia","-47.5623","-25.0059",NA,NA,NA
"20","2019-11-01 15:12:23-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Bromeliophila","natans","Bromeliophila natans","(Müll. Hal.) Schimp.","Yano, O; Wanderley, MGL","8913","1984","06","11","Southern America","Brasil","São Paulo","Ilha do Cardoso","-47.5623","-25.0059","20","20",NA,"Epífila de Quennelia sp, mata de restinga.",NA,NA,"Peralta, DF","2008","05","Cananéia","-47.5623","-25.0059",NA,NA,NA
