"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","coordinatePrecision","geoFlag","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","440415","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Dipladenia","fragrans","Dipladenia fragrans","A.DC.","A. F. M. Glaziou","4086","1870","03","14","South America","Brazil","Rio de Janeiro","Cachoeira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440415","NY00440415_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","04194766","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","M. Saldías Paz","128","1988","01","21","South America","Bolivia","Santa Cruz","Parque Nacional Amboro. Rio Saguayo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4517243' target='other'> <mi>dwc_moreinfo</mi></a>","NY04194766",NA,"Ichilo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 16:41:00-03","NY","NYBG","778277","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans",NA,"M. Alves","2359","2001","03","13","South America","Brazil","Rio de Janeiro","Mun. de Carapebus, Parque Nacional da Restinga de Juturaíba, estrada para a praia de Carapebus","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778277","NY00778277_01",NA,"-41.5936","-22.2267","20","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01198731","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","R. A. X. Borges","549","2007","01","16","South America","Brazil","Bahia","Serra do Corcovado, 13,8 km ao SW de Coaraci, na estrada para Almadina. Fazenda São José. Proprietário Senhor Francisco.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447834' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198731","NY01198731_01","Almadina","-39.6033","-14.7058","650","900","J. F. Morales Quirós",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1183031","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","S. A. Mori","11893","1979","06","02","South America","Brazil","Bahia","Estrada que liga São José com Una, a 17 km da BR-101. Cerca de 45 km ao S de Itabuna.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35099' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183031","NY01183031_01","Una","-39.250406","-15.1466593",NA,NA,"J. F. Morales Quirós",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01198733","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","R. A. X. Borges","414","2006","12","17","South America","Brazil","Bahia","Serra do Corcovado, 13,8 km ao SW de Coaraci, na estrada para Almadina. Fazenda São José. Proprietário Senhor Francisco.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447844' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198733","NY01198733_01","Almadina","-39.6033","-14.7058","650","900","J. F. Morales Quirós",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:28:55-03","UFRJ","RFA","42468","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","M. Lira; J. Reis 34; M.F. castilhori 489; I.E. Santos 453; J. Fontella 4254","34","2011","02","03",NA,"Brasil","Rio de Janeiro","Carapebus, Canal Macaé - Campos, entrada pelo remanescente de mata ao lado do Canal Macaé - campos, ao lado esquerdo em direção a praia (trilha)",NA,"Trepadeira, muito frequente, ca. de 6 m de altura, sobre dossel das árvores, parte umbrófila parte heliófila; látex alvo; flores aromáticas, tubo da corola alvo, lobos da corola alvos; fauce amarela","RFA36834",NA,"Macaé","-41.585556","-22.218333","24","24","M.F. Castilhori; I.E. Santo","2011","02","25","41º35'8''W","22º13'6''S",NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:28:55-03","UFRJ","RFA","30505","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","M. Alves; G. Sousa; T. Konno; P. Fiachi; M. Unwin","2359","2001","03","13",NA,"Brasil","Rio de Janeiro","Parque Nacional da Restinga de Juturnaíba, estrada para a praia de Carapebus",NA,"Arbusto escandente, látex branco leitoso, corola branca, interior do tubo amarelo intenso, odorífera","RFA36287",NA,"Carapebus","-41.593611","-22.226667","20","20",NA,NA,NA,NA,"41º35'37''W","22º13'36''S",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:17:56-03","NBC","NL-BOTANY","U 0112941","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Blanchet JS",NA,NA,NA,NA,"Southern America","Brazil",NA,"Brasilia",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200112941 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0112941","NL-U0112941",NA,NA,NA,NA,NA,"Morales JF","2005","01","01",NA,NA,"Magnoliopsidae","syntype",NA,NA,NA,NA,NA
"10","2021-01-14 15:21:34-03","MN","R","220870","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Ule, E.H.G.","106",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santos, L.B.","1997","06","26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-01-14 15:21:34-03","MN","R","220872","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Ule, E.H.G.","3829","1896","02",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santos, L.B.","1997","06","26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:21:34-03","MN","R","200029","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Oliveira, M.C. 973; Martins, V.L.C.",NA,"2002","02","20",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Quissamã",NA,"-22.163333","104","104","Santos, L.B.","2002","04","10","41°27'61''W","22°09'48''S",NA,NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:21:34-03","MN","R","200133","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Oliveira, M.C. 946; Faria, E.",NA,"2001","06","08",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Quissamã","-41.406833","-22.17685","18","18","Moreira, F.F.","2002","10","04","41°24.410'W","22°10.611'S",NA,NA,NA,NA,NA,NA,NA
"14","2021-01-14 15:21:34-03","MN","R","205298","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Oliveira, M.C. 1154; Machado, A.F.P.",NA,"2005","05","03",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Quissamã","-41.440167","-22.090167",NA,NA,NA,NA,NA,NA,"41°26.410'W","22°05.410'S",NA,NA,NA,NA,NA,NA,NA
"15","2021-01-14 15:21:34-03","MN","R","136538","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Mello Mattos, A.M.",NA,"1902","06",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Itabira","-43.2268981933594","-19.6191997528076",NA,NA,"Ferreira, V.F.","1979","07",NA,NA,NA,NA,NA,"33779","auto",NA,NA,NA
"16","2021-01-15 14:41:35-03","MN","R","165095","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Vidal, J.","II - 5844","1953","01",NA,NA,"Brasil","Rio de janeiro",NA,NA,NA,NA,NA,"Magé","-43.040599822998","-22.6527996063232","400","400","Sales, M.F.","1993","06","25",NA,NA,NA,NA,"20531","auto",NA,NA,NA
"17","2021-01-15 14:41:35-03","MN","R","105637","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Vidal, J.","II - 5166","1952","10","17",NA,"Brasil","Rio de janeiro",NA,NA,NA,NA,NA,"Magé","-43.040599822998","-22.6527996063232","410","410",NA,NA,NA,NA,NA,NA,NA,NA,"20531","auto",NA,NA,NA
"18","2021-01-15 14:41:35-03","MN","R","107825","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Vidal, J.","II - 5463","1952","12","08",NA,"Brasil","Rio de janeiro",NA,NA,NA,NA,NA,"Magé","-43.040599822998","-22.6527996063232","420","420",NA,NA,NA,NA,NA,NA,NA,NA,"20531","auto",NA,NA,NA
"19","2021-01-15 14:41:35-03","MN","R","107766","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Vidal, J.","II - 5453","1952","12","07",NA,"Brasil","Rio de janeiro",NA,NA,NA,NA,NA,"Magé","-43.040599822998","-22.6527996063232","420","420",NA,NA,NA,NA,NA,NA,NA,NA,"20531","auto",NA,NA,NA
"20","2021-01-14 15:21:34-03","MN","R","165075","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Almeida, D.",NA,"1879","11",NA,NA,"Brasil","Rio de janeiro",NA,NA,NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"Sales, M.F.","1993","06","30",NA,NA,NA,NA,"57442","auto",NA,NA,NA
"21","2021-01-14 15:21:34-03","MN","R","191360","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Oliveira, M.C.","516","1997","05","06",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Carapebus","-41.6610984802246","-22.1872005462646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13257","auto",NA,NA,NA
"22","2021-01-14 15:21:34-03","MN","R","208651","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Fontella, J.P. 4117; Castilhori, M.F.",NA,"2008","05","07",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Carapebus","-41.6610984802246","-22.1872005462646",NA,NA,"Castilhori, M.F.","2008","05","02",NA,NA,NA,NA,"13257","auto",NA,NA,NA
