"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","month","day","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","399876","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral","isotype","R. Reitz","3253","1956","South America","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489","350","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00399876","NY00399876_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:29:16-03","UNESP-IBB","BOTU","31924","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Reitz & Klein","3217","1956",NA,"Brasil","Santa Catarina","Palhoça","Pilões.",NA,NA,NA,NA,NA,NA,"BOTU031924",NA,"Amaral Jr., A.","1975","05","03","9999","9999",NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:29:16-03","UNESP-IBB","BOTU","32118","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Klein, R.M.","9416","1971",NA,"Brasil","Santa Catarina","Palhoça","Morro de Cambirela.",NA,NA,"800","800",NA,NA,"BOTU032118",NA,"Amaral Jr., A.","1979","05","18","9999","9999",NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:29:16-03","UNESP-IBB","BOTU","32116","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Reitz & Klein","3894","1956",NA,"Brasil","Santa Catarina","Palhoça","Pilões.",NA,NA,"350","350",NA,NA,"BOTU032116",NA,"Amaral Jr., A.","1979","10","25","9999","9999",NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:29:16-03","UNESP-IBB","BOTU","32117","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Bresolin, A.","257","1971",NA,"Brasil","Santa Catarina","Governador Celso Ramos","Palmas.",NA,NA,"200","200",NA,NA,"BOTU032117",NA,"Amaral Jr., A.","1979","06","26","9999","9999",NA,NA,NA,NA,NA,NA
"6","2020-01-20 14:40:26-03","UPM","MACK","237","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"J. A. Pastore; C. Moura","1243","2003",NA,"Brasil","SP","São Vicente","Parque Estadual Xixivá-Japuí. Região de Paranapuã, trilha atrás do CECOF, mata.","-46.3899993896484","-23.9599990844727",NA,NA,NA,NA,NA,NA,"J. O. Mendonça; A. Amaral Jr.","2006","08","15",NA,NA,"08","25482","auto",NA,NA,NA
"7","2019-08-27 13:30:43-03","IAP","PACA-AGP","66045","PreservedSpecimen","Plantae","Magnoliophyta","Linales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Reitz, R.","3253","1956",NA,"Brasil","SC","Palhoça","Pilões","-48.6678009033203","-27.645299911499","350","350",NA,"HBR 14247. 2m de altura e flores brancas.&nf;ESPÉCIE CONFIRMADA POR MARIA I. B. LOIOLA EM 28.04.1999. Habitat: mata Hábito: arbusto","PACA066045",NA,"M. Sobral","1982","06","07",NA,NA,"11","31105","auto","Magnoliatae",NA,NA
"8","2019-08-27 13:30:43-03","IAP","PACA-AGP","66044","PreservedSpecimen","Plantae","Magnoliophyta","Linales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Reitz, R.","3894","1956",NA,"Brasil","SC","Palhoça","Pilões","-48.6678009033203","-27.645299911499","350","350",NA,"HBR 14246. 2m de altura e fruto maduro roxo-escuro.&nf;Espécie confirmada por Maria I. B. Loiola em 06.09.2001. Habitat: mata Hábito: arbusto Ecossistema: Mata Atlântica","PACA066044",NA,"Sobral","1982","10","25",NA,NA,"11","31105","auto","Magnoliatae",NA,NA
"9","2021-03-01 16:29:21-03","UNICAMP","UEC","157494","S","Plantae","Magnoliopsida",NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Pastore, JFB; Moura, C","1257","2003",NA,"Brazil","São Paulo","São Vicente","Parque Estadual Xixová-Japuí, região de Paranapuã, caminho para o CECOF, área alterada, mata de restinga.","-46.371944","-23.976944",NA,NA,NA,"Arvoreta até 3m, flores alvas.","UEC013953","UEC013953","Mendonça, JO","2006","09","19","-46.371944","-23.976944","08",NA,NA,NA,NA,NA
"10","2020-10-14 10:01:17-03","FURB","FURB","38882","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Falkenberg, D.B.","6220","1993",NA,"Brasil","Santa Catarina","Ilhota","Morro do Baú.","-48.8272018432617","-26.8997001647949",NA,NA,NA,"Estpipulas com Nervuras Habitat: Interior de mata de topo de morro Habito: arbustiva; Fruto verde; flor branco amarelada","FURB03806","FURB03806","Falkenberg, DB","1993","05","08",NA,NA,NA,"18275","auto",NA,NA,NA
