"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","stateProvince","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","identifiedBy","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","802243","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Koanophyllon","adamantium","Koanophyllon adamantium","(Gardner) R.M.King & H.Rob.","Pohl","3205","South America","Brazil","Inter Columbio & Barreros.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802243","NY00802243_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","802239","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Koanophyllon","adamantium","Koanophyllon adamantium","(Gardner) R.M.King & H.Rob.","A. F. M. Glaziou","18312","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802239","NY00802239_01","1891","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2422681","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Koanophyllon","adamantium","Koanophyllon adamantium","(Gardner) R.M.King & H.Rob.","G. M. Antar","71","South America","Brazil","Parque Nacional da Serra do Cipó. Trilha para a Cachoeira da Capivara.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2670334' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422681","NY02422681_01","2012","Minas Gerais","07","05","Santana do Riacho","-43.521994","-19.226761","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","802240","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Koanophyllon","adamantium","Koanophyllon adamantium","(Gardner) R.M.King & H.Rob.","Martii Herbar. Florae Brasil.","805","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802240","NY00802240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","802238","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Koanophyllon","adamantium","Koanophyllon adamantium","(Gardner) R.M.King & H.Rob.","G. G. Hatschbach","48237","South America","Brazil","Mucugê, rod. p/ Andarai, entre km 5-15.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802238","NY00802238_01","1984","Bahia","09","15",NA,NA,NA,NA,"H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","895420","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Koanophyllon","adamantium","Koanophyllon adamantium","(Gardner) R.M.King & H.Rob.","L. Emygdio de Mello Filho","3297","South America","Brazil","Gandarela.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895420","NY00895420_01","1972","Minas Gerais","07","13",NA,NA,NA,"1570","V. L. Rivera","1570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1184022","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Koanophyllon","adamantium","Koanophyllon adamantium","(Gardner) R.M.King & H.Rob.","L. de F. de Carvalho","646","South America","Brazil","Distr. de Laje, estrada para Campo Limpo, Granja Mafra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459761' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184022","NY01184022_01","1977","Rio de Janeiro","05","28","Teresópolis","-42.9656","-22.4122",NA,"R. L. Esteves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","802241","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Koanophyllon","adamantium","Koanophyllon adamantium","(Gardner) R.M.King & H.Rob.","L. Riedel","1077//454","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802241","NY00802241_01","1824",NA,"08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","802245","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Koanophyllon","adamantium","Koanophyllon adamantium","(Gardner) R.M.King & H.Rob.","L. O. Williams","1488","South America","Brazil","Serra do Curral, Nova Lima.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802245","NY00802245_01","1945","Minas Gerais","08","06",NA,NA,NA,"1300",NA,"1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","802242","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Koanophyllon","adamantium","Koanophyllon adamantium","(Gardner) R.M.King & H.Rob.","J. E. Leite","4089","South America","Brazil","Nova Friburgo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802242","NY00802242_01","1946","Rio de Janeiro","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01091052","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Koanophyllon","adamantium","Koanophyllon adamantium","(Gardner) R.M.King & H.Rob.","L. Emygdio de Mello Filho","3539","South America","Brazil","Caraça. Alto da Carapuça","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1228961' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091052","NY01091052_01","1972","Minas Gerais","07","21",NA,NA,NA,"2020","V. L. Rivera","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01091374","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Koanophyllon","adamantium","Koanophyllon adamantium","(Gardner) R.M.King & H.Rob.","L. Emygdio de Mello Filho","3604","South America","Brazil","Morro do V. H. F.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230324' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091374","NY01091374_01","1972","Minas Gerais","07","25","Alpinópolis","-46.3881","-20.8636","1350","V. L. Rivera","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
