"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","infraspecificEpithet","county","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","02450387","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","fulvus","Connarus fulvus","Planch.","J. M. Pires","16170","1978","07","25","South America","Brazil","Goiás","Rodovia Belém-Brasília, perto de Colinas, Rio Gameleira.","-48.0781","-14.1517","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2647957' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450387","NY02450387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02450388","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","fulvus","Connarus fulvus","Planch.","M. G. da Silva","4188","1979","01","07","South America","Brazil","Rondônia","Vilhena nos fundos da cidade","-60.114137","-12.739261","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2647959' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450388","NY02450388_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","10902","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","fulvus","Connarus fulvus","Planch.","G. Gardner","2521",NA,NA,NA,"South America","Brazil","Piauí","Prov. Piauhy",NA,NA,"sheet","VII <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00010902","NY00010902_01","E. Forero","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00922593","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","S. A. Mori","16808","1984","07","14","South America","Brazil","Mato Grosso","Fazenda Morro dos Lajes, between Buriti and Agua Fria, 14.6 km N of Buriti.","-55.7494","-15.4608","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922593","NY00922593_01",NA,NA,"fulvus","Chapada dos Guimarães","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00922542","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus suberosus","Planch.","E. Forero","3730","1977","09","14","South America","Brazil","Distrito Federal","2 km. S. de la Escola Fazendária, al lado opuesto de la carretera, ca. 12 kms. SE del centro de Brasília.","-47.83","-15.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922542","NY00922542_01","E. Forero",NA,"suberosus","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00922566","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","S. L. M. Moore","150","1891",NA,NA,"South America","Brazil",NA,"Iter Matogrossense.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922566","NY00922566_01","E. Forero",NA,"fulvus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","393506","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","G. Eiten","10396","1970","01","29","South America","Brazil","Maranhão","City of Loreto. By football field","-45.13","-7.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393506","NY00393506_01","E. Forero",NA,"fulvus","Lorêto","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00922536","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus","Planch.","E. T. Neto","1409","1994","08","25","South America","Brazil","Minas Gerais","Cerrado Céu do Cavalo; Unidade de Consevação do Galheiro, CEMIG.","-47.2928","-19.3531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922536","NY00922536_01","L. V. Costa",NA,NA,"Perdizes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","393508","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","L. Riedel","994","1821",NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393508","NY00393508_01",NA,NA,"fulvus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00922550","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","D. Philcox","3476","1967","12","12","South America","Brazil",NA,"Between Km 244 & 264 Xavantina - Cachimbo road.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922550","NY00922550_01","E. Forero",NA,"fulvus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00922609","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","J. A. Ratter","R348","1967","08","14","South America","Brazil","Mato Grosso","7 km SW of Xavantina.","-52.33","-14.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922609","NY00922609_01","E. Forero",NA,"fulvus",NA,"650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00922531","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus","Planch.","A. Krapovickas","42804","1989","01","05","South America","Brazil","Minas Gerais","Chaveslandia, sobre el Rio Paranaiba.","-50.1214","-18.8386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922531","NY00922531_01","R. C. Barneby",NA,NA,"Santa Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00922595","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","J. M. Pires","1763a","1949","08","08","South America","Brazil","Maranhão",NA,"-47.4917","-5.5267","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922595","NY00922595_01","E. Forero",NA,"fulvus","Imperatriz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00922590","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","G. T. Prance","58449","1964","07","28","South America","Brazil","Tocantins","Road to Miracema do Norte.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922590","NY00922590_01","E. Forero",NA,"fulvus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00922586","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","H. S. Irwin","13759","1966","03","08","South America","Brazil","Goiás","Serra dos Cristais, ca. 15 km E. of Cristalina","-47.45932","-16.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922586","NY00922586_01","E. Forero",NA,"fulvus","Cristalina","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
