"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","relatedCatalogItem","previousCatalogNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters","infraspecificEpithet","fieldNumber"
"1","2016-09-27 18:08:00-03","NY","NYBG","642539","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","brasiliensis","Polygala brasiliensis","A. L. Bernardi","T. M. Pedersen","4319","1956","11","16","South America","Paraguay","Misiones","Estancia La Soledad, Santiago","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","642537","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","brasiliensis","Polygala brasiliensis","A. C. Brade","A. C. Brade","18973","1948","05","05","South America","Brazil","Minas Gerais","Pico do Muro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642537","L.","Passa Quatro","-44.9667","-22.3906","NY00642537_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","642529","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","brasiliensis","Polygala brasiliensis","J. J. Wurdack","F. Segadas-Vianna","3031","1951","03",NA,"South America","Brazil","São Paulo","Serra da Bocaina, Pinhoirinho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642529","L.","Barreiro",NA,NA,"NY00642529_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1127938","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","brasiliensis","Polygala brasiliensis","R. Lüdtke","R. L. Barbieri","8561","1992","06","18","South America","Brazil","Rio Grande do Sul","Fortaleza","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272215' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127938","L.","Cambará do Sul","-49.947606","-29.058184","NY01127938_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","642533","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","brasiliensis","Polygala brasiliensis","A. L. Bernardi","B. Rambo","25825","1947","01","02","South America","Brazil","Rio Grande do Sul",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642533","L.","Quaraí","-56.4514","-30.3878","NY00642533_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","642526","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","brasiliensis","Polygala brasiliensis","A. R. A. Görts-van Rijn","J. C. Lindeman","2684","1966","10","14","South America","Brazil","Paraná","Near Rio dos Papagaios, 20 km E of Palmira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533905' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642526","L.","Palmeira","-50.0064","-25.4294","NY00642526_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02398780","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","brasiliensis","Polygala brasiliensis",NA,"A. F. Regnell","II:10",NA,NA,NA,"South America","Brazil","Minas Gerais","Caldas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2618660' target='other'> <mi>dwc_moreinfo</mi></a>","NY02398780","L.",NA,NA,NA,"NY02398780_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","642530","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","brasiliensis","Polygala brasiliensis","B. Rambo","A. Sehnem","4983","1950","10","25","South America","Brazil","Rio Grande do Sul","Linha Campestre","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642530","L.","Montenegro","-51.4608","-29.6886","NY00642530_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","642532","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","brasiliensis","Polygala brasiliensis","L. B. Smith","L. B. Smith","9161","1956","12","24","South America","Brazil","Santa Catarina","Campos of Palmas, 52 km W of Caçador","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642532","L.","Joaçaba","-51.5044","-27.1783","NY00642532_01","1000","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","642527","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","brasiliensis","Polygala brasiliensis","J. J. Wurdack","R. E. Braga","580","1954","03","30","South America","Brazil","Paraná",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642527","L.","Lapa","-49.7156","-25.7697","NY00642527_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
