"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","infraspecificEpithet","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00907164","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bimarginata","Eugenia bimarginata","DC.","C. M. D. E. Legrand","H. S. Irwin","6339","1964","09","26","South America","Brazil","Mato Grosso","Ca. 2 km. N. of Xavantina.","-52.35","-14.63","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907164","NY00907164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907167","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bimarginata","Eugenia bimarginata","DC.","B. K. Holst; M. L. Kawasaki","G. G. Hatschbach","31297","1973","02","05","South America","Brazil","Minas Gerais","S. Tomé das Letras","-44.9853","-21.7222",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907167","NY00907167_01","São Thomé das Letras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","579730","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bimarginata","Eugenia bimarginata","DC.","M. L. Kawasaki","G. G. Hatschbach","64011","1995","12","06","South America","Brazil","Paraná","Serra do Caetê.","-49.3142","-25.1903",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=140825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579730","NY00579730_01","Rio Branco do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-01-26 16:22:00-02","NY","NYBG","1187579","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bimarginata","Eugenia bimarginata",NA,"B. K. Holst","D. C. Daly","2236","1983","07","21","South America","Bolivia","Santa Cruz","North slope of Serrania de Santiago. 10 km ENE of Santiago de Chiquitos","-59.47","-18.33","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1311872' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187579",NA,"Chiquitos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00907299","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bimarginata","Eugenia bimarginata","DC.","M. Sobral","G. T. Prance","58209","1964","07","18","South America","Brazil","Goiás","Chapada dos Veadeiros. 2 km from Veadeiros","-47.5097","-14.1325",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907299","NY00907299_01","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00907193","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bimarginata","Eugenia bimarginata","DC.","M. Sobral","G. T. Prance","58209","1964","07","18","South America","Brazil","Goiás","2 km. from Veadeiros","-47.5097","-14.1325",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984703' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907193","NY00907193_01","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-01-12 10:50:00-02","NY","NYBG","557843","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bimarginata","Eugenia bimarginata",NA,"F. F. Mazine","J. R. Mattos","8909","1961","10","29","South America","Brazil","São Paulo","Sao Jose dos Campos",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557843","NY00557843_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1181639","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bimarginata","Eugenia bimarginata","DC.",NA,"J. Tannus","682","2003","09","24","South America","Brazil","São Paulo","Estação Ecologica de Itirapina.","-47.9239","-22.2161",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386910' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181639","NY01181639_01","Brotas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00907527","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bimarginata","Eugenia bimarginata","DC.","F. F. Mazine","J. A. Ratter","R351","1967","08","14","South America","Brazil","Mato Grosso","7 km SW of Xavantina.","-52.33","-14.73","650","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907527","NY00907527_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00907168","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bimarginata","Eugenia bimarginata","DC.",NA,"R. S. Santos","24148","1963","09","07","South America","Brazil","Minas Gerais","Entre Corinto e Tres Marias",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907168","NY00907168_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
