"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","533490","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Reissekia","smilacina","Reissekia smilacina","(Sm.) Steud.","S. A. Mori","S. A. Mori","10877","1978","10","20","South America","Brazil","Bahia","Porto Seguro","Estrada nova que liga a Rod. 367 com o Arraial d'Ajuda. Mata a 17 km do entroncamento com a BR 367. Cerca de 30 km a W de Porto Seguro.","-39.0644","-16.4497","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533490","NY00533490_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","533495","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Reissekia","smilacina","Reissekia smilacina","(Sm.) Steud.",NA,"G. Gardner","s.n.","1836","08",NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","Comm. am. Shuttleworth 1838 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533495","NY00533495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 14:21:00-03","NY","NYBG","561254","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Reissekia","smilacina","Reissekia smilacina",NA,"R. C. Barneby",NA,"39",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Ad montem Corcovado prope Sebastiana.","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561254","NY00561254_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 14:21:00-03","NY","NYBG","533489","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Reissekia","smilacina","Reissekia smilacina",NA,"G. L. Nesom","A. M. V. de Carvalho","4481","1994","04","06","South America","Brazil","Bahia","Porto Seguro","Reserva da Brasil Holanda de Ind. S/A. Entrada no Km 22 da Rod. Eunapólis/P. Seguro. Ca, 9.5 Km na entrada.","-39.3253","-16.4625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533489","NY00533489_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01198579","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Reissekia","smilacina","Reissekia smilacina","(Sm.) Steud.","O. Kosovsky","A. M. Amorim","6902","2007","02","11","South America","Brazil","Bahia","Itamarajú","Serra de Itamaraju. Morro Pescoço. Aproximadamente 15 km da entrada da cidade","-39.6031","-16.9906","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1417846' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198579","NY01198579_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 14:21:00-03","NY","NYBG","533500","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Reissekia","smilacina","Reissekia smilacina",NA,NA,"H. C. de Lima","335","1978","04","04","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Campo Grande, Serra do Medanha.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533500","NY00533500_01","400","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 14:21:00-03","NY","NYBG","533499","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Reissekia","smilacina","Reissekia smilacina",NA,NA,"B. D. Sucre","347","1968","03","23","South America","Brazil","Rio de Janeiro","Petrópolis","Petrópolis, mata secundária na estrada de Contorno.","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533499","NY00533499_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 14:21:00-03","NY","NYBG","533485","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Reissekia","smilacina","Reissekia smilacina",NA,"J. A. Kallunki","R. P. Belém","2816","1966","11","04","South America","Brazil","Bahia","Santa Cruz Cabrália","Santa Cruz Cabrália.","-39.039317","-16.289196","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533485","NY00533485_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","533497","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Reissekia","smilacina","Reissekia smilacina","(Sm.) Steud.",NA,"P. von Luetzelburg","25","1911",NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Copacabana.","-43.184813","-22.973744","sheet","Last digit of year of collection illegible. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533497","NY00533497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 14:21:00-03","NY","NYBG","533491","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Reissekia","smilacina","Reissekia smilacina",NA,"G. L. Nesom","A. M. Amorim","966","1992","12","16","South America","Brazil","Bahia",NA,"Itacare, estrada Itacare a taboquinhas, ca. de 12 km de Itacare.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533491","NY00533491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
