"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","class","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","517253","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.","J. H. A. Dutilh","A. M. Amorim","1350","1993","09","14","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517253","NY00517253_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","566380","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.","J. H. A. Dutilh","J. G. Jardim","543","1994","07","28","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Picada Paralela ao Rio","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566380","NY00566380_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:27:21-03","UFBA","ALCB","105202","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.","Campos-Rocha, A","Queiroz, EP; Mattos Andrade, PE de; Texeira, SR; Oliveira, D","5367","2012","06","06","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Base Naval de Aratu","-38.5","-12.966667",NA,"de ca 50 cm de altura. Folhas membranáceas. Inflorescência com flores liláses.","ALCB006541","ALCB006541","2014","10","24","-38.5","-12.966667",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:27:21-03","UFBA","ALCB","042550","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.","Campos-Rocha, A","Guedes, ML; Cabral, LH; Ariede","6373","1999","06","25","Southern America","Brasil","Bahia","Belmonte","ponto 10 m.","-38.8828010559082","-15.8631000518799",NA,"30 cm, terrestre. Folhas membranáceas, discolores, pecíolo vináceo. Inflorescência com escapo vináceo, flores lilás. Ocasional.; sub-bosque.","ALCB006539","ALCB006539","2014","10",NA,NA,NA,"71281","auto",NA,NA,NA,NA,NA
"5","2015-07-02 14:00:12-03","JBP","HPL","12195","S","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker. Gawl.","A. Campos-Rocha","H. Lorenzi","6922","2010","10","07",NA,"Brasil","PA","Ubaitaba","Coletado em cabruca de cacau, área de Mata Atlântica.",NA,NA,NA,NA,NA,NA,"2013","09","20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:32:32-02","IPA","IPA","24299","S","Plantae","Plantae",NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker-Gawl.","Ravenna, P.","Eupunino, A.","199","1973","02","04","Southern America","Brasil","Bahia","Porto Seguro","Rodov. p/ Seguro/Eunápolis Km 13, Mata.","-39.0647010803223","-16.4496994018555",NA,"Planta de 15cm de altura. Flor lilás.","IPA0024299",NA,"1978","11",NA,NA,NA,"68835","auto",NA,NA,NA,NA,NA
"7","2019-02-15 11:32:32-02","IPA","IPA","25742","S","Plantae","Plantae",NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker-Gawl.","Ravenna, P.","Santos, T.S. dos","1805","1971","08","13","Southern America","Brasil","Bahia",NA,"Santa Maria Eterna, 1 km a Canavieiras.",NA,NA,NA,"Planta de 30cm altura. Flores azuis. Fruto verde.","IPA0025742",NA,"1978","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:18:54-03","UNICAMP","UEC","185663","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.","Campos-Rocha, A","Campos-Rocha, A","1282","2013","09","28",NA,"Brazil","Bahia","Ubaitaba","em cultivo no Jardim Botânico Plantarum","-39.323299407959","-14.3125",NA,"herbácea bulbosa, ca. 30-40 cm de altura, flores alvas a ligeiramente lilases no ápice","UEC109168","UEC109168","2013","09","28",NA,NA,"27575","auto",NA,NA,NA,NA,NA
"9","2020-12-21 16:11:33-03","MBM","MBM","156928","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora",NA,"Ravenna, P.","Hatschbach, G.","57050","1992","04","08","Southern America","Brazil","Bahia","Rio de Contas","Rio de Contas","-41.8114013671875","-13.5789003372192",NA,NA,"MBM156928","MBM156928",NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA
"10","2015-09-03 20:13:59-03","MNHN","RECOLNAT_MNHN_P","P02054641","PreservedSpecimen",NA,NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.",NA,"Blanchet, M.",NA,NA,NA,NA,NA,"Brasil","Bahia",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02054641' target='other'> <mi>dwc_moreinfo</mi></a>","P02054641","P02054641_01",NA,NA,NA,NA,NA,NA,NA,"2305",NA,NA,NA,NA
"11","2015-09-03 20:13:59-03","MNHN","RECOLNAT_MNHN_P","P02054642","PreservedSpecimen",NA,NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.",NA,"Gaudichaud, M.",NA,"1931","1","1",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02054642' target='other'> <mi>dwc_moreinfo</mi></a>","P02054642","P02054642_01",NA,NA,NA,NA,NA,NA,NA,"314",NA,NA,NA,NA
