"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","locality","phylum","monthIdentified","dayIdentified","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","order","minimumElevationInMeters","maximumElevationInMeters"
"1","2016-02-02 14:38:23-02","BGBM","B","B 10 0185211","S","Plantae","Lauraceae","Persea","obovata","Persea obovata","Nees & Mart.","isolectotype","F. Sellow","1363","Middle and South America","Brazil","<a href=http://herbarium.bgbm.org/object/B100185211 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185211","B100185211 B100185211_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-02-02 14:38:23-02","BGBM","B","B 10 0185212","S","Plantae","Lauraceae","Persea","obovata","Persea obovata","Nees & Mart.","isolectotype","F. Sellow","B 1363/c 394","Middle and South America","Brazil","<a href=http://herbarium.bgbm.org/object/B100185212 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185212","B100185212 B100185212_1","L. E. Kopp","1958","Brasilia [tropica]. Cubatao.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:38:23-02","BGBM","B","B 10 0185210","S","Plantae","Lauraceae","Persea","obovata","Persea obovata","Nees & Mart.","lectotype","F. Sellow","B 1363/C.394","Middle and South America","Brazil","Ex reliquiis Sellowianis, Humboldt ded. 1836 <a href=http://herbarium.bgbm.org/object/B100185210 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185210","B100185210 B100185210_1",NA,NA,"Bahia meridionalis, Höhe von Cubatao.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:16:46-03","UNICAMP","UEC","81927","S","Plantae","Lauraceae","Persea","obovata","Persea obovata","Nees",NA,"Simão-Bianchini, R; Garcia, RJF; Godoy, SAP; Sordi, SJ","915",NA,"Brazil",NA,NA,NA,"Baitello, JB","1997","Parque Estadual da Serra do Mar, Núcleo Curucutu. Campo.","Magnoliopsida","05","22","1996","01","18","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA
"5","2010-08-24 09:46:00-03","MO","MOBOT","1901118","PreservedSpecimen","Plantae","Lauraceae","Persea","obovata","Persea obovata","Nees & Mart.",NA,"F. Sellow","Sellow s.n.","South America","Brazil",NA,NA,NA,"C. Mez",NA,NA,NA,NA,NA,"1814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-15 15:31:00-03","UNESP-RC","HRCB","58757","PreservedSpecimen","Plantae","Lauraceae","Persea","obovata","Persea obovata","Nees & Mart.",NA,"Garcia, R.J.F.","1942",NA,"Brasil","Arvoreta , 2 m. Ramos mais velhos negros, flores ferrugíneas",NA,NA,"Moraes, P.","2012","Distrito Marsilac",NA,"11","28","2000","03","16","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA
"7","2020-06-15 15:31:00-03","UNESP-RC","HRCB","58756","PreservedSpecimen","Plantae","Lauraceae","Persea","obovata","Persea obovata","Nees & Mart.",NA,"Garcia, R.J.F.","1780",NA,"Brasil","Arvoreta , 2 m. frutos verdes",NA,NA,"Moraes, P.","2012","Distrito Marsilac",NA,"11","28","1999","10","29","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA
"8","2020-06-15 15:31:00-03","UNESP-RC","HRCB","58755","PreservedSpecimen","Plantae","Lauraceae","Persea","obovata","Persea obovata","Nees & Mart.",NA,"Marçon, S.L.","150",NA,"Brasil","Arbusto, 2 m alt. Folhas discolores; frutos verdes, presto quando maduros",NA,NA,"Moraes, P.","2012","Parque Natural da Cratera de Colônia",NA,"11","28","2009","06","06","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA
"9","2019-11-13 11:21:18-03","USP","SPF","110806","PreservedSpecimen","Plantae","Lauraceae","Persea","obovata","Persea obovata","Nees & Mart.",NA,"Godoy, SAP","775",NA,"Brasil",NA,"SPF00110806",NA,"Baitello, JB","1997","Marsilac. Reserva Estadual do Curucutu. Trilha que parte do lado da plantação de Pinus.",NA,"09","20","1995","08","16","São Paulo","São Paulo","-46.733611","-23.987778",NA,NA,"-46.733611","-23.987778",NA,NA,NA,NA
"10","2019-11-13 11:21:18-03","USP","SPF","116852","PreservedSpecimen","Plantae","Lauraceae","Persea","obovata","Persea obovata","Nees & Mart.",NA,"Garcia, RJF","902",NA,"Brasil",NA,"SPF00116852","SPF00116852","Baitello, JB","1997","Marsilac. Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do campo, em capoeirinha.",NA,"09","20","1996","06","12","São Paulo","São Paulo","-46.743333","-23.991111",NA,NA,"-46.743333","-23.991111",NA,NA,NA,NA
