"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","class","order","fieldNumber","continentOcean","typeStatus","coordinatePrecision","geoFlag"
"1","2020-11-04 11:06:57-03","ESALQ","ESA","120834","PreservedSpecimen","Plantae","Magnoliophyta","Eriocaulaceae","Paepalanthus","crinitus","Paepalanthus crinitus","Sauthier, L.J.","2018","05","15","Delfini, C.","420.0","2012","05","01","Brasil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata, a cerca de 2,5km da bifurcação a partir da estrada Curvelo - Diamantina.","-43.70587","-18.26591","-43.70587","-18.26591","1390","1400","Erva, haste floral 20-30cm alt., flores brancas.","ESA120834","ESA120834",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-13 11:19:29-03","USP","SPF","227071","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Paepalanthus","crinitus","Paepalanthus crinitus","Araújo, IM",NA,NA,NA,"Andrino, CO","96","2013","11","19","Brasil","Minas Gerais","Diamantina",NA,"-43.709556","-18.26725","-43.709556","-18.26725","1316","1316",NA,"SPF00227071",NA,"Tissot-Sq.",NA,NA,NA,NA,NA,NA,NA
"3","2019-11-13 11:19:29-03","USP","SPF","230394","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Paepalanthus","crinitus","Paepalanthus crinitus","Sauthier, LJ","2017","07",NA,"Delfini-Feliciano, C","420","2012","05","12","Brasil","Minas Gerais","Diamantina",NA,"-43.70587","-18.26591","-43.70587","-18.26591","1390","1400",NA,"SPF00230394",NA,"Tissot-Sq.",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-04 11:16:02-03","UEFS","HUEFS","210589","PreservedSpecimen","Plantae","Angiospermae","Eriocaulaceae","Paepalanthus","crinitus","Paepalanthus crinitus","L.J.Sauthier","2018","05",NA,"Delfini, C.","420","2012","05","12","Brasil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata, a cerca de 2,5 Km da bifurcação a partir da estrada Curvelo-Diamantina.","-44","-18","44W","18S","1390","1400","Campo cerrado.","HUEFS0210589","HUEFS0210589 HUEFS0210589_e1","Tissot-Sq.","Lilianae","Poales",NA,NA,NA,NA,NA
"5","2018-04-04 16:32:13-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Eriocaulaceae","Paepalanthus","crinitus","Paepalanthus crinitus","RRC ID Flag",NA,NA,NA,"M. M. Arbo","4416",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,"4416","South America",NA,NA,NA
"6","2021-02-08 12:51:49-03","UFRGS","ICN","134918","S","Plantae","Monocotyledon","Eriocaulaceae","Paepalanthus","crinitus","Paepalanthus crinitus","Tissot-Squalli",NA,NA,NA,"Tissot; et al.","67","1996","04","03","Brasil","MG","Diamantina","estrada para Conselheiro Mata","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"Em solo arginoso, em campo seco.","ICN00000192","ICN00000192","Tissot-Squalli",NA,NA,NA,"América do Sul","Isotypus","101169","auto"
"7","2021-02-08 12:51:49-03","UFRGS","ICN","111889","S","Plantae","Monocotyledon","Eriocaulaceae","Paepalanthus","crinitus","Paepalanthus crinitus","Tissot-Squalli",NA,NA,NA,"Tissot; et al.","67","1996","04","03","Brasil","MG","Diamantina","estrada para Conselheiro Mata","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"Em solo arginoso, em campo seco.","ICN00000191","ICN00000191 ICN00000191_1","Tissot-Squalli",NA,NA,NA,"América do Sul","Holotypus","101169","auto"
