"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:39:03-03","E","E","69053","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","Harley, R.M.; Hind, D.J.N.; Simao, R. & Fothergill, J.M.","25653","1988","10","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:76807","<a href=http://data.rbge.org.uk/herb/E00069053 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00069053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:03-03","E","E","346290","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","Gardner, George","1142","1905","01","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:383692","<a href=http://data.rbge.org.uk/herb/E00346290 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00346290","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:03-03","E","E","346289","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","Gardner, George","3048","1905","01","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:383690","<a href=http://data.rbge.org.uk/herb/E00346289 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00346289","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:03-03","E","E","69054","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","Harley, R.M.; Hind, D.J.N.; Simao, R. & Fothergill, J.M.","25336","1988","10","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:76812","<a href=http://data.rbge.org.uk/herb/E00069054 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00069054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1145344","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","P. G. Delprete","9099","2004","11","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1310820' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145344",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","J. L. da Costa Lima","Goiás","Pirenópolis","Serra dos Pireneus. Córrego da Barriguda.","-48.8842","-15.8175","1080","1080","NY01145344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","393315","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","A. Amaral","1025","1972","08","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393315",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.",NA,"São Paulo","Botucatu","Pela estrada Botucatu-Italinga, próximo ao Rio Pardo, a + ou - 10 km de Botucatu","-48.4397","-22.88","840","840","NY00393315_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","399927","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum denudatum","G. Gardner","1142","1838",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00399927","isolectotype","Magnoliophyta","Malpighiales","O.E.Schulz",NA,"Pernambuco",NA,NA,NA,NA,NA,NA,"NY00399927_01","denudatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00997365","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","V. F. Ferreira","1637","1980","10","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1161974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997365",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Minas Gerais","Santos Dumont","BR-040.","-43.5525","-21.4569",NA,NA,"NY00997365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00997165","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","J. A. Ratter","R.3698",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1148856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997165",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","J. L. da Costa Lima","Distrito Federal","Brasília","Close to the campus of the University of Brasília.","-47.9294","-15.7797",NA,NA,"NY00997165_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00997354","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","B. D. Sucre","10442","1973","12","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1155227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997354",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.",NA,"Mato Grosso","Rio Verde","Fazenda Anhumas do Rio Negrinho, Propriedade do Alfredo Neder.",NA,NA,"590","590","NY00997354_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
