"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","recordNumber","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","relationshipType","individualCount","fieldNumber","infraspecificEpithet","previousCatalogNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","375963","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.","H. O. Sleumer",NA,NA,NA,"R. Reitz","1956","03","29","Brazil","Santa Catarina","Itajaí","Morro da Ressacada, Itajaí","-48.6617","-26.9081",NA,NA,"150","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375963","2932","NY00375963_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","375970","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.","H. O. Sleumer",NA,NA,NA,"G. G. Hatschbach","1967","05","21","Brazil","Paraná","Campina Grande do Sul","Caminho Cerro Verde","-49.0553","-25.3058",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375970","16463","NY00375970_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","375971","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.",NA,NA,NA,NA,"T. Morong","1888",NA,NA,"Paraguay",NA,NA,"Central Paraguay",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648122' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375971","235","NY00375971_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","476264","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.",NA,NA,NA,NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476264","595","NY00476264_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","719890","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.",NA,NA,NA,NA,"A. Santos","2008","09","11","Brazil","São Paulo","Santo André","Parque Andreense, Rua Felipe dos Santos","-46.46675","-23.755733",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2524014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00719890","41","NY00719890_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","375982","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.","H. O. Sleumer",NA,NA,NA,"G. Gardner","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375982","4496","NY00375982_01 NY00375982_02","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1802138","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.","R. Marquete",NA,NA,NA,"J. M. A. Braga","1996","01","13","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia, Ponte do Maromba, próximo margem do rio Campo Belo.","-44.65833","-22.35833",NA,NA,"1050",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2046593' target='other'> <mi>dwc_moreinfo</mi></a>","NY01802138","3783","NY01802138_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","375966","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.",NA,NA,NA,NA,"H. C. de Lima","1990","10","30","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Sitio Sophronites","-42.05","-22",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375966","4009","NY00375966_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-13 09:20:54-03","UFRJ","RFA","8771","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.","H. Sleumer",NA,NA,NA,"G.G. Hatschbach","1968","02","14","Brasil","Paraná","Paranaguá","Picadão Cambará - Col. Limeira","-48.5092010498047","-25.5200004577637",NA,NA,"50","50","Arvoreta de 5m, flor creme esverdeada. Tronco com espinhos.","RFA27728","18609",NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-13 09:20:54-03","UFRJ","RFA","11848","PreservedSpecimen","Plantae","Salicaceae","Xylosma","salzmannii","Xylosma salzmannii","(Clos) Eichler","H. Sleumer",NA,NA,NA,"G.G. Hatschbach; O. Guimarães","1968","06","10","Brasil","Paraná","São Jorge d'Oeste","Rio Iguaçu, Salto Osório","-52.9183006286621","-25.7056007385254",NA,NA,NA,NA,"Árvore de 15m, flor creme","RFA11340","19346",NA,NA,NA,NA,NA,"23663","auto",NA,NA,NA,NA,NA,NA,NA,NA
