"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","stateProvince","locality","occurrenceRemarks","individualCount","recordedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","recordNumber","continentOcean","preparationType","barcode","imagecode","typeStatus","relatedCatalogItem","infraspecificEpithet","fieldNumber","sex"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3504","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Laelia","acuminata","Laelia acuminata","Lindl.","Brasil","MG","Chácara Boa Vista","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2019","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Laelia","cf. gloriosa","Laelia cf. gloriosa","(Rchb.f.) L.O.Williams","Brasil","Minas Gerais",NA,"254","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","1976","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Laelia","cf. gloriosa","Laelia cf. gloriosa","(Rchb.f.) L.O.Williams","Brasil",NA,NA,"254","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2039","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Laelia","gloriosa","Laelia gloriosa","(Rchb.f.) L.O.Williams","Brasil",NA,NA,"254","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2118","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Laelia","gloriosa","Laelia gloriosa","(Rchb.f.) L.O.Williams","Brasil","Minas Gerais","Usina Porto Estrela","254","1","Eugênio Tameirão;","Joanesia","-42.6786003112793","-19.1721992492676","21197","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2078","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Laelia","gloriosa","Laelia gloriosa","(Rchb.f.) L.O.Williams","Brasil","Minas Gerais",NA,"254","1","Rubens Custódio;","Itambé do Mato Dentro","-43.3210983276367","-19.414400100708","22479","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2020","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Laelia","gloriosa","Laelia gloriosa","(Rchb.f.) L.O.Williams","Brasil","Minas Gerais",NA,"254","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2245","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Laelia","gloriosa","Laelia gloriosa","(Rchb.f.) L.O.Williams","Brasil","Minas Gerais","Fazenda Cauaia","254","1",NA,"Matozinhos","-44.0814018249512","-19.5578002929688","20503","auto","Carlos A. Ferreira Jr.","2009","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2038","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Laelia","gloriosa","Laelia gloriosa","(Rchb.f.) L.O.Williams","Brasil",NA,NA,"254","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","3764","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Laelia","sp.","Laelia sp.",NA,NA,NA,NA,"254","1",NA,NA,NA,NA,NA,NA,"Carlos Alberto Ferreira Júnior","2016","06","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
