"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","fieldNumber","infraspecificEpithet","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","856105","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","puberula","Wedelia puberula","DC.","H. Robinson","H. S. Irwin","25834","1970","02","01","South America","Brazil","Minas Gerais","Serra dos Óculos, ca. 60 km N.E. of Patrocínio","-46.8","-18.66669","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856105","NY00856105_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","804404","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","puberula","Wedelia puberula","DC.","H. E. Robinson","R. Kral","75934","1988","12","07","South America","Brazil","Goiás","Ca. 5 kms N of jct. rd W to Pires do Rio by BR 050",NA,NA,"800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804404","NY00804404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","804401","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","puberula","Wedelia puberula","DC.",NA,"G. G. Hatschbach","59663","1993","10","19","South America","Brazil","Paraná","Rodovia Castro-Tibagi, km 24","-50.4133","-24.5094",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804401","NY00804401_01","Tibagi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","856100","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","puberula","Wedelia puberula","DC.","J. F. Pruski","P. Clausen","s.n.","1838",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856100","NY00856100_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","856097","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","puberula","Wedelia puberula","DC.","J. F. Pruski","P. Clausen","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856097","NY00856097_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","856103","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","puberula","Wedelia puberula","DC.","G. M. Barroso","H. S. Irwin","25594","1970","01","29","South America","Brazil","Minas Gerais","Morro da Pedras, ca. 37 km N.E. of Patrocínio","-43.2485756","-19.9480039","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856103","NY00856103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","856099","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","puberula","Wedelia puberula","DC.","J. F. Pruski","P. Clausen","s.n.","1838",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856099","NY00856099_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","856098","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","puberula","Wedelia puberula","DC.","J. F. Pruski","G. G. Hatschbach","43803","1981","04","11","South America","Brazil","Goiás","Ponte Alta, 5 km O","-48.1594","-17.7219",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856098","NY00856098_01","Ipameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","804405","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","puberula","Wedelia puberula","DC.","G. M. Barroso","H. S. Irwin","22082","1969","01","16","South America","Brazil","Minas Gerais","Ca. 25 km SW of Diamantina on road to Gouveia.",NA,NA,"1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804405","NY00804405_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","856104","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","puberula","Wedelia puberula","DC.","J. F. Pruski","G. G. Hatschbach","51779","1988","01","23","South America","Brazil","Goiás","Rod. BR-050",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856104","NY00856104_01","Campo Alegre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
