"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","yearIdentified","monthIdentified","year","month","day","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","class","continentOcean","typeStatus","fieldNumber","sex","preparationType"
"1","2021-04-05 14:33:22-03","UNESC","CRI","2593","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","itatiaiae","Nidularium itatiaiae","L.B.Sm.","R. Reitz","R. Reitz; Smith","Brasil","Rio de Janeiro","Itatiaia","Véu da Noiva.","-44.563611","-22.496667","44º33'49''W","22º29'48''S","CRI001906","CRI001906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","357","S","Plantae","Bromeliaceae","Nidularium","itatiaiae","Nidularium itatiaiae","L.B.Sm.","Elton. C. M. Leme","Elton M. C. Leme;","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, caminho para o Véu de Noiva","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"Magnoliophyta","Poales","2009","05","1995","12","21","19648","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","154","S","Plantae","Bromeliaceae","Nidularium","itatiaiae","Nidularium itatiaiae","L.B.Sm.","Elton. C. M. Leme","Elton M. C. Leme; Fernando Pacheco","Brasil","Rio de Janeiro","Rezende","Parque Nacional do Itatiaia, próximo à cachoeira do Maromba","-44.4467010498047","-22.468900680542",NA,NA,NA,NA,"Magnoliophyta","Poales","2009","05","1989","08","26","36089","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:40-03","UFRJ","RFA","42276","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","itatiaiae","Nidularium itatiaiae","L.B.Sm.","M.B.Plumm, A.P.M.Buzzani, B.V.Vinolo, E.C.N.Melo, F.Sciammarella","M.B.Plumm; A.P.M.Buzzani, B.V.Vinolo, E.C.N.Melo, F.Sciammarella","Brasil","Rio de Janeiro","Itatiaia","PARNA Itatiaia, Próximo à trilha para a cachoeira Véu da Noiva. Floresta Ombrofila Densa montana.","-44.619722","-22.427778","44º37'11''W","22º25'40''S","RFA35999",NA,NA,NA,"2017","12","2017","12","05",NA,NA,"Erva epífita de sombra a cerca de 4 m do solo com cerca de 40 cm de altura. Brácteas florais, primárias e do pedúnculo com ápice rubro e base alva. Três sépalas de ápice rubro e base alva",NA,"05","64","1000","1000",NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:19:15-03","UFRJ","RFA","43489","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","itatiaiae","Nidularium itatiaiae","L.B.Sm.",NA,"K.T. Ribeiro; B. Medina","Brasil","Rio de Janeiro","Itatiaia","Planalto do Itatiaia, Parque Nacional do Itatiaia, Maciço das Prateleiras","-44.666667","-22.5","44º40'W","22º30'S","RFA52313",NA,NA,NA,NA,NA,"1998","05",NA,NA,NA,"Folhas e estaca floral de intenso vermelho",NA,NA,"s.n.","2400","2400",NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:29:40-03","UFRJ","RFA","42281","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","itatiaiae","Nidularium itatiaiae","L.B.Sm.","M.B.Plumm, A.P.M.Buzzani, B.V.Vinolo, E.C.N.Melo, F.Sciammarella","M.B.Plumm; A.P.M.Buzzani, B.V.Vinolo, E.C.N.Melo, F.Sciammarella","Brasil","Rio de Janeiro","Itatiaia","PARNA Itatiaia, Próximo à trilha para a cachoeira Véu da Noiva. Floresta Ombrofila Densa montana.","-44.618056","-22.426944","44º37'5''W","22º25'37''S","RFA35998",NA,NA,NA,"2017","12","2017","12","05",NA,NA,"Erva epífita de sol. Brácteas florais e primárias concolores de ápice rubro e base alva. Brácteas do pedúnculo com bases alvas; ápice das bases abaxial vináceo e adaxial verde; lâmina adaxial verde com tons vináceos no centro e ápice ab",NA,"05","69","1000","1000",NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:25:59-03","MN","R","46177","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","itatiaiae","Nidularium itatiaiae","L.B. Sm.","Leme, E.M.C.","Dusén, P.K.H.","Brasil","Rio de Janeiro","Itatiaia","Mont Serrat","-44.5633010864258","-22.4960994720459",NA,NA,"R010006625",NA,NA,NA,"1990","04","1902","07","15","19648",NA,NA,"auto",NA,"740",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-15 15:29:40-03","UNESP-RC","HRCB","64830","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","itatiaiae","Nidularium itatiaiae","L.B. Sm.","Kleber R. Silva, Letícia C. Seidinger, Ricardo A. Gonçalves","Grupo Vermelho","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia - Trilha dos Três Picos","-44.604378","-22.431869","44º36'15.76w","22º25'54.73S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","1540593","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","itatiaiae","Nidularium itatiaiae","L.B. Sm.",NA,"J. Ferreira","Brazil","Rio de Janeiro",NA,"Vicinity of Ponte Maromba, Mt. Itatiaya, Estação Biologica.","-44.63","-22.47",NA,NA,NA,NA,NA,"Bromeliales",NA,NA,"1929","1","11",NA,"1",NA,NA,NA,"1800","1200",NA,"Monocotyledonae","South America - Neotropics",NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2459053","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","itatiaiae","Nidularium itatiaiae","L.B. Sm.",NA,"H. Strang","Brazil","Rio de Janeiro",NA,"Itatiaia, Maromba.",NA,NA,NA,NA,NA,NA,NA,"Bromeliales",NA,NA,"1964","12","13",NA,"1",NA,NA,NA,"626",NA,NA,"Monocotyledonae","South America - Neotropics",NA,NA,NA,NA
