"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","306259","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","mariquitense","Cestrum mariquitense","Kunth","M. H. Nee","M. H. Nee","48548","1998","03","01","South America","Bolivia","Santa Cruz","Ichilo","2.5 km SW of turnoff at Villa San Isidro from new highway from Buena Vista to Río Ichilo.","-64","-17.4","350","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","626953","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","mariquitense","Cestrum mariquitense","Kunth","M. H. Nee","J. da Cruz","s.n.","1987","08","01","South America","Brazil","Paraná","Londrina","Fazenda Jaboticabal-Maravilha.","-51.1628","-23.3106",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626953","NY00626953_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1032772","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","mariquitense","Cestrum mariquitense","Kunth","M. H. Nee","J. de S. Silva","304","1974","05","28","South America","Brazil","São Paulo",NA,"nativa no Jardim Botânico e Parque do Estado. Área 21.","-46.621883","-23.654505",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204193' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032772","NY01032772_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","626946","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","mariquitense","Cestrum mariquitense","Kunth",NA,"I. M. Válio","18","1959","07","27","South America","Brazil","São Paulo","Santa Cruz do Rio Pardo",NA,"-49.63","-22.89",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626946","NY00626946_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","911048","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","mariquitense","Cestrum mariquitense","Kunth","M. H. Nee","B. A. S. Pereira","830","1983","10","14","South America","Brazil","Distrito Federal","Brasília","Bacia do rio São Bartolomeu, beira do rio São Bartolomeu; junto da ponte sobre a BR-251.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990500' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911048","NY00911048_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","626956","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","mariquitense","Cestrum mariquitense","Kunth","M. H. Nee","E. M. Francisco","s.n.","2000","02","11","South America","Brazil","Paraná","Rolândia","Fanzenda Conquista.","-51.3692","-23.3097",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626956","NY00626956_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","626948","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","mariquitense","Cestrum mariquitense","Kunth",NA,"Pohl","3010",NA,NA,NA,"South America","Brazil",NA,NA,"Real Fabrica do [?].",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626948","NY00626948_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","626945","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","mariquitense","Cestrum mariquitense","Kunth",NA,"J. V. Neto","2602","1976","08","16","South America","Brazil","São Paulo","Sumaré","Horto Florestal.","-47.2597","-22.82",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626945","NY00626945_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","626943","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","mariquitense","Cestrum mariquitense","Kunth",NA,"S. Romaniuc Neto","1189","1991","06","04","South America","Brazil","São Paulo","Moji-Guaçu","Martinho Prado, Fazenda Campininha, Reserva Biológica. Mata da Mariana, Córrego da Divisa.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626943","NY00626943_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","626939","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","mariquitense","Cestrum mariquitense","Kunth","M. H. Nee","L. Riedel","298","1821",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626939","NY00626939_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","626952","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","mariquitense","Cestrum mariquitense","Kunth","M. H. Nee","S. Tsugaru","B-2097","1987","11","05","South America","Brazil","São Paulo",NA,"Near Mirante do Paranapanema, 30km N from the state border between Paraná, along the Rt. SP-563",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626952","NY00626952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
