"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","country","stateProvince","locality","occurrenceRemarks","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","day","barcode","imagecode","continentOcean","fieldNumber","preparationType","order","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","individualCount","typeStatus","previousCatalogNumber","sex"
"1","2021-03-31 13:40:49-03","MN","R","3001","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Biachetti, L.B. & Batista, J.A.N.","2000","09","Hoehne, F.C.","1195","1909","01","Brasil","Mato Grosso","Campina","Commissão Rondon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:40:49-03","MN","R","35679","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Bianchetti, L.B. & Batista, J.A.N","2000","09","Kuhlmann, J.G.","147","1914","10","Brasil","Mato Grosso",NA,"Comissão de Linhas Telegráficas e Estratégicas do Mato Grosso ao Amazonas","Cuiabá","-56.0966987609863","-15.5960998535156","74875","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:00:41-03","UNICAMP","UEC","98564","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Bianchetti, LB","2000","03","Marcondes-Ferreira, W; Belinello, R; Semir, J; Dutilh, JHA; Nakajima, JN; Hind, DJN","1558","1997","11","Brazil","São Paulo","Estreito, Brejo.","Flores com tépalas creme esverdeadas com manchas ocráceas, labelo laranja escuro com mancha amarela na base; coluna verde.","Pedregulho","-47.4700012207031","-20.25","27552","auto","Liliopsida","06","UEC064361","UEC064361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:38:23-03","MBM","MBM","277173","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","et al.; Batista, J.A.N.","2003","11","Batista, J.A.N.","1269","2001","11","Brazil","Goiás","Reserva Ecológica do Guará","Erva terrestre, em campo limpo estacionalmente úmido. Solo argiloso-arenoso, escuro, úmido","Guará",NA,NA,NA,NA,NA,"10","MBM277173","MBM277173","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:38:23-03","MBM","MBM","27611","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Batista, J.A.N.",NA,NA,"Hatschbach, G.; Koczicki, C.; Koczicki, C.","33317","1973","10","Brazil","Goiás","Rio Babilônia",NA,"Santa Rita do Araguaia","-53.2052993774414","-17.3255996704102","61711","auto",NA,"16","MBM027611","MBM027611","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-03 19:54:04-03","MNHN","RECOLNAT_MNHN_P","P00436900","PreservedSpecimen",NA,"Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Batista",NA,NA,"Weddell, H.A.",NA,"1844","12","Brésil",NA,"Brésil occidental : Prov. de Matto-Grosso : sources du Paraguay (env. de Diamantino)","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436900' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"P00436900","P00436900_01",NA,"3071","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-10-01 14:25:53-03","JBB","HEPH","6883","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Batista, JAN","2003","02","Salles, AEH","1512","1989","10","Brasil","Distrito Federal","Vicente Pires, Margem da estrada que liga ao Jardim Zoológico","Planta de sombra","Taguatinga",NA,NA,NA,NA,"Monocotyledon","16",NA,NA,"Southern America",NA,NA,"Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-10-01 14:25:53-03","JBB","HEPH","7177","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Batista, JAN","2003","02","Salles, AEH","1731","1990","06","Brasil","Distrito Federal","Santuário de vida silvestre","Planta de sombra","Riacho Fundo",NA,NA,NA,NA,"Monocotyledon","26",NA,NA,"Southern America",NA,NA,"Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-10-01 14:25:53-03","JBB","HEPH","5957","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Batista, JAN","2003","02","Equipe do Jardim Botânico de Brasília","1023","1987","10","Brasil","Distrito Federal","Estrada Parque de Taguatinga",NA,"Brasília","-47.9296989440918","-15.7797002792358","70570","auto","Monocotyledon","19",NA,NA,"Southern America",NA,NA,"Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-10-01 14:25:53-03","JBB","HEPH","6844","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Batista, JAN","2003","02","Salles, AEH","258","1985","10","Brasil","Distrito Federal","Setor de Indústria - DF",NA,"Brasília","-47.9296989440918","-15.7797002792358","70570","auto","Monocotyledon","13",NA,NA,"Southern America",NA,NA,"Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-10-01 14:25:53-03","JBB","HEPH","6118","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Batista, JAN","2003","02","Salles, AEH","415","1985","11","Brasil","Distrito Federal","Setor de Indústria - DF",NA,"Brasília","-47.9296989440918","-15.7797002792358","70570","auto","Monocotyledon","20",NA,NA,"Southern America",NA,NA,"Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:44:26-03","UFMG","BHCB","120049","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes",NA,NA,NA,"Batista, JAN","2368","2007","12","Brasil","Distrito Federal","Região Administrativa I - Brasília, Córrego do Torto. Campos a margem do córrego do torto, do lado direito da pista Plano Piloto-Sobradinho, em direção a Sobradinho","Erva terrestre, em campo limpo estacionalmente úmido. Solo areno-argiloso, escuro. Local queimado durante a seca.","Brasília","-47.887167","-15.706806",NA,NA,"Monocotyledon","29",NA,NA,"Southern America",NA,NA,NA,"-47.887167","-15.706806","984","984",NA,NA,NA,NA,NA
"13","2020-12-11 11:44:26-03","UFMG","BHCB","134979","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes",NA,"2007","12","Martins, CAN; Batista, JAN; Munhoz, ACD; Ramalho, AJ","19","2007","12","Brasil","Minas Gerais","Parque Nacional da Serra do Cipó","Dados de latitude e longitude com base na sede do munícipio com base no banco de dados de cidades e vila IBGE 19988","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto","Monocotyledon","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,"1239","1239","18",NA,NA,NA,NA
"14","2020-12-11 11:44:26-03","UFMG","BHCB","120033","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes",NA,"2007","12","Batista, JAN","2352","2007","12","Brasil","Distrito Federal","Região Administrativa I - Brasília, Setor de Mansões do Lago Norte, na altura da MI-10","Floração em cultivo na UFMG, em Belo Horizonte, a partir de material coletado no local em 4/01/2001 (J.A.N. Batista 1122 - CEN).; Erva terrestre; em campo limpo permanentemente úmido na base de encosta","Brasília","-47.9296989440918","-15.7797002792358","70570","auto","Monocotyledon",NA,"BHCB001163","BHCB001163","Southern America",NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA
"15","2020-12-11 11:44:26-03","UFMG","BHCB","97491","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes",NA,NA,NA,"Batista, JAN","1122B","2001","01","Brasil","Distrito Federal","Setor de Mansões do Lago Norte. Área brejosa a esq","Erva terrestre, em campo limpo permanentemente úmido na base de encosta. Solo hidromórfico, escuro, argiloso, úmido ou com água sobre a superfície. Ocasional, observado um conjunto mediano de plantas restrito a um ponto do campo. Pseudobulbos pequeno","Brasília","-47.9296989440918","-15.7797002792358","70570","auto","Monocotyledon","04",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-18 16:54:00-03","MO","MOBOT","100237485","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes",NA,NA,NA,"Amaro Macedo","Macedo 3383","1951","10","Brazil","Minas Gerais","Municipality: Ituiutaba Sierra Aroeira",NA,NA,NA,NA,NA,NA,NA,"28",NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"17","2013-08-23 04:12:00-03","MO","MOBOT","3498040","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes",NA,NA,NA,"Roberto Vásquez|Günter Gerlach","Vásquez C. 3698",NA,NA,"Bolivia","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"18","2020-09-02 16:34:44-03","Cenargen","CEN","21165","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista & L. B. Bianchetti","2000","12","João Aguiar Nogueira Batista","424","1994","11","Brasil","DF","Área queimada da Reserva Ecológica do Guará.","Há no local uma grande população desta espécie, mas observados pouquíssimos exemplres em floração este ano, possivelmente em função da área não ter queimado durante a seca.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"13","CEN00021165","CEN00021165",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
