"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02636684","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","racemosus","Allophylus racemosus","Sw.","R. L. G. Coelho","P. Fiaschi","1211","2002","12","02","South America","Brazil","Bahia","Jussari","Estrada Jussari/Palmira, entrada a esquerda ca. 7,5Km. Faz. Teimoso. RPPN Serra do Teimoso.","-39.5286","-15.1581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475156' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636684","NY02636684_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","985143","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","racemosus","Allophylus racemosus","Sw.","P. Acevedo-Rodríguez","D. C. Daly","D549","1980","10","10","South America","Brazil","Maranhão","Barra do Corda","Roadside & capoeira approx. 10 km E of Barra do Corda on road to Presidente Dutra.","-45.17","-5.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985143","NY00985143_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","985144","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","racemosus","Allophylus racemosus","Sw.",NA,"J. U. M. dos Santos","677","1983","02","23","South America","Brazil","Maranhão","Buriti Bravo","Margem direita do Rio Itapecuru. Vereda que vai do alojamento ao porto Caiçara.","-43.8333","-5.8372","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985144","NY00985144_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-07-21 15:23:00-03","NY","NYBG","02783196","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","racemosus","Allophylus racemosus",NA,"O. Kosovsky","P. Acevedo-Rodríguez","1358","1986","07","27","South America","Colombia","Antioquia",NA,"Mun. de Santo Domingo; Corregimiento de Santiago; Sector La Negra; carretera a Santiágo km 4 de la partida de Ituango",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313267' target='other'> <mi>dwc_moreinfo</mi></a>","NY02783196","NY02783196_01","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","447796","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","racemosus","Allophylus racemosus","Sw.","R. L. G. Coelho","R. Callejas Posada","1576","1983","10","28","South America","Brazil","Bahia","Itabuna","Km 9 da estrada Jucari-Palmeira. Fazenda San Antonio.","-39.2803","-14.7858","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447796","NY00447796_01","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","447815","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","racemosus","Allophylus racemosus","Sw.","P. Acevedo-Rodríguez","J. B. E. Pohl","5558",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01159368","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","racemosus","Allophylus racemosus racemosus","Sw.","T. D. Pennington","M. J. G. Hopkins","703","1986","06","12","South America","Brazil","Roraima",NA,"Ilha de Maracá, Mun. Alto Alegre. SEMA Estacão. Furo Pananá de Firmino of Rio Uraricuera on S side of island. Riverside vegetation overhanging river","-61.43","3.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1471783' target='other'> <mi>dwc_moreinfo</mi></a>","NY01159368","NY01159368_01",NA,NA,"racemosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01159367","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","racemosus","Allophylus racemosus racemosus","Sw.","T. D. Pennington","G. T. Prance","9552","1969","02","01","South America","Brazil","Roraima","Boa Vista","Road Boa Vista to Venezuela ( BR-174 ) 20 Km N","-60.6731","2.8197","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1471782' target='other'> <mi>dwc_moreinfo</mi></a>","NY01159367","NY01159367_01",NA,NA,"racemosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","447819","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","sericeus","Allophylus sericeus","(Cambess.) Radlk.",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Magé","Mandioca.","-43.184668","-22.564777","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447819","NY00447819_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","447801","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","sericeus","Allophylus sericeus","(Cambess.) Radlk.","J. A. Kallunki","J. G. Jardim","1056","1997","05","23","South America","Brazil","Bahia","Itacaré","Rodovia para Itacaré. Entrada ca. de 1 km da BR-101. Ramal que leva às fazendas no sentido L, margem do Rio de Contas, ca. 2 km da entrada.","-39.2869","-14.3219","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447801","NY00447801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
