"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","566119","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","hirtula","Pseudolmedia hirtula","Kuhlm.","G. M. Barroso","H. C. de Lima","2298","1984","10","23","South America","Brazil","Rio de Janeiro","Magé","Paraiso, área do Centro de Primatologia do RJ. Caminho para o focinho de Porco","-43.0406","-22.6531","190","190","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651494' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566119","NY00566119_01 NY00566119_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1546319","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","hirtula","Pseudolmedia hirtula","Kuhlm.",NA,"Pessoal do Horto Florestal","670[=herb. RB 38994]","1927","10","19","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Gavea. Dois Irmaos","-43.241306","-22.991674",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1834449' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546319","NY01546319_01","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","566118","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","hirtula","Pseudolmedia hirtula","Kuhlm.","C. C. Berg","P. K. H. Dusén","3111a","1911","07","06","South America","Brazil","Paraná",NA,"Valta Grande",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566118","NY00566118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","566117","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Pseudolmedia","hirtula","Pseudolmedia hirtula","Kuhlm.","C. C. Berg","P. K. H. Dusén","7292a","1911","07","07","South America","Brazil","Paraná",NA,"Valta Grande",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566117","NY00566117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:25:20-03","NBC","NL-BOTANY","U 0004784","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Pseudolmedia","hirtula","Pseudolmedia hirtula","Kuhlm.","Berg CC","Kuhlmann JG",NA,"1929","07","11","Southern America","Brazil","Rio de Janeiro",NA,"Rio de Janeiro Horto Florestal",NA,NA,NA,NA,NA,"ad urbem in silvis<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004784 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004784","NL-U0004784","isolectotype","Magnoliopsidae","1967","04","01","41421 A",NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:25:20-03","NBC","NL-BOTANY","U.1436747","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Pseudolmedia","hirtula","Pseudolmedia hirtula","Kuhlm.","Berg CC","Occhioni P",NA,"1922","01","03","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1436747 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1436747","NL-U1436747",NA,"Magnoliopsidae",NA,NA,NA,"U 0110150",NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:25:20-03","NBC","NL-BOTANY","WAG.1110529","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Pseudolmedia","hirtula","Pseudolmedia hirtula","Kuhlm.",NA,"Hatschbach GG",NA,"1967","04","13","Southern America","Brazil",NA,NA,"Parana, Mun. Guaraqueçaba, Loc. Serrinha.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1110529 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1110529","NL-WAG1110529",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:32:06-03","MN","R","58449","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Pseudolmedia","hirtula","Pseudolmedia hirtula","Kuhlm.","Berg, C.C.","Brade, A.C.","9015","1924",NA,NA,NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,NA,NA,NA,NA,"1973","08","15",NA,"55628","auto",NA,NA,NA,NA
"9","2016-02-02 14:38:37-02","BGBM","B","B 10 0248441","S","Plantae",NA,NA,"Moraceae","Pseudolmedia","hirtula","Pseudolmedia hirtula","Kuhlm.",NA,"J. G. Kuhlmann","HJBR 38994","1927","10","19","Middle and South America","Brazil",NA,NA,"Rio de Janeiro ad urbem in silva montis Dos Irmãos.",NA,NA,NA,NA,NA,"I.B.V. Jardim Botanico do Rio de Janeiro, Herbario No. 38994 <a href=http://herbarium.bgbm.org/object/B100248441 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100248441","B100248441","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-03-12 10:29:23-03","UFOP","OUPR","24013","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Pseudolmedia","hirtula","Pseudolmedia hirtula","Kuhlm.","Castro, R.M.","Araújo, A.C.","s.n.","1844",NA,NA,NA,"Brasil","Minas Gerais","Rio Novo",NA,"-43.125301361084","-21.4575004577637",NA,NA,NA,"Ex Herbario Magalhães Gomes No. 2542. Ex Herbario Escola de Minas No. 115.",NA,NA,NA,NA,"2008",NA,NA,NA,"14119","auto",NA,NA,NA,NA
