"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","dayIdentified","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","871881","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","polyphylla","Richterago polyphylla","(Baker) Ferreyra","N. Roque","CFSC12.992","1992","10","17","South America","Brazil","Minas Gerais","Santana do Riacho","Santana do Riacho. Estrada BH-Conceição do Mato Deatro, Km 115.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871881","NY00871881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","871882","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","polyphylla","Richterago polyphylla","(Baker) Ferreyra","W. W. Thomas","CFCR8713","1985","11","24","South America","Brazil","Minas Gerais","Datas","Estrada Curvelo-Diamantina, km 108","-43.6556","-18.4458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933553' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871882","NY00871882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","895426","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","polyphylla","Richterago polyphylla","(Baker) Ferreyra","L. Riedel","1077","1824","11",NA,"South America","Brazil",NA,NA,"S. da Lapa.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977887' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895426","NY00895426_01","V. A. Funk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","871883","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","polyphylla","Richterago polyphylla","(Baker) Ferreyra","H. S. Irwin","22395","1969","01","21","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 20 km S.W. of Diamantina","-43.6836","-18.358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871883","NY00871883_01",NA,"1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:21-03","UFRJ","RFA","6432","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Seris","polyphylla","Seris polyphylla","Baker","Mendes Magalhães","9706","1957","08","18",NA,"Brasil","Minas Gerais","Minas Gerais","Serra do Cipó. 124 km.",NA,NA,NA,"Frequencia média, subarbusto de 0,30-0,50 m de altura, flor amarelo pálido.","RFA26393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:11:13-03","UFBA","ALCB","106045","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","polyphylla","Richterago polyphylla","(Baker) Ferreyra","Roque, N; Quaresma, AS; Franco, IM; Gonçalves, DJP","3111","2011","06","26","Southern America","Brasil","Minas Gerais","Gouveia","estrada Barão de Guaicuí","-43.721944","-18.371667",NA,"ca. 50cm alt., folhas e pedúnculo floral jovens alvo-lanosos. Capítulos imaturos, brácteas involucrais creme-esverdeados.",NA,NA,NA,"1432","1432","-43.721944","-18.371667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:11:13-03","UFBA","ALCB","106058","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","polyphylla","Richterago polyphylla","(Baker) Ferreyra","Roque, N; Quaresma, AS","3708","2012","09","22","Southern America","Brasil","Minas Gerais","Gouveia","Estrada para Barão do Guaicuí","-43.702778","-18.376944",NA,"até 1,5m alt., folhas lanosas. Brácteas involucrais creme-esverdeadas, corola alva.; Grande população em solo arenoso-pedregoso.",NA,NA,NA,"1434","1434","-43.702778","-18.376944",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:11:13-03","UFBA","ALCB","106070","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","polyphylla","Richterago polyphylla","(Baker) Ferreyra","Roque, N; Quaresma, AS","3720","2012","09","22","Southern America","Brasil","Minas Gerais","Gouveia","Estrada para Barão do Guaicuí","-43.732222","-18.3775",NA,"até 70 cm alt. Brácteas involucrais creme-esverdeadas, corola alva. &nf;Coletado material para DNA.",NA,NA,NA,"1336","1336","-43.732222","-18.3775",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:11:13-03","UFBA","ALCB","106116","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","polyphylla","Richterago polyphylla","(Baker) Ferreyra","Quaresma, AS; Costa, FN; Araújo, IM; Silva, BG; Andrino, CO","39","2009","12","10","Southern America","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.29","-17.801389",NA,"corola e estigma brancos, anteras amarelas, brácteas pubescentes, verde calro.; Solo arenoso úmido.",NA,NA,"Roque, N","1259","1259","-44.29","-17.801389","2011","06",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:11:13-03","UFBA","ALCB","122509","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","polyphylla","Richterago polyphylla","(Baker) Ferreyra","Barres, L; Alves, M; Campos, L; Roque, N","223","2015","10","01","Southern America","Brasil","Minas Gerais","Diamantina","Estrada para Barão de Guacuí.","-43.704444","-18.376667",NA,"ca. 70 cm; folhas ao longo do caule, obtusas; capítulos em corimbo ramificado, discoideos; flores de alvas a rosáceas.","ALCB007948",NA,"Barres, L","1416","1416","-43.704444","-18.376667","2015","10",NA,NA,NA,NA,NA,NA,NA
