"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","503354","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","vacillans","Xyris vacillans","Malme","L. B. Smith","L. B. Smith","1964","12","05","South America","Brazil","Santa Catarina","Agua Doce","Campos de Palmas, 3 km north-west of Herciliópolis","-51.53","-26.78","1100","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503354","NY00503354_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503357","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","vacillans","Xyris vacillans","Malme","L. B. Smith","D. Lemos","1924","01","06","South America","Brazil","São Paulo","Ribeirao Pires","Alto da Serra, S. Paulo. Terreno arenoso e humido de Estaçao Biologica","-46.4097","-23.71",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503357","NY00503357_01","12314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","503356","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","vacillans","Xyris vacillans","Malme","L. B. Smith","R. Reitz","1956","10","26","South America","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503356","NY00503356_01","3920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","503358","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","vacillans","Xyris vacillans","Malme","L. B. Smith","G. G. Hatschbach","1977","10","21","South America","Brazil","Paraná","Tijucas do Sul","Rincao","-49.13368","-25.799321",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503358","NY00503358_01","40463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","503355","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","vacillans","Xyris vacillans","Malme","L. B. Smith","R. Reitz","1965","12","17","South America","Brazil","Paraná","Castro","Carambeí, Rio S. Joao, Castro","-50.152803","-24.908517","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503355","NY00503355_01","17873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:21:14-03","NBC","NL-BOTANY","L.1424980","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","vacillans","Xyris vacillans","Malme",NA,"Reitz R; Klein RM","1956","10","26","Southern America","Brazil",NA,NA,"Santa Catarina, Pilões, Palhoça.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1424980 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1424980","NL-L1424980",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:21:14-03","NBC","NL-BOTANY","U.1772203","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","vacillans","Xyris vacillans","Malme",NA,"Lindeman JC; Lindeman JC; Porto ML; Girardi AM","1971","12","04","Southern America","Brazil",NA,NA,"Brasil, Rocinha, campo no margem do planalto, fronteira R.G.S.-S.C. entre Bom Jesus e Turvo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1772203 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1772203","NL-U1772203",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:21:14-03","NBC","NL-BOTANY","U.1772204","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","vacillans","Xyris vacillans","Malme",NA,"Lindeman JC; Lindeman JC; Porto ML; Girardi AM","1971","12","04","Southern America","Brazil",NA,NA,"Brasil, Rocinha, campo no margem do planalto, fronteira R.G.S.-S.C. entre Bom Jesus e Turvo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1772204 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1772204","NL-U1772204",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:21:01-03","ESALQ","ESA","35928","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Xyridaceae","Xyris","vacillans","Xyris vacillans","Malme","Wanderley, M.G.L.","Souza, J.P. et al.","1996","12","16",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA035928","ESA035928","986.0",NA,"2003","01","01","38855","auto",NA,NA,NA,NA,NA
"10","2020-11-04 11:21:01-03","ESALQ","ESA","17227","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Xyridaceae","Xyris","vacillans","Xyris vacillans","Malme","Wanderley, M.G.L.","Souza, V.C. et al.","1993","02","14",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA017227","ESA017227","2272.0",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA
