"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","infraspecificEpithet"
"1","2021-04-05 14:33:13-03","UNESC","CRI","3392","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","P. Fiaschi","2003","11","18","Maria Costa Rebelo","1994","11","18","Brasil","Santa Catarina","Forquilhinha","Parque Ecológico.","-49.472778","-28.748056","49º28'22''W","28º44'53''S","28","28","Flores e frutos roxos. Habito: Herbácea","CRI013791","CRI013791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:05-03","E","E","334915","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","sanguisorba","Eryngium sanguisorba",NA,NA,NA,NA,NA,"Pedersen, Troels Myndel","1960","02","07","AR","Provincia de Corrientes",NA,"Dep. Merecedes; Estancia Ita Caabo. Near the Río Miriñay",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00334915 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334915",NA,"5361","Temperate South America","herbarium specimen of unspecif","BGBASE:365036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","617627","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","S. F. Smith",NA,NA,NA,"R. A. Wasum","1989","12","01","Brazil","Rio Grande do Sul","Torres","Torres - Praia da Guarita","-49.735446","-29.359004",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617627","NY00617627_01","6439","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","617623","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","L. Constance",NA,NA,NA,"R. Reitz","1965","12","16","Brazil","Paraná","Guarapuava","Fazenda 3 Capoes, Guarapuava","-51.4581","-25.3956",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617623","NY00617623_01","17769","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617632","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","A. Schinini",NA,NA,NA,"A. Schinini","1999","09","17","Argentina","Corrientes","Mercedes","Ea. Iberá, La Flecha S. A., 2-29 km S de Colonia Pellegrini","-57.25","-28.53",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617632",NA,"35047","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00877749","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.",NA,NA,NA,NA,"G. Gardner","1842",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877749","NY00877749_01","4699","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","617629","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","L. Constance",NA,NA,NA,"R. Reitz","1953","11","05","Brazil","Santa Catarina","Palhoça","Campo do Massiambú","-48.62515","-27.834087",NA,NA,"5","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617629","NY00617629_01","1324","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","617624","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","M. E. Mathias; L. Constance",NA,NA,NA,"R. Reitz","1957","12","22","Brazil","Santa Catarina","Sao Francisco do Sul","Monte Crista, Garuva, Sao Francisco do Sul","-48.6381","-26.2433",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617624","NY00617624_01","5884","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","617626","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","M. E. Mathias; L. Constance",NA,NA,NA,"L. B. Smith","1965","01","20","Brazil","Paraná","Ponta Grossa","Furnas, Vila Velha","-50.03","-25.22",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617626","NY00617626_01","14973","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","617630","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","M. E. Mathias; L. Constance",NA,NA,NA,"H. H. Bartlett","1944","01","20","Uruguay","Rocha",NA,"3 km northeast of main highway bridge over Arroyo de Garzon, 31 km southwest of Rocha",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617630","NY00617630_01","21319","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","617622","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","J. Y. V. Norlind",NA,NA,NA,"P. K. H. Dusén","1912","02","15","Brazil","Paraná","Curitiba",NA,"-49.2731","-25.4281",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617622","NY00617622_01","13848","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","617621","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","K. F. A. H. Wolff",NA,NA,NA,"G. Jönsson","1914","03","12","Brazil","Paraná","Curitiba","Curitiba","-49.2731","-25.4281",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617621","NY00617621_01","33a","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01081436","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","D. Lucas",NA,NA,NA,"S. Tsugaru","1987","12","12","Brazil","Rio Grande do Sul","Pinhal","Vicinity of Pinhal","-53.213092","-27.51028",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1227353' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081436","NY01081436_01","B-2456","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00617633","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","L. Constance",NA,NA,NA,"H. S. Irwin","1968","02","10","Brazil","Minas Gerais",NA,"Serra do Itabirito, 50 km SE of Belo Horizonte","-43.8","-20.2",NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617633","NY00617633_01","19720","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00877750","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.",NA,NA,NA,NA,"G. Gardner","1842",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877750","NY00877750_01","4699","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","617625","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","S. F. Smith",NA,NA,NA,"R. A. Wasum","1989","12","01","Brazil","Rio Grande do Sul","Torres","Torres - Praia da Guarita","-49.735446","-29.359004",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617625","NY00617625_01","6439","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-27 04:01:00-03","NY","NYBG","617631","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba",NA,"L. Constance",NA,NA,NA,"E. M. Zardini","1992","11","18","Paraguay","Central",NA,"Estero del Ypoá. Villeta - Puerto Guyrati. 7 km S of Villeta","-57.55","-25.57",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617631",NA,"33684","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","617620","PreservedSpecimen","Plantae","Apiaceae","Eryngium","sanguisorba","Eryngium sanguisorba","Cham. & Schltdl.","I. Urban",NA,NA,NA,"F. Sellow","1824",NA,NA,"Brazil","Rio Grande do Sul",NA,"Propé Bagé",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617620","NY00617620_01","1886","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
