"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","class","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","486950","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand","L. B. Smith","R. Reitz","5249","1957","10","18","South America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim","-49.2656","-26.1925","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=420420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486950","NY00486950_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","486951","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand","S. J. Smith; L. B. Smith","G. G. Hatschbach","17316","1967","10","05","South America","Brazil","Paraná","Campina Grande do Sul","Pico Caratuva","-48.829656","-25.241299","1950","1950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=420419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486951","NY00486951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","720398","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand",NA,"J. M. A. Braga","2863","1995","09","27","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Planalto, Agulhas Negras, via tradional para o cume.","-44.65833","-22.35833","2700",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2501060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720398","NY00720398_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:21:02-03","UFRJ","RFA","9415","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand","L.B. Smith; S.F. Smith","G.G. Hatschbach","17316","1967","10","05",NA,"Brasil","Paraná","Campina Grande do Sul","Pico Caratuva, topo do morro","-49.0553016662598","-25.3055992126465","1950","1950",NA,"Arbusto. Flor verde clara","RFA48779",NA,"1970","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:21:02-03","UFRJ","RFA","Foto 17145","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand",NA,"Glaziou","18359",NA,NA,NA,NA,"Brasil",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"RFA-Foto35409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:21:02-03","UFRJ","RFA","21850","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand","G.G. Hatschbach","G.G. Hatschbach",NA,"1969","09","25",NA,"Brasil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, Abrigo 1","-49.0553016662598","-25.3055992126465","1600","1600",NA,"Arbusto 1,5 m de altura. Flor alvecente","RFA48825",NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:21:02-03","UFRJ","RFA","9252","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand","G.G. Hatschbach","G.G. Hatschbach","22230","1969","09","25",NA,"Brasil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, Abrigo 1","-49.0553016662598","-25.3055992126465","1600","1600",NA,"Arbusto 1,5 m de altura; flor alvescente","RFA48777",NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-24 17:11:07-03","UTFPR","DVPR","3191","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand","Aranha Filho, JLM","Silva, JM; O.S. Ribas; Deodato, F","1696","1996","09","07",NA,"Brasil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, Pico Paraná, abrigo 3","-49.0553016662598","-25.3055992126465","1700","1700",NA,"Arbusto 1,4 m, flor creme-esverdeada.; Mata nebular","DVPR003191",NA,"2006","55154","auto","05",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:25:54-03","PUCPR","HUCP","18923","S","Plantae","Eudicotiledonea",NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand.","Selusniaki, M","Selusniaki, M","1430","2007","11","09",NA,"Brasil","Paraná","Colombo","Santa Mônica Clube de Campo","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"HUCP00018511","HUCP00018511",NA,"13536","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:25:54-03","PUCPR","HUCP","20801","S","Plantae","Eudicotiledonea",NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand.","Selusniaki, M","Selusniaki, M","2595","2009","03","18",NA,"Brasil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"HUCP00018484","HUCP00018484",NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-04 15:25:54-03","PUCPR","HUCP","20280","S","Plantae","Eudicotiledonea",NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand.","Selusniaki, M","Ariati, V; Ostrowski, NMAT","204","2008","11","08",NA,"Brasil","Paraná","Campina Grande do Sul","Morro Caratuva","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"HUCP00018512","HUCP00018512",NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-04 15:25:54-03","PUCPR","HUCP","113","S","Plantae","Eudicotiledonea",NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand.","Hatschbach, GG","Kummrow, R","s.n.","1982","09","15",NA,"Brasil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"HUCP00018448","HUCP00018448",NA,"41937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-04 15:25:54-03","PUCPR","HUCP","19058-A","S","Plantae","Eudicotiledonea",NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand.","Selusniaki, M","Selusniaki, M","1534","2006","08","06",NA,"Brasil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"HUCP00018480","HUCP00018480",NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:04:58-03","NBC","NL-BOTANY","L.2680301","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand",NA,"Hatschbach GG",NA,"1961","08","06","Southern America","Brazil",NA,NA,"Est. Parana, Mun. Campina Gde. do Sul, Serra do Capivary Grande.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2680301 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2680301","NL-L2680301",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"15","2020-02-08 09:04:58-03","NBC","NL-BOTANY","WAG.1244848","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand",NA,"Hatschbach GG",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Rio Sapitanduva (mun. Morretes) Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1244848 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1244848","NL-WAG1244848",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"16","2019-02-15 11:51:13-02","IPA","IPA","44280","S","Plantae","Plantae",NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand","Hatschbach, G.","Hatschbach, G.","48566","1984","11","01","Southern America","Brasil","Paraná","Curitiba","Capãnema, orla de capão.","-49.2731018066406","-25.4277992248535",NA,NA,NA,"Arbusto 3m; flores alvacentas.","IPA0044280",NA,"1984","25180","auto","12",NA,NA,NA,NA,NA,NA,NA
"17","2019-02-15 11:51:13-02","IPA","IPA","87720","S","Plantae","Plantae",NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand","Hatschbach, G.","Dombrowski, L.T.","11444","1980","07","22","Southern America","Brasil","Paraná","Palmeira","Fazenda Santa Rita, orla do capão.","-50.0064010620117","-25.4293994903564",NA,NA,NA,"Início de floração.","IPA0087720",NA,"1981","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-20 21:19:33-03","UFV","VIC","004750","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand",NA,"Dombroski, L.T.","8848","1964","10","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arbusto freguente.","VIC004750","VIC004750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-21 14:46:19-03","UFJF","CESJ","32222","PreservedSpecimen","Plantae","Angiosperma",NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand","J.L.M. Aranha Filho","G. Hatschbach","6405","1959","10","18","América do Sul","Brasil","Paraná","Campina Grande do Sul","Estrada Rio Taquari - Rio Divisa","-49.0553016662598","-25.3055992126465",NA,NA,NA,"Árvore de flores creme. Da mata higrófila.","CESJ032222",NA,"2010","55154","auto","05",NA,NA,NA,NA,NA,NA,NA
"20","2021-04-07 11:48:59-03","UFMS","CGMS","49268","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand",NA,"O.S. Ribas; J.M. Silva; E.F. Costa","5760","2004","01","09",NA,"Brasil","Paraná","Piraquara","Morro do Canal.","-49.0633010864258","-25.4416999816895",NA,NA,NA,"Fruto imaturo. Habitat: Matinha nebular do topo do morro. Habito: Arbusto. 2,00m de altura.","CGMS1075561",NA,"2020","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:42:12-03","UNICAMP","UEC","169383","S","Plantae","Magnoliopsida",NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand",NA,"Almeda, F; Martins, AB; Fritsch, PW; Aranha, JLM; Bush, C; Belinello, R","9735","2009","03","08",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Serra dos Orgãos, Distrito de Murry.&nf;Estrada da Torre Repetidora (the Sistema Brasileiro Televisão TV Tower) south of Nova Friburgo on an unnamed peak west of Pico da Caledônia.","-42.96","-22.609639","1420","1847",NA,"Tree 7 m tall with dense branching and a rounded crown. Fruits light green. Occasional.; Cloud forest vegetation.&nf;Growing at 1420 m elevation.","UEC063130","UEC063130",NA,NA,NA,NA,NA,"-42.96","-22.609639",NA,NA,NA,NA
"22","2019-08-20 10:27:11-03","UNICAMP","UEC",NA,"S","Plantae","Magnoliopsida",NA,"Symplocaceae","Symplocos","corymboclados","Symplocos corymboclados","Brand","Aranha, JLM","Fritsch, PW; Barbosa, E; Aranha, JLM","1831","2005",NA,NA,NA,"Brazil","Paraná","Antonina","Trail to Pico Caratuva, ca. 4 km from Fazenda Pico Paraná. The Fazenda is ca. 5 km from BR-160","-48","-25","1628","1628",NA,"Cloud forest above Mata Atlântica, granite base rock. Tree 10 m tall with spreading, rounded crown. Corolla green, filaments white. Other individuals in the area are shrubs. Abundant along trail",NA,NA,"2006",NA,NA,NA,NA,"-48","-25",NA,NA,NA,NA
