"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","typeStatus","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:25:44-03","UNESC","CRI","14120","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","Alexandre Medeiros","2018","07","12","Alexandre Medeiros","1037","2018","07","12","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Fruto verde. Habitat: Terrestre","CRI012770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 18:42:00-03","NY","NYBG","8861","PreservedSpecimen","Plantae","Orchidaceae","Govenia","boliviensis","Govenia boliviensis",NA,NA,NA,NA,NA,"M. Bang","609","1890",NA,NA,"Bolivia",NA,NA,"Yungas",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=144121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008861","Magnoliophyta","Asparagales","type","South America","sheet","NY00008861_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 14:53:00-03","NY","NYBG","8862","PreservedSpecimen","Plantae","Orchidaceae","Govenia","boliviensis","Govenia boliviensis",NA,NA,NA,NA,NA,"M. Bang","609","1890",NA,NA,"Bolivia",NA,NA,"Yungas",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=144122' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008862","Magnoliophyta","Asparagales","type","South America","sheet","NY00008862_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00960430","PreservedSpecimen","Plantae","Orchidaceae","Govenia","ernstii","Govenia ernstii","Schltr.","C. J. García-Cruz",NA,NA,NA,"L. J. Dorr","5415","1988","06","06","Venezuela","Barinas","Bolívar","Municipio Altamira. La Gallineta, Caserio El Celoso near feldspar mine.","-70.58","8.83",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1041297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960430","Magnoliophyta","Asparagales",NA,"South America","sheet","NY00960430_01","1500","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00960388","PreservedSpecimen","Plantae","Orchidaceae","Govenia","gardneri","Govenia gardneri","Hook.","C. J. García-Cruz",NA,NA,NA,"Y. E. J. Mexia","5496","1931","01","08","Brazil","Minas Gerais",NA,"Districto Rio Branco. Retiro de Antonio Avelino",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1041100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960388","Magnoliophyta","Asparagales",NA,"South America","sheet","NY00960388_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00960387","PreservedSpecimen","Plantae","Orchidaceae","Govenia","gardneri","Govenia gardneri","Hook.","C. J. García-Cruz",NA,NA,NA,"G. Edwall","29405","1895","02",NA,"Brazil","São Paulo","São Paulo","Sao Paulo, Capital","-46.63","-23.5403",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1041096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00960387","Magnoliophyta","Asparagales",NA,"South America","sheet","NY00960387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","8863","PreservedSpecimen","Plantae","Orchidaceae","Govenia","platyglossa","Govenia platyglossa","Schltr.",NA,NA,NA,NA,"H. H. Smith","2490",NA,NA,NA,"Colombia",NA,NA,"Santa Marta",NA,NA,NA,NA,"Collection date: 16 Aug 1898/1899 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=522814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008863","Magnoliophyta","Asparagales","isotype","South America","sheet","NY00008863_01","762.0","762.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9051","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl",NA,"1973","03","17","Amaral Jr., A.","1435","1973","02","10","Brasil","São Paulo","Botucatu","Distrito de Rubião Júnior, mata localizada atrás da Igreja de Santo Antônio",NA,NA,"9999","9999",NA,"BOTU009051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:35-03","UFRJ","RFA","37777","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","M. S. Wängler","2011","07","23","M. S. Wängler; F. C. Alzer; G. F. Mazzoni; D. F. Massunaga.","769","2011","07","23","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Divino Vale.","-43.416389","-22.445833","43º24'59''W","22º26'45''S","Erva terrícola de 41 cm de altura; raízes espessas, longas e brancas, pseudobulbo redondo, amarelado; duas folhas apicais verdes, lâmina foliar membranácea, ovada, plicada, alterna, base violácea, envolvidos por bainha; estéril. Encontr","RFA38864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:35-03","UFRJ","RFA","37780","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","M. S. Wängler","2011","12","14","M. S. Wängler; A. M. Paiva; M. O. Pellegrini; V. S. Fereira","304","2011","12","12","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Divino Vale.","-43.399444","-22.445556","43º23'58''W","22º26'44''S","Erva terrícola; 55 cm, raízes amareladas, pecíolo vináceo, bainha vinácea envolvendo os pecíolos, folhas dísticas apicais, plicadas, verdes, pedúnculo vináceo, inflorescência branca. Vegetando em local sombreado e solo úmido.","RFA38862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
