"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","132665","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","embirensis","Psychotria embirensis","Steyerm.","holotype","B. A. Krukoff","4940","1933","06","19","South America","Brazil","Amazonas","Basin of Rio Juruá, near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00132665","NY00132665_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02571749","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","prunifolia","Psychotria prunifolia","(Kunth) Steyerm.",NA,"B. M. Torke","497","2009","05","25","South America","Bolivia","La Paz","Pampas del Madidi area of the middle reaches of the Rio Madidi basin: Campamento Permanente on the N shore of the Rio Madidi, ca. 15.6 linear km NE of the confluence with the Rio Enatahua (Rio Inambari according to one guide), forest around camp and ca. 1 km inland","-67.65275","-12.85908","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320192' target='other'> <mi>dwc_moreinfo</mi></a>","NY02571749","NY02571749_01","C. M. Taylor","Abel Iturralde","179","179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-28 14:00:00-02","NY","NYBG","1033800","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","prunifolia","Psychotria prunifolia",NA,NA,"J. A. Rizzo","212","1968","04","11","South America","Brazil","Goiás","de Goiânia a Leopoldo de Bulhões, 18 km de Goiânia.","-49.2539","-16.6786","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1227477' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033800","NY01033800_01",NA,"Goiânia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 01:02:00-03","NY","NYBG","01108494","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","prunifolia","Psychotria prunifolia",NA,NA,"W. R. Anderson","10594",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271214' target='other'> <mi>dwc_moreinfo</mi></a>","NY01108494","NY01108494_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01108495","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","prunifolia","Psychotria prunifolia","(Kunth) Steyerm.",NA,"G. T. Prance","5384","1968","06","30","South America","Brazil","Rondônia","Rio Jaciparaná 9-12km. above Jaciparaná","-64.420324","-9.325511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271215' target='other'> <mi>dwc_moreinfo</mi></a>","NY01108495","NY01108495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-10-28 13:59:00-02","NY","NYBG","1033803","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","prunifolia","Psychotria prunifolia",NA,NA,"J. A. Rizzo","3526","1969","01","30","South America","Brazil","Goiás","de Goiânia a Leopoldo de Bulhões, 18 km de Goiânia.","-49.2539","-16.6786","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1227482' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033803","NY01033803_01",NA,"Goiânia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01108491","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","prunifolia","Psychotria prunifolia","(Kunth) Steyerm.",NA,"J. L. Zarucchi","3155","1983","07","22","South America","Brazil","Amazonas",NA,"-57.75","-3.3833331","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1268413' target='other'> <mi>dwc_moreinfo</mi></a>","NY01108491","NY01108491_01","J. F. Ramos","Maués",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-28 14:00:00-02","NY","NYBG","1033798","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","prunifolia","Psychotria prunifolia",NA,NA,"J. A. Rizzo","1881","1968","08","06","South America","Brazil","Goiás","de Goiânia a Leopoldo de Bulhões, 18 km de Goiânia.","-49.2539","-16.6786","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1227472' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033798","NY01033798_01",NA,"Goiânia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1033816","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","prunifolia","Psychotria prunifolia","(Kunth) Steyerm.",NA,"R. P. Belém","53","1964","12","23","South America","Brazil","Distrito Federal","Acampamento do D.V.O.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1227512' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033816","NY01033816_01","J. A. Steyermark","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-07 11:47:00-02","NY","NYBG","1128355","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","prunifolia","Psychotria prunifolia",NA,NA,"D. Philcox","3259","1967","11","26","South America","Brazil","Mato Grosso","S.E. base-camp, c. 1 km.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1278986' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128355","NY01128355_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
