"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01212591","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","pallens","Pouteria pallens","T.D.Penn.","T. D. Pennington","P. A. C. L. Assunção","5","1993","12","17","South America","Brazil","Amazonas","Igarapé do Barro Branco, a jusante da piscina.","-59.966667","-2.883333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328619' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212591","NY01212591_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01212592","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","pallens","Pouteria pallens","T.D.Penn.","T. D. Pennington","B. Maguire","56671","1963","09","10","South America","Brazil","Rondônia",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1463083' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212592","NY01212592_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01212593","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","pallens","Pouteria pallens","T.D.Penn.","T. D. Pennington","B. Maguire","56671","1963","09","10","South America","Brazil","Rondônia",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1463086' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212593","NY01212593_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01212590","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","pallens","Pouteria pallens","T.D.Penn.","T. D. Pennington","P. A. C. L. Assunção","633","1997","08","22","South America","Brazil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26. Floresta de Vertente.","-60.0250015258789","-3.10193991661072","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328223' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212590","NY01212590_01","Manaus","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:49:35-03","EAO","IAN","195421","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","pallens","Pouteria pallens","T.D.Penn.","Simon, MF","Perigolo, NA","196","2012","09","20","Southern America","Brasil","Rondônia","Abunã, 12km NW de abunã, margem direita do rio Madeira, à 100m da margem do rio. Floresta Ombrófila. Plano no local. Modulo RAPELD em Abunã, transecto 10, área de influência indireta da UHE Jirau (T10P1). Individuo 2749. Ambiente de transição de Várz","-65.366944","-9.597778",NA,"Árvore. Botão floral verde.","IAN195421",NA,"Porto Velho",NA,NA,"2015","03","-65.366944","-9.597778","106","106",NA,NA,NA,NA,NA
"6","2019-02-20 13:41:41-03","INPA","INPA-CARPOTECA","179230","Carpo","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","pallens","Pouteria pallens","T.D.Penn.","Pennington, TD","Assunção, PACL","5","1993","12","17","Southern America","Brasil","Amazonas","Reserva Florestal Adolpho Ducke, Igarapé do Barro Branco, a jusante da piscina.","-59.966667","-2.883333",NA,NA,"INPA0179230","INPA0179230 INPA0179230_e","Manaus",NA,NA,"1998","02","-59.966667","-2.883333",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:04:40-03","NBC","NL-BOTANY","L.4222017","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","pallens","Pouteria pallens","T.D.Penn.",NA,"Assunção PACL",NA,"1989","01","01","Southern America","Brazil",NA,"Amazonas, Distrito Agropecuario. Reserva 1501 (km 41) da WKF/INPA.","-59.725","-2.41225",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4222017 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4222017","NL-L4222017",NA,NA,NA,NA,NA,"-59.725","-2.41225",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"8","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1593400","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","pallens","Pouteria pallens","T.D.Penn.","Pennington TD","Assunção PACL; Pereira EC; Silva CF da; Ribeiro JELS; Pennington TD",NA,"1997","08","22","Southern America","Brazil","Amazonas",NA,"-59.966667","-2.883333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593400 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1593400","NL-U1593400",NA,NA,NA,"1998","02","-59.966667","-2.883333",NA,NA,"Magnoliopsidae","01","U 0069732",NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","3319149","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pallens","Pouteria pallens","T.D. Penn.","T. Pennington","Bassett Maguire","Maguire 56671","1963","9","10","South America","Brazil","Rondônia","Porto Velho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2009-10-30 07:48:00-02","MO","MOBOT","3380383","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pallens","Pouteria pallens","T.D. Penn.","T. D. pennington","Boris A. Krukoff","Krukoff 6868","1934","10","12","South America","Brazil","Amazonas","Humayta, near Livramento, on Rio Livramento. On terra firma.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
