"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:24:48-03","UNESC","CRI","9550","PreservedSpecimen","Plantae","Annonaceae","Annona","sylvatica","Annona sylvatica","A.St.-Hil.","A. Korte","2011","03","22","A. Korte","6123","2011","03","03","Brasil","Santa Catarina","Lontras","Concórdia.","-49.542222","-27.166667","49º32'32''W","27º9'60''S","343","343","Floresta Ombrófila Densa","CRI000117","CRI000117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:48-03","UNESC","CRI","9528","PreservedSpecimen","Plantae","Annonaceae","Annona","sylvatica","Annona sylvatica","A.St.-Hil.","A. Stival-Santos","2010","03","30","A. Stival-Santos; E. Legal & S. Silveira","2176","2010","03","30","Brasil","Santa Catarina","Botuverá","Reserva Biológica Canela Preta.","-49.14","-27.27","49º8'24''W","27º16'12''S","639","639","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arvoreta","CRI000118","CRI000118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:48-03","UNESC","CRI","9488","PreservedSpecimen","Plantae","Annonaceae","Annona","sylvatica","Annona sylvatica","A.St.-Hil.","M. Sobral","2010","01","25","A. Korte; A. Kruger","124","2009","11","08","Brasil","Santa Catarina","Alfredo Wagner",NA,"-49.5","-27.63","49º30'0''W","27º37'48''S","635","635","Floresta Ombrófila Densa Habitat: interior de fragmento Habito: arvoreta","CRI000114","CRI000114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:48-03","UNESC","CRI","9551","PreservedSpecimen","Plantae","Annonaceae","Annona","sylvatica","Annona sylvatica","A.St.-Hil.","A. Korte","2010","03","15","A. Korte; A. Kniess","1555","2010","01","28","Brasil","Santa Catarina","Taió","Barragem Oeste.","-50.038056","-27.092222","50º2'17''W","27º5'32''S","400","400","Floresta Ombrófila Densa","CRI000116","CRI000116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:48-03","UNESC","CRI","8176","PreservedSpecimen","Plantae","Annonaceae","Annona","sylvatica","Annona sylvatica","A.St.-Hil.","Marcos Sobral","2009","03","01","G. Klemz; M. Verdi & R. P. Hasckel",NA,"2008","11","18","Brasil","Santa Catarina","Ouro","Canela funda - sta bárbara.","-51.618333","-27.341944","51º37'6''W","27º20'31''S","519","519",NA,"CRI000112","CRI000112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:48-03","UNESC","CRI","9506","PreservedSpecimen","Plantae","Annonaceae","Annona","sylvatica","Annona sylvatica","A.St.-Hil.","A. A. de Oliveira","2011","03","03","S. Dreveck; M. Verdi","2487","2010","10","14","Brasil",NA,"Brasil","Rio Natal - APA Rio Vermelho/HUMBOLD.","-49.283333","-26.374444","49º17'0''W","26º22'28''S","151","151","Floresta Ombrófila Densa","CRI000115","CRI000115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:24:48-03","UNESC","CRI","9234","PreservedSpecimen","Plantae","Annonaceae","Annona","sylvatica","Annona sylvatica","A.St.-Hil.",NA,NA,NA,NA,"Birgit Harter Marques",NA,"2006","09","27","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,NA,"CRI000113","CRI000113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:48-03","UNESC","CRI","15046","PreservedSpecimen","Plantae","Annonaceae","Annona","sylvatica","Annona sylvatica","A.St.-Hil.","Felipe Seron","2018","10","04","Aline V. Guislon; Iara Z. Zanoni; Altamir R. Antunes; Lucas Oliveira & Felipe Seron",NA,"2018","10","04","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves L5","-49.35","-28.749444","49º21'0''W","28º44'58''S","170","170","Habito: Arbóreo","CRI014413","CRI014413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:13-03","UNESC","CRI","12864","PreservedSpecimen","Plantae","Annonaceae","Annona","sylvatica","Annona sylvatica","A.St.-Hil.","Renato Colares & Aline Votri Guislon","2017","12","10","Alexandre Medeiros",NA,"2017","12","03","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.593333","-27.006944","48º35'36''W","27º0'25''S",NA,NA,"Fruto verde claro. ar Habito: Arbóreo","CRI011472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:24:48-03","UNESC","CRI","12688","PreservedSpecimen","Plantae","Annonaceae","Annona","sylvatica","Annona sylvatica","A.St.-Hil.","Aline Votri Guislon & Renato colares","2017","09","18","Alexandre Medeiros","315","2017","05","10","Brasil","Santa Catarina","Balneário Camboriú","Quilombola","-48.599722","-27.042222","48º35'59''W","27º2'32''S",NA,NA,"Fruto castanho. Habito: Arbóreo","CRI010902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
