"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","445581","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","G. G. Hatschbach","G. G. Hatschbach","55764","1991","10","15","South America","Brazil","Paraná","Palmital","Rio do Cobre","-52.2028","-24.8933","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=434440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445581","NY00445581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645165","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","S. A. T. Graham","G. G. Hatschbach","19816","1968","03","22","South America","Brazil","Paraná","Laranjeiras do Sul","Barra Rio Pedrido","-52.4158","-25.4081",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=434439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645165","NY00645165_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-24 17:10:47-03","UTFPR","DVPR","4408","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","Cavalcanti, TB","Caxambu, MG; Siqueira, EL; Chagas, MP","6885","2015","08","28",NA,"Brasil","Paraná","Mato Rico","Estação Ecológica Municipal Juquiri.","-52.0759","-24.46555","561","561",NA,"subarbusto reófilo, semi - ciófilo, ca. 0.45m. Flores com cálice verde raiado longitudinalmente de roxo e pétalas roxas. Raras na área, somente uma pequena população; Relevo: ondulado. Vegetação: Floresta Ombrófila Mista Aluvial","DVPR004408",NA,"2015","-52.0759","-24.46555",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:43:20-03","EAO","IAN","18346","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lythraceae","Cuphea","niederleinii","Cuphea niederleinii","Koehne",NA,"Niederlein, G","1036",NA,NA,NA,"Southern America","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN018346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:01:46-03","NBC","NL-BOTANY","U.1362359","PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne",NA,"Hatschbach GG; Hatschbach M; Silva JM",NA,"1991","10","15","Southern America","Brazil",NA,NA,"Rio do Cobre (mun. Palmital) Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1362359 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1362359","NL-U1362359",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0025721","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","G. Hatschbach","G. Hatschbach; M. Hatschbach, J. M. Silva","55764","1991","10","15",NA,"Brazil","Parana",NA,"Rio do Cobre (man. Palmital) Paraná, Brazil","-48.5298299789429","-25.5138231915644","850",NA,NA,"PMC - SMMA 004 ; MS 67; Flor lilás escuro. Sublenhosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-16 17:53:40-03","UCS","HUCS","9473","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","Hatschbach, G.","Hatschbach, G.","55764","1991","10","15",NA,"Brasil","Paraná","Palmital","Rio do Cobre","-52.2028007507324","-24.8931007385254","850","850",NA,"Sublenhosa, flor lilás escuro.; às margens do rio, solo rochoso úmido",NA,NA,"1991",NA,NA,NA,"30294","auto",NA,NA,NA,NA,NA
"8","2019-08-16 08:39:50-03","UTFPR","HCF","17829","S","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","T.B. Cavalcanti","M.G. Caxambu","6885","2015","08","28",NA,"Brasil","PR","Mato Rico","Estação Ecológica Municipal Cantú","-52.133056","-24.782083","561","561",NA,"subarbusto reófilo, semi-ciófilo, ca. 0,45 m. Flores com cálice verde raiado longitudinalmente de roxo e pétalas roxas. Rara na área, apenas uma pequena população.",NA,NA,"2015","52°07'59 W","24°46'55,5 S",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-16 08:39:50-03","UTFPR","HCF","22448","S","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","M.G. Caxambu","E.L. Siqueira","2083","2017","03","10",NA,"Brasil","PR","Mato Rico","Estação Ecológica Municipal Cantú","-52.133222","-24.781639","578","578",NA,"erva heliófita, ca. 0,40 m, ripária. Flores roxas.",NA,NA,"2017","52°07'59,6 W","24°46'53,9 S",NA,NA,NA,"03","15",NA,NA,NA
"10","2019-08-16 08:39:50-03","UTFPR","HCF","23088","S","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","M.G. Caxambu","E.L. Siqueira","2258","2017","07","07",NA,"Brasil","PR","Nova Tebas","Estação Ecológica Municipal Dr. Orlando","-51.905194","-24.362722","410","410",NA,"subarbusto ca. 0,80 m, reófilo, heliófito. Tubo rosado com listras amarelas. Pétalas roxas.",NA,NA,"2017","51°54'18,7 W","24°21'45,8 S",NA,NA,NA,"07","18",NA,NA,NA
