"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","872452","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","bialata","Xyris bialata","Malme","R. Kral","W. W. Thomas","4859","1985","11","23","South America","Brazil","Minas Gerais","Diamantina","Near Sopa on rd. to São João da Chapada, 5 km NW of jct. with rd. from Curvelo to Diamantina.","-43.7","-18.2","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872452","NY00872452_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","885880","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","bialata","Xyris bialata","Malme","R. Kral","S. C. de Sant'Ana","132","1991","12","13","South America","Brazil","Bahia","Santa Cruz Cabrália","Ca. 6-7 km de Santa Cruz de Cabralia, na antiga estrada para a Estação Ecológica do Pau Brasil.","-39.0933278","-16.3180647",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008935' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885880","NY00885880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","246904","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","bialata","Xyris bialata","Malme",NA,"A. F. C. P. Saint-Hilaire","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","Herb. Mus. Paris <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83173' target='other'> <mi>dwc_moreinfo</mi></a>","NY00246904","NY00246904_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","503117","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","bialata","Xyris bialata","Malme","R. Kral","S. A. Mori","10608","1978","09","17","South America","Brazil","Bahia","Alcobaça","Rodovia BR 255, ca. 6 km a NW de Alcobaça. Folha SE - 24 (18-39a)","-39.2338528","-17.4883585",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503117","NY00503117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","503118","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","bialata","Xyris bialata","Malme","R. Kral","W. W. Thomas","4854","1985","11","23","South America","Brazil","Minas Gerais","Diamantina","Near Sopa on rd. to Sao Joao da Chapada, 5 km NW of jct. with rd. from Curvelo to Diamantina","-43.7","-18.2","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503118","NY00503118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","872453","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","bialata","Xyris bialata","Malme","L. B. Smith","H. S. Irwin","22055","1969","01","16","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 26 km S.W. of Diamantina on road to Gouveia","-43.68525","-18.41625","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872453","NY00872453_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:21:00-03","ESALQ","ESA","77957","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Xyridaceae","Xyris","bialata","Xyris bialata","Malme","Guedes, J.S.","Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","28459.0","2002","02","25",NA,"Brasil","Minas Gerais","Diamantina","Estrada para Conselheiro Matta, ca. 16 km de Diamantina","-434.312","-181.658","1300","1300",NA,"Erva; flores amarelas.","ESA077957","ESA077957",NA,"2011","08","02","-434,312","-181,658",NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:21:00-03","ESALQ","ESA","8502","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Xyridaceae","Xyris","bialata","Xyris bialata","Malme","Guedes, J.S.","Sakuragui, C.M. ; Souza, V.C.","176.0","1990","08","04",NA,"Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"ESA008502","ESA008502",NA,"2011","08","02",NA,NA,"101169","auto",NA,NA,NA,NA
"9","2021-03-01 16:20:52-03","UNICAMP","UEC","201486","S","Plantae","Liliopsida",NA,"Xyridaceae","Xyris","bialata","Xyris bialata","Malme",NA,"Uemoto, KAV; Yokoya, AC; Silva, CM; Teixeira, LS; Mateus, PAM; Graziel, TV","25","2017","04","30",NA,"Brazil","Minas Gerais","Jaboticatubas","Parque Nacional da Serra do Cipó, trilha Capão dos Palmitos","-43.7449989318848","-19.513599395752",NA,NA,NA,"Erva, pétalas, anteras e estigma amarelos, sépalas acastanhadas; campo rupestre","UEC183889","UEC183889",NA,NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"10","2019-11-06 09:57:57-03","UFOP","OUPR","4777 - 1","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","bialata","Xyris bialata","Malme","Mota, N.F.O.","Damazio, L.B.","s.n.","1908","06",NA,NA,"Brasil","Minas Gerais","Lagoa Santa","Serra do Cipó","-43.8897018432617","-19.6271991729736",NA,NA,NA,NA,NA,NA,NA,"2011","05",NA,NA,NA,"12338","auto",NA,NA,NA,NA
"11","2019-11-06 09:57:57-03","UFOP","OUPR","7881","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","bialata","Xyris bialata","Malme","Mota, N.F.O.","Roschel, M.B.","412","1996","12","18",NA,"Brasil","Minas Gerais","Ouro Preto","Antônio Pereira, Estrada da torre - SAMARCO MINERAÇÂO","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Em campo ferruginoso. Em local um pouco mais úmido. Erva. Flores amarelas",NA,NA,NA,"2011","05",NA,NA,NA,"44599","auto",NA,NA,NA,NA
