"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","previousCatalogNumber","phylum","coordinatePrecision","barcode","imagecode","geoFlag","continentOcean","fieldNumber","preparationType","class","order","individualCount","typeStatus"
"1","2015-07-02 14:42:19-03","JBP","HPL","12290","S","Plantae","Begoniaceae","Begonia","stenolepis","Begonia stenolepis","L.B.Sm. & R.C.Sm.","E.L. Jacques","2011","06","23","H. Lorenzi, M. Peixoto & M. Virmond","6997","2011","02","01","Brasil","PR","Telêmaco Borba","Coletado na UHE Mauá, lote 4; setor barragem, sobre paredões rochosos.","-50.696417","-24.062944","50° 41' 47,1 W","24° 03' 46,6 S","660","660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-27 16:43:49-03","UFSC","CTBS","1617","PreservedSpecimen","Plantae","Begoniaceae","Begonia","stenolepis","Begonia stenolepis","L.B.Sm. & R.C.Sm.","E.R. Santos","2013","09","08","Santos, E.R.","3","2012","08","26","Brasil","Santa Catarina","São sebastião do Saltinho","Linha Lageado Grande, na encosta do rio Lageado Grande,local sombreado e úmido, Sítio de João Ribeiro",NA,NA,NA,NA,NA,NA,"Encontrada em cima de rochas com pouco substrato, local sombreado e úmido",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-27 16:43:49-03","UFSC","CTBS","2088","PreservedSpecimen","Plantae","Begoniaceae","Begonia","stenolepis","Begonia stenolepis","L.B.Sm. & R.C.Sm.","Santos, E.R.","2013","09","08","Santos, E.R.","3","2012","08","26","Brasil","Santa Catarina","São sebastião do saltinho","Linha lageado grande, proximo a um riacho, local sombreado e úmido, sítio de João Ribeiro.",NA,NA,NA,NA,NA,NA,"Econtrada proximo a um riacho, local sombreado e úmido. Flores brancas, estames amarelo, fruto tipo capsula.","CTBS 1617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:26:18-03","UNICAMP","UEC","500","S","Plantae","Begoniaceae","Begonia","stenolepis","Begonia stenolepis","L.B.Sm. & R.C.Sm.",NA,NA,NA,NA,"Davis, PH; Shepherd, GJ","60925","1976","09","16","Brazil","Paraná","Foz do Iguaçu",NA,"-54.5881004333496","-25.5478000640869",NA,NA,"150","150","Banks in semi-deciduous forest, and fruits pink. Tepals white.",NA,"Magnoliopsida","39570","UEC041885","UEC041885","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-10-14 09:59:44-03","FURB","FURB","13073","PreservedSpecimen","Plantae","Begoniaceae","Begonia","stenolepis","Begonia stenolepis","L.B.Sm. & R.C.Sm.","Varamillo, J.C","2017","06","29","Stival-Santos, A.; Silveira, S.","509","2009","03","19","Brasil","Santa Catarina","Barra Bonita","Lageado Rabo de Galo.","-53.4102778","-26.7288889","-53.4102778","-26.7288889","467","467","Florística IFFSC 3082(Erva Terrícola) Habitat: Floresta Estacional Decidual; Estágio Avançado; interior do fragmento Habito: herbácea;",NA,NA,NA,"FURB15392","FURB15392",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:29:45-03","UFRRJ","RBR","35361","S","Plantae","Begoniaceae","Begonia","stenolepis","Begonia stenolepis","L.B.Sm. & R.C.Sm.","E.L. Jacques","2010","04","29","J.L. Schmitt","468","2009","11","02","Brasil","Santa Catarina","Benedito Novo","Fazenda Campo do Zinco, Lat.: 26° 54#?#35.9' S Lon.: 49° 29#?# 52,02' O. Altitude: 788 m","-49.3643989562988","-26.7828006744385",NA,NA,NA,NA,NA,NA,NA,"20912","RBR00035361",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 09:29:45-03","UFRRJ","RBR","35360","S","Plantae","Begoniaceae","Begonia","stenolepis","Begonia stenolepis","L.B.Sm. & R.C.Sm.","E.L. Jacques","2010","04","29","A. Korte; A. Kniess","841","2009","11","10","Brasil","Santa Catarina","Presidente Nereu","Rio Novo, Latitude: 27°10#?#49,00' S Longitude: 49° 13#?# 50,00' O. Altitude: 617 m","-49.3903007507324","-27.2772006988525",NA,NA,NA,NA,NA,NA,NA,"21642","RBR00035360",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:18:03-03","MBM","MBM","232411","PreservedSpecimen","Plantae","Begoniaceae","Begonia","stenolepis","Begonia stenolepis","L.B. & R.C. Smith","Smith, S.F.",NA,NA,NA,"Hatschbach, G.; Spichiger, R.; Loizeau, P.A.; Spichiger, R.; Loizeau, P.A.","68751","1998","11","16","Brazil","Paraná","Candói","Rod. BR-373, desdida para a Represa Salto Santiago","-52.0558013916016","-25.5722007751465",NA,NA,NA,NA,NA,NA,NA,"42664","MBM232411","MBM232411","auto","Southern America",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:18:03-03","MBM","MBM","192166","PreservedSpecimen","Plantae","Begoniaceae","Begonia","stenolepis","Begonia stenolepis","L.B. & R.C. Smith","Smith, S.F.",NA,NA,NA,"Hatschbach, G.; Ziller, S.R.; Silva, J.M.; Ziller, S.R.; Silva, J.M.","64436","1996","02","22","Brazil","Paraná","Pinhão","Vale do Rio Iguaçu, Córrego Estreito","-51.6596984863281","-25.6956005096436",NA,NA,NA,NA,NA,NA,NA,"37408","MBM192166","MBM192166","auto","Southern America",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:18:03-03","MBM","MBM","217794","PreservedSpecimen","Plantae","Begoniaceae","Begonia","stenolepis","Begonia stenolepis","L.B. & R.C. Smith","Smith, S.F.",NA,NA,NA,"Silva, J.M.; Soares, A.; Maschio, W.; Soares, A.; Maschio, W.","2096","1997","10","14","Brazil","Paraná","Quedas do Iguaçu","Barra do Rio Perdido, Fazenda ADM","-52.9081001281738","-25.4496994018555",NA,NA,NA,NA,NA,NA,NA,"24667","MBM217794","MBM217794","auto","Southern America",NA,NA,NA,NA,NA,NA
