"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00078113","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","M. A. C. Da Silva","J. M. Pires","16210","1978","07","26","South America","Brazil","Goiás","Rodovia Belém-Brasília, perto do Igarapé do Boi","180","180","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2775362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00078113","NY00078113_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 23:59:00-03","NY","NYBG","00078111","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","anceps","Xyris anceps",NA,NA,"J. B. Lamarck","5936",NA,NA,NA,"South America","French Guiana",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2775361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00078111","NY00078111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","503089","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","L. B. Smith","D. F. Austin","6950","1979","09","23","South America","Brazil","Pará","Dunes at Atalaia beach",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770961' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503089","NY00503089_01","-47.3053","-0.5989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","503092","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","anceps","Xyris anceps","Lam.",NA,"J. C. de Moraes Vasconcelos","2287","1959","10","18","South America","Brazil","Paraíba","Baía da Traiçao",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503092","NY00503092_01","-34.940962","-6.695913","Baía da Traiçao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","503091","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","G. O. A. Malme","C. E. F. von Glocker","35420","1842",NA,NA,"South America","Brazil","Bahia",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503091","NY00503091_01","-39.039072","-15.159747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00078110","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","G. O. A. Malme","F. E. Drouet","2451","1935","09","10","South America","Brazil","Ceará","Above Açude João Lopez.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2775360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00078110","NY00078110_01","-38.5431","-3.7172","Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01169504","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","L. B. Smith","W. J. Burchell","9569",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","Writing illegible. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2775589' target='other'> <mi>dwc_moreinfo</mi></a>","NY01169504","NY01169504_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","503090","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","G. O. A. Malme","F. E. Drouet","2245","1935","08","13","South America","Brazil","Ceará","Sandy flats about Lagoa do Tauáje",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503090","NY00503090_01","-38.5431","-3.7172","Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00078109","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","L. B. Smith","G. T. Prance","21154","1974","07","15","South America","Brazil","Pará","Atalaia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2775359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00078109","NY00078109_01","-47.3560981750488","-0.613610982894897","Salinópolis","23190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00078114","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","anceps","Xyris anceps","Lam.",NA,"N. A. Rosa","935","1976","06","16","South America","Brazil","Pará","Marajo, campo margenado o Igapo em Joanes, solo encharcado.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2775363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00078114","NY00078114_01","-48.5167007446289","-0.75333297252655","Salvaterra","52029","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-06-29 11:32:53-03","UFRJ","RFA","42875","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","Nelson A. Rosa","M.F. Quintela; R.S. Araújo","10","1999","12",NA,NA,"Brasil","Pará","Porto Trombetas, Igapó",NA,NA,NA,"Erva","RFA38744",NA,NA,NA,"Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:54:34-03","EAO","IAN","157455","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","Silva, MG da","Pires, JM; Santos, MR dos","16210","1978","07","26","Southern America","Brasil",NA,"Goias, rodovia Belém-Brasilia, perto do Igarapé dp Boi. Cerrado e campina periodicamente enchacada.",NA,NA,NA,"Erva de 20-35cm de altura, incluindo inflorescencia. Flor amarela.","IAN157455",NA,NA,NA,NA,NA,NA,"1978",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:54:34-03","EAO","IAN","79309","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","Smith, LB","Pickel, BJ","233",NA,NA,NA,NA,NA,NA,"Terreno debrejo, Beberibe, Recife Peru. Vasconcellos Sobrinho.",NA,NA,NA,NA,"IAN079309",NA,NA,NA,NA,NA,NA,"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:54:34-03","EAO","IAN","83942","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","Smith, LB","Black, GA; Pires, JM","16544","1954","07","06","Southern America","Brasil","Maranhão","Perizes, campo. Encontrada em lugar encharcado.",NA,NA,NA,NA,"IAN083942",NA,NA,NA,NA,NA,NA,"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:54:34-03","EAO","IAN","83950","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","Smith, LB","Black, GA; Pires, JM","16552","1954","07","06","Southern America","Brasil","Maranhão","Perizes, campo. Encontrado em lugares encharcados.",NA,NA,NA,NA,"IAN083950",NA,NA,NA,NA,NA,NA,"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-30 12:54:34-03","EAO","IAN","89248","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","Smith, LB","Black, GA","18315","1955","06","25","Southern America","Brasil","Ceará","Barra do Ceará.",NA,NA,NA,NA,"IAN089248",NA,NA,NA,NA,NA,NA,"1965","06",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:54:34-03","EAO","IAN","97731","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","Smith, D","Black, GA","s.n.","1950","08","09","Southern America","Brasil","Pará","Rio Camará, fazenda Gurupatuba, campo aberto.",NA,NA,NA,NA,"IAN097731",NA,NA,NA,NA,NA,NA,"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:54:34-03","EAO","IAN","166373","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Xyridaceae","Xyris","anceps","Xyris anceps","Lam.","Mota, NFO","Cordeiro, MR; Batista, J","2736","1997","06","06","Southern America","Brasil","Amapá","Fazenda Itapoã. Bloco I. Rio Amapá Grande, pedra perto da cachoeira grande.",NA,NA,NA,"Capim. Flor amarela.","IAN166373",NA,"-51.0663986206055","-0.366667002439499","Macapá","225229","auto","2014","09","09",NA,NA,NA,NA,NA,NA,NA
