"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","individualCount","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","stateProvince","county","month","day","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","dayIdentified","decimalLongitude","coordinatePrecision","geoFlag","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","1160","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(E.Pereira & Reitz) J.R.Grant","Brasil","4","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","29","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(E.Pereira & Reitz) J.R.Grant","Brasil","1","254","Elton. C. M. Leme","2009","05","Elton M. C. Leme;","1982","Espírito Santo","Pedra Azul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:36:31-03","MN","R","215792","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(E. Pereira & Reitz) J.R. Grant","Brasil",NA,NA,NA,NA,NA,"Coser, T.S. 365; Zanella, C.M. & Goetze, M.","2010","Espirito Santo","Santa Maria de Jequitibá","09","30","-20.176944","40º55'24''O","20º10'37''S","R010004454","R010004454",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-07 17:00:39-03","MN","R","240008","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(E. Pereira & Reitz) J.R. Grant","Brasil",NA,NA,"Cardoso, W.C.","2019","06","Cardoso, W.C. 459; Brasil, L.S.","2019","Espírito Santo","Santa Maria de Jetibá","06","06","-20.040599822998","-40.91620W","-20.17385S","R010072091","R010072091","06","-40.7461013793945","31867","auto",NA,NA,NA,NA
"5","2021-03-31 13:36:31-03","MN","R","237787","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(E. Pereira & Reitz) J.R. Grant","Brasil",NA,NA,"Neves, B.F.S.",NA,NA,"Neves, B.F.S.","2015","Espírito Santo","Santa Maria de Jetibá","08","23","-20.040599822998",NA,NA,"R010066801,R010066800,R010066803,R010066804,R010066805,R010066811","R010066800 R010066801 R010066803 R010066804 R010066805 R010066811",NA,"-40.7461013793945","31867","auto","358","Pedra do Garrafão",NA,NA
"6","2020-12-20 21:16:22-03","UFV","VIC","25940","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(F.Pereira & Reitz.) J.R.Grant","Brasil",NA,"Rupícola","Paula, C.C. de","2001","06","Paula, C.C. de","1996","Minas Gerais","Dona Euzébia","02","05","-21.3164005279541",NA,NA,"VIC025940","VIC025940 VIC025940_1","26","-42.8106002807617","8160","auto","1281","Serra da Boa Vista",NA,NA
"7","2020-04-27 16:09:03-03","UFES","VIES","39352","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(E.Pereira & Reitz) J.R.Grant","Brasil",NA,NA,"Wandekoken, D.T.","2016","03","Wandekoken, D.T.","2016","Espírito Santo","Domingos Martins","03","01","-20.401389","41º1'27''W","20º24'5''S","VIES039352","VIES039352","05","-41.024167",NA,NA,"40","Parque da pedra azul.",NA,NA
"8","2020-04-27 16:09:03-03","UFES","VIES","26353","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(E.Pereira & Reitz) J.R.Grant","Brasil",NA,NA,"Vieira, C.M.","2002","10","Martinelli, G.; Heron, L.; Ronaldes R. & Azoury R.","1999","Espírito Santo","Domingos Martins","08","14","-20.3633003234863",NA,NA,"VIES026353","VIES026353",NA,"-40.6591987609863","48150","auto","15727","Pedra Azul.",NA,NA
"9","2020-04-27 16:09:03-03","UFES","VIES","31357","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(E.Pereira & Reitz) J.R.Grant","Brasil",NA,NA,"Couto, D.R.; Zorzanelli, J.P.F.","2013","05","Zorzanelli, J.P.F.; Carrijo, T.T.","2013","Espírito Santo","Iúna","02","22","-20.3458003997803",NA,NA,"VIES031357","VIES031357 VIES031357_1 VIES031357_2 VIES031357_3 VIES031357_4","27","-41.5358009338379","32198","auto","628","Serra do Valentim.","1110","1110"
"10","2020-04-27 16:09:03-03","UFES","VIES","19062","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(E.Pereira & Reitz) J.R.Grant","Brasil",NA,NA,"Lorencini, T.S.","2009","08","Lorencini, T.S.; Siqueira, V.B.","2009","Espírito Santo","Santa Maria de Jetibá","08","08","-20.040599822998",NA,NA,"VIES019062","VIES019062","08","-40.7461013793945","31867","auto","338","Garrafão.",NA,NA
"11","2020-04-27 16:09:03-03","UFES","VIES","26367","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(E.Pereira & Reitz) J.R.Grant","Brasil",NA,NA,"Coser, T.S.","2010","09","Coser, T.S.; Zanella, C.M. & Goetze, M.","2010","Espírito Santo","Santa Maria de Jetibá","09","30","-20.040599822998",NA,NA,"VIES026367","VIES026367","30","-40.7461013793945","31867","auto","365","Pedra do Garrafão.",NA,NA
"12","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","42632",NA,"Plantae",NA,NA,"Bromeliaceae","Alcantarea","aff. vinicolor","Alcantarea aff. vinicolor","E.Pereira & Reitz","Brasil",NA,"Segundo o Waldomiro (analista do parque), as plantas são oriundas de uma apreensão que ocorreu na década de 90, sendo a origem provável a região de Muqui. Folhas predominantemente vináceas, ocorrendo listras irregulares na face abaxial","T.S. Coser/29-03-2011",NA,NA,"T.S. Coser; F.B. Uribbe & B. Neves","2011","Espírito Santo","Vale Verde","03","29",NA,NA,NA,"MBML042632","MBML042632_1 MBML042632_2",NA,NA,NA,NA,"414","Parque Nacional do Caparaó, Sede do Parque",NA,NA
"13","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","14602",NA,"Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","E.Pereira & Reitz","Brasil",NA,"Folhas verdes com ápice vermelho, base marrons. Brácteas escapais avermelhadas. Brácteas florais avermelhadas. Brácteas florais avermelhadas. Brácteas florais avermelhadas. Sépalas verdes com ápice vermelhos. Pétalas vermelhas.","L. Kollmann/28-06-2001",NA,NA,"L. Kollmann","2001","Espírito Santo","Santa Teresa","06","28","-19.936111","40W36'0","19S56'10","MBML014602","MBML014602_1 MBML014602_2 MBML014602_3 MBML014602_4",NA,"-40.6",NA,NA,"4099","Pátio do Museu de Biologia Mello Leitão",NA,NA
"14","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","16484",NA,"Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","E.Pereira & Reitz","Brasil",NA,"Rupícola folhas verdes com ápice vinoso e espiralado, brácteas escapais, primária e florais vinosas, sépalas verdes com ápice vinho, pátalas alvas no inicio da antese tornando-se castanho na pósantese, filete alvo e antera e pólen amar",NA,NA,NA,"R. Ramaldes; et al","2001","Espírito Santo","Domingos Martins","05","18","-20.403889","41W1'9","20S24'14","MBML016484","MBML016484_1 MBML016484_2",NA,"-41.019167",NA,NA,"45","Parque Estadual da Pedra Azul",NA,NA
"15","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","42205",NA,"Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(Pereira & Reitz) J.R. Grant","Brasil",NA,"Espécie heliófila, saxícola. Espécie comum nos afloramentos da região formando tapetes adensados de indivíduos. Indivíduos variam no padrão de coloração das folhas, sendo usualmente vináceas, mas ocorrendo também verde-vináceas. Folhas","T.S. Coser/30-09-2010",NA,NA,"T.S. Coser; C.M. Zanella & M. Goetze","2010","Espírito Santo","Santa Maria de Jetibá","09","30","-20.176944","40W55'24","20S10'37","MBML042205","MBML042205",NA,"-40.923333",NA,NA,"365","Pedra do Garrafão. Afloramento Rochoso de formação gnaisse-granito",NA,NA
"16","2019-11-21 10:02:30-03","IBt","SP","401945","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(E.Pereira & Reitz) J.R.Grant","Brasil",NA,NA,"Versieux, LM",NA,NA,"Versieux, LM; Calvente, AM; Trindade, T","2007","Espírito Santo","Domingos Martins","01","20","-20.393972","-41.026694","-20.393972","SP050844","SP050844",NA,"-41.026694",NA,NA,"377","Pedra Azul. Rota do lagarto.","1183","1183"
"17","2019-11-21 10:02:30-03","IBt","SP","401945a","Extra","Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(E.Pereira & Reitz) J.R.Grant","Brasil",NA,NA,"Versieux, LM",NA,NA,"Versieux, LM; Calvente, AM; Trindade, T","2007","Espírito Santo","Domingos Martins","01","20","-20.393972","-41.026694","-20.393972","SP050845","SP050845",NA,"-41.026694",NA,NA,"377","Pedra Azul. Rota do lagarto.","1183","1183"
"18","2019-11-21 10:02:30-03","IBt","SP","401946","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","vinicolor","Alcantarea vinicolor","(E.Pereira & Reitz) J.R.Grant","Brasil",NA,NA,"Versieux, LM",NA,NA,"Versieux, LM; Calvente, AM; Trindade, T","2007","Espírito Santo","Domingos Martins","01","20","-20.393972","-41.026694","-20.393972","SP050841","SP050841",NA,"-41.026694",NA,NA,"376","Pedra Azul. Rota do lagarto.","1183","1183"
