"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","county","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","2461045","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","G. E. Tôrres","09","1987","06","21","South America","Brazil","Minas Gerais","Rib. Rocinha ST 4.","-47.9089","-19.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2691868' target='other'> <mi>dwc_moreinfo</mi></a>","NY02461045","NY02461045_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1085911","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","G. Gardner","3965",NA,NA,NA,"South America","Brazil","Goiás",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1257674' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085911","NY01085911_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","493587","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","G. Gardner","3965","1836",NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493587","NY00493587_01",NA,"K. Suessenguth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2461047","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","G. E. Tôrres","37","1987","07","13","South America","Brazil","Minas Gerais","Rib. Brejão ST 1.","-47.7","-19.1194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2691870' target='other'> <mi>dwc_moreinfo</mi></a>","NY02461047","NY02461047_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1033204","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","R. Rodrigues-da Silva","260","1999","04","29","South America","Brazil","Minas Gerais","Parque Nacional Grande Sertão Veredas; margens do rio Mato Grande.","-45.9858","-15.3183","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216414' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033204","NY01033204_01",NA,"M. S. Marchioretto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","493583","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","W. R. Anderson","7397","1973","03","18","South America","Brazil","Goiás","Chapada dos Veadeiros. 4 km by road S of Terezina","-47.2647018432617","-13.7763996124268","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493583","NY00493583_01",NA,"T. M. Pedersen","Teresina de Goiás","42211","1000","1000","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2461046","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","Pedralli","s.n.","1986","10","31","South America","Brazil","Minas Gerais","Rio Capivara.","-47.2928009033203","-19.3528003692627","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2691869' target='other'> <mi>dwc_moreinfo</mi></a>","NY02461046","NY02461046_01",NA,NA,"Perdizes","45889",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","493588","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","M. Berthoud-Coulon","535","1841",NA,NA,"South America","Suriname",NA,NA,"-57.5","4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","493586","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","G. Jönsson","326a","1914","05","12","South America","Brazil","Paraná",NA,"-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493586","NY00493586_01",NA,NA,"Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 02:16:00-03","NY","NYBG","493584","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata",NA,"Rodriguez","781","1913","04","02","South America","Argentina","Misiones","Salto Iguazú",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493584",NA,NA,"K. Suessenguth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02461044","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.",NA,NA,"1985","04","14","South America","Brazil","Minas Gerais","UCAT","-43.7144012451172","-19.1688995361328","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2691867' target='other'> <mi>dwc_moreinfo</mi></a>","NY02461044","NY02461044_01",NA,NA,"Santana do Riacho","26557",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-13 09:18:46-03","UFRJ","RFA","11657","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","G.G. Hatschbach; O. Guimarães","25555","1970","11","19",NA,"Brasil","Paraná","Rio Jaguariaiva, Corredeira Paulista","-49.6521987915039","-23.9158000946045",NA,"Erva; flor alvescente, junto as corredeiras","RFA11247",NA,NA,"T.M. Pedersen","São José da Boa Vista","21399",NA,NA,"auto","1971",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-24 17:10:24-03","UTFPR","DVPR","3315","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","Caxambu, MG; et al.","2946","2010","02","12",NA,"Brasil","Paraná","Estação Ecológica Luiziana","-52.26032","-24.31599",NA,"Erva semi-ciófila, ripária, ca. 0,45m, flores de cálice verde e corola alva.; Relevo: ondulado.","DVPR003315",NA,NA,"Barboza, E","Luiziana",NA,"624","624",NA,"2010","-52.26032","-24.31599",NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:33:14-03","EAO","IAN","105434","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","Magalhães, MG","2537","1942","10","31","Southern America","Brasil","Minas Gerais","São Raimundo, submersa na margem do rio Doce.","-41.9494018554688","-18.8511009216309",NA,"Herbácea.","IAN105434",NA,NA,"Barreto, M","Governador Valadares","50833",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-01-20 14:40:07-03","UPM","MACK","13","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","A. C. V. Crestani","91",NA,NA,NA,NA,"Brasil","SP","Juréia","-46.9900016784668","-24.3199996948242",NA,NA,NA,NA,NA,"V. C. Souza","Peruíbe","21922",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-12-04 15:26:23-03","PUCPR","HUCP","6703","S","Plantae","Monocotiledonea",NA,"Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","Conseban, PO","0081","1985","07","20",NA,"Brasil","Paraná","Morada do Sol",NA,NA,NA,NA,NA,NA,NA,"Acra, LA","Balneário Cambará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-04 15:26:23-03","PUCPR","HUCP","6965","S","Plantae","Monocotiledonea",NA,"Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","Cristiane","022","1985","07","01",NA,"Brasil","Paraná",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"Jaszczerski, JC","Curitiba","25180",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 08:54:24-03","NBC","NL-BOTANY","U.1060458","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","glabrata","Gomphrena glabrata","(Mart.) Moq.","Smith HH",NA,"1898","10","01","Southern America","Colombia",NA,"Santa Marta, United States of Colombia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1060458 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1060458","NL-U1060458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"19","2020-02-08 08:54:36-03","NBC","NL-BOTANY","L.1696820","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","Smith HH",NA,"1898","10","01","Southern America","Colombia",NA,"Santa Marta.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1696820 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1696820","NL-L1696820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"20","2020-02-08 08:54:36-03","NBC","NL-BOTANY","U.1060651","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","Plotkin MJ; Hoffman B; Troon F van",NA,"1998","07","14","Southern America","Surinam","Sipaliwini",NA,"-56.783333","2.366667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1060651 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1060651","NL-U1060651",NA,"DeFilipps RA",NA,NA,NA,NA,NA,NA,"-56.783333","2.366667","Magnoliopsidae","U 0225243",NA,NA,NA,NA
"21","2020-11-04 10:59:01-03","ESALQ","ESA","1019","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","Raul de Souza","212.0",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"ESA001019","ESA001019",NA,"Marchioretto, M.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 10:59:01-03","ESALQ","ESA","118352","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata",NA,"Macedo, C.C.L.","42.0","2009","01","01",NA,"Brasil","São Paulo",NA,"-46.5800018310547","-23.3099994659424",NA,NA,"ESA118352","ESA118352",NA,"Rodrigues, M.E.F.","Mairiporã","15840",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 10:59:01-03","ESALQ","ESA","118355","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata",NA,"Macedo, C.C.L.","50.0","2009","01","01",NA,"Brasil","São Paulo",NA,"-46.5800018310547","-23.3099994659424",NA,NA,"ESA118355","ESA118355",NA,"Macedo, C.C.L.","Mairiporã","15840",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-08-27 13:28:31-03","IAP","PACA-AGP","103798","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","Nakajima","4267","2006","10","25",NA,"Brasil","MG","Região da Represa de Furnas. Estrada depois do paraísoPerdido, na passagem do córrego.","-46.332778","-20.5925",NA,"brácteas alvas, cálice creme&nf;HUFU Habitat: beira da cachoeira Hábito: erva","PACA103798",NA,NA,"M.S. Marchioretto","São João Batista da Glória",NA,"969","969",NA,"2009","46°19'58W","20°35'33S","Magnoliatae",NA,"04",NA,NA,NA
"25","2019-12-04 11:51:27-03","IAP","PACA-AGP","102800","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","G.P.Silva","7607","2003","05","09",NA,"Brasil","GO","Faz. mato seco, margem direita do rio Corumbá","-48.384167","-16.173056",NA,"Herbário CEN s/n&nf;Cerca de 80cm de altura;&nf;Relevo plano;&nf;Flor branca;&nf;Ocasional no local Habitat: mata de galeria bastante antropizada, próx. a área de extração de areia(draga0; área de influência direta(lago) Hábito: erva","PACA102800",NA,NA,"M.S. Marchioretto","Alexânia",NA,"830","830",NA,"2006","48°23'03W","16°10'23S","Magnoliatae",NA,"06",NA,NA,NA
"26","2019-08-27 13:28:31-03","IAP","PACA-AGP","102803","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","G.P.Silva","7338","2003","03","11",NA,"Brasil","GO","Margem direita do Rio das Antas (próx. a ponte da madeira)","-48.440556","-16.289722",NA,"Herbário CEN s/n;&nf;Área de influência direta(lago);&nf;Flor branca;&nf;Relevo suave ondulado Habitat: mata de galeria, solo argiloso Hábito: erva decumbente","PACA102803",NA,NA,"M.S. Marchioretto","Silvania",NA,"820","820",NA,"2006","48°26'26W","16°17'23S","Magnoliatae",NA,"07",NA,NA,NA
"27","2019-08-27 13:28:31-03","IAP","PACA-AGP","106454","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","L. Roth","s/n","2006","04","21",NA,"Brasil","MG","Sanatório Hugo Wernec.","-43.937801361084","-19.9207992553711",NA,"Habitat: Herbácea, à beira d'água, flores brancas.","PACA106454",NA,NA,"M. S. Marchioretto","Belo Horizonte","17082",NA,NA,"auto","2010",NA,NA,"Magnoliatae",NA,"01",NA,NA,NA
"28","2019-08-27 13:28:31-03","IAP","PACA-AGP","103795","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","Romero","7775","2006","07","12",NA,"Brasil","MG","Região da Represa de Furnas; Paraíso Perdido, ca. 5 km da rodovia MG 050.","-46.0499992370605","-20.6152992248535",NA,"brácteas creme, corola amarela&nf;HUFU Habitat: , entre rochas da cachoeira, campo rupestre Hábito: erva","PACA103795",NA,NA,"M.S. Marchioretto","Capitólio","29474",NA,NA,"auto","2009",NA,NA,"Magnoliatae",NA,"04",NA,NA,NA
"29","2019-08-27 13:28:31-03","IAP","PACA-AGP","103824","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.","Nakajima","2555","1995","07","17",NA,"Brasil","MG","Serra da Canastra, Cachoeira da Casa Dánta.","-46.3657989501953","-20.2453002929688",NA,"cálice verde, corola branca&nf;HUFU Habitat: leito do Rio São Francisco","PACA103824",NA,NA,"M.S. Marchioretto","São Roque de Minas","57119",NA,NA,"auto","2009",NA,NA,"Magnoliatae",NA,"04",NA,NA,NA
