"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","807917","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","magellanicum","attenuatum","Hymenophyllum magellanicum attenuatum","Luetzelb.","P. von Luetzelburg","6036","1915","08","South America","Brazil","Rio de Janeiro","Morro Assú.","2400","2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807917","NY00807917_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","807915","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","magellanicum",NA,"Hymenophyllum magellanicum","Willd.","R. Reitz","15873","1963","07","South America","Brazil","Santa Catarina","São Joaquim.","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807915","NY00807915_01","A. Sehnem","15","Urupema","-49.8731","-27.9531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","807914","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","magellanicum","attenuatum","Hymenophyllum magellanicum attenuatum","Luetzelb.","A. C. Brade","16633","1940","08","South America","Brazil","Rio de Janeiro","Serra dos Orgãos. Picada Rancho Frio no leito Rio Paquequer.","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802122' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807914","NY00807914_01","A. C. Brade","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","807913","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","magellanicum",NA,"Hymenophyllum magellanicum","Willd.","V. A. de O. Dittrich","384","1998","07","South America","Brazil","Paraná","Morro Capivari Grande.","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807913","NY00807913_01","V. A. de O. Dittrich","01","Campina Grande do Sul","-49.08","-25.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2063355","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","magellanicum",NA,"Hymenophyllum magellanicum","Willd.","J. B. S. Pereira","146","2008","02","South America","Brazil","Paraná","Parque Estadual Pico Paraná. Pico Itapiroca","1750",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463607' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063355","NY02063355_01",NA,"17","Campina Grande do Sul","-48.85","-25.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2063334","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","magellanicum",NA,"Hymenophyllum magellanicum","Willd.","J. B. S. Pereira","64","2007","09","South America","Brazil","Paraná","Parque Estadual Pico Paraná.","1300",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463541' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063334","NY02063334_01",NA,"29","Campina Grande do Sul","-48.83","-25.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","807916","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","magellanicum",NA,"Hymenophyllum magellanicum","Willd.","L. H. Gunckel","s.n.","1930","11","South America","Chile","Los Lagos","Valdivia. Corral (El Boldo).","40","40","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807916","NY00807916_01","L. H. Gunckel","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","807912","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","magellanicum",NA,"Hymenophyllum magellanicum","Willd.","Y. E. J. Mexia","4069","1929","11","South America","Brazil","Espírito Santo","SE slope of Serra da Caparaó.","1550","2460","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802113' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807912","NY00807912_01","E. B. Copeland","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2063357","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","magellanicum",NA,"Hymenophyllum magellanicum","Willd.","J. B. S. Pereira","182","2008","02","South America","Brazil","Paraná","Parque Estadual Pico Paraná. Pico Itapiroca","1750",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463610' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063357","NY02063357_01",NA,"17","Campina Grande do Sul","-48.83","-25.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","807918","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","magellanicum","attenuatum","Hymenophyllum magellanicum attenuatum","Luetzelb.","A. C. Brade","16633","1940","08","South America","Brazil","Rio de Janeiro","Serra dos Orgãos. Picada Rancho Frio no leito Rio Paquequer.","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807918","NY00807918_01","A. C. Brade","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
