"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode"
"1","2019-10-07 09:18:39-03","UEFS","HUEFS","104890","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","castanea","Frailea castanea","Backeb.","Machado, M.","563","2005","11","13","Brasil","Rio Grande do Sul","Quaraí","BR-290 de Alegrete em direção a Uruguaiana, após 39 km junção com a RS-183, dobrar à esquerda (sul) na RS-183, após 27.6 km lagedos rasos à esquerda (leste) da estrada.","-56.048611","-30.1825","56W2'55''","30S10'57''","223","223","HUEFS0104890","HUEFS0104890"
"2","2019-10-07 09:18:39-03","UEFS","HUEFS","105036","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","castanea","Frailea castanea","Backeb.","Machado, M.","710","2005","12","06","Brasil","Rio Grande do Sul","Quaraí","10.3 km ao norte de Quaraí na estrada para Passo da Guarda, afloramentos rochosos ao oeste da estrada.","-56.333056","-30.379167","56W19'59''","30S22'45''","195","195","HUEFS0105036","HUEFS0105036"
"3","2019-10-07 09:18:39-03","UEFS","HUEFS","105044","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","castanea","Frailea castanea","Backeb.","Machado, M.","718","2005","12","07","Brasil","Rio Grande do Sul","Santana do Livramento","BR-293 de Santana do Livramento em direção a Quaraí, ca. 30.9 km da entrada oeste de Santana do Livramento (35.6 km da entrada leste de Santana do Livramento), dobra-se à direita (norte) na estrada RS-183 para Passo da Guarda e Harmonia, após 7.2 km afloramentos ao leste da estrada.","-55.826667","-30.655278","55W49'36''","30S39'19''","292","292","HUEFS0105044","HUEFS0105044"
