"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relatedCatalogItem","occurrenceRemarks","barcode","continentOcean","preparationType","previousCatalogNumber","phylum","order","identifiedBy","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","dayIdentified","class","fieldNumber","individualCount","sex"
"1","2020-09-24 10:58:18-03","UEPA","MFS-FLORES","MFSFL000036","S","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica","Aubl.","2012","10","Santos, TAP dos","20","2012","10","05","Brasil","Pará","Belém","Embrapa Amazônia Oriental, próximo ao restaurante.","-48.490178","-1.455731","-48.490178","-1.455731","MFS001845","Árvore de 8m de altura com DAP de aproximadamente 30cm. Presença de flores com pétalas alvas de pontas avermelhadas.","MFSFL000036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-24 10:58:18-03","UEPA","MFS-FLORES","MFSFL000029","S","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica","Aubl.",NA,NA,"Pereira, A.S.S.","48","2011","12","29","Brasil","Pará","Belém","Campus de pesquisa do Museu Paraense Emilio Goeldi.","-48.490178","-1.455731","-48.490178","-1.455731","MFS000882","Árvore de 5m de altura. Flores amarelas com longos estames amarelos e extremidades rosa.","MFSFL000029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:25-03","E","E","144529","PreservedSpecimen","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica",NA,NA,NA,"L.J.Gillespie","1187","1989","04","24","GY",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00144529 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00144529","E. Tropical South America","herbarium specimen of unspecif","BGBASE:153878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:25-03","E","E","144255","PreservedSpecimen","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica",NA,NA,NA,"Blas Pérez","656",NA,NA,NA,"PY",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00144255 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00144255","E. Tropical South America","herbarium specimen of unspecif","BGBASE:153123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:25-03","E","E","144530","PreservedSpecimen","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica",NA,NA,NA,"L.J.Gillespie","1187","1989","04","24","GY",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00144530 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00144530","E. Tropical South America","herbarium specimen of unspecif","BGBASE:153876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01539107","PreservedSpecimen","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica","Aubl.",NA,NA,"H. M. Curran","1","1918","04","09","Brazil","Pará",NA,"Pará",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1842125' target='other'> <mi>dwc_moreinfo</mi></a>","NY01539107","South America","sheet",NA,"Magnoliophyta","Malvales","A. G. M. W. A. Robyns","NY01539107_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-02-01 13:30:00-02","NY","NYBG","402478","PreservedSpecimen","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica",NA,NA,NA,"Kröll","72","1986","07","01","Peru","Huánuco",NA,"Prov. Puerto Inca. Dtto. Yuyapichis. Unidad Modelo de Manejo y Produccion Forestal DANTAS. Selva Central, Dantas","-75.03","-9.67",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=153070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402478","South America","sheet",NA,"Magnoliophyta","Malvales",NA,NA,"270","270",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01539103","PreservedSpecimen","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica","Aubl.",NA,NA,"D. G. Campbell","P22331",NA,NA,NA,"Brazil","Pará",NA,"Basin of Rio Trombetas. Parallel with Km. 70 of Cachoeira Porteira to Perimetral Road.","-56.7633104","-0.5691339",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1842105' target='other'> <mi>dwc_moreinfo</mi></a>","NY01539103","South America","sheet",NA,"Magnoliophyta","Malvales","J. A. Kallunki","NY01539103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01539104","PreservedSpecimen","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica","Aubl.",NA,NA,"N. T. da Silva","1787","1969","03","07","Brazil","Pará","Jari","Cachoeira do Sto. Antonio.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1842106' target='other'> <mi>dwc_moreinfo</mi></a>","NY01539104","South America","sheet",NA,"Magnoliophyta","Malvales","J. A. Kallunki","NY01539104_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01539053","PreservedSpecimen","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica","Aubl.",NA,NA,"J. A. Silva","352","1985","07","26","Brazil","Amazonas","Barcelos","Rio Aracá a 20 h. de Barcelos, na beira do rio Aracá.","-63.236779","0.2457325",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1841601' target='other'> <mi>dwc_moreinfo</mi></a>","NY01539053","South America","sheet",NA,"Magnoliophyta","Malvales","J. A. Kallunki","NY01539053_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","402476","PreservedSpecimen","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica","Aubl.",NA,NA,"H. da S. Brito","193","1983","03","07","Brazil","Bahia","Santa Cruz Cabrália","Estaçao Ecológica do Pau-brasil (ESPAB), cerca de 16 km a W de Porto Seguro. Folha SE-24 (16-39c)","-39.1815805","-16.3721094",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=153082' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402476","South America","sheet",NA,"Magnoliophyta","Malvales","J. A. Kallunki","NY00402476_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","402480","PreservedSpecimen","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica","Aubl.",NA,NA,"S. A. Mori","22126","1991","10","18","French Guiana",NA,NA,"Tour de l'Ile River.","-52.3772","4.7933",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=153067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402480","South America","sheet",NA,"Magnoliophyta","Malvales","S. A. Mori; C. A. Gracie",NA,"10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","2711134","PreservedSpecimen","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica","Aubl.",NA,NA,"M. L. Alencar","347","1979","07","03","Brazil","Amazonas",NA,"Along Rio Cauburi between Rio Negro and first cachoeira","-65.92","-0.25",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3038677' target='other'> <mi>dwc_moreinfo</mi></a>","NY02711134","South America","sheet",NA,"Magnoliophyta","Malvales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","867364","PreservedSpecimen","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica","Aubl.",NA,NA,"D. C. Daly","7380","1992","03","13","Brazil","Acre","Marechal Thaumaturgo","Reserva Extrativista do Alto Rio Juruá, Rio Tejo, ColocaçÔo Terra Firme, right bank, five curves above confluence with Rio Bajé","-72.72","-8.97",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=153077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867364","South America","sheet",NA,"Magnoliophyta","Malvales","J. A. Kallunki","NY00867364_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01539115","PreservedSpecimen","Plantae","Malvaceae","Pachira","aquatica","Pachira aquatica","Aubl.",NA,NA,"H. M. Curran","1a","1918","04","09","Brazil","Pará",NA,"Para.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1842142' target='other'> <mi>dwc_moreinfo</mi></a>","NY01539115","South America","sheet",NA,"Magnoliophyta","Malvales","A. G. M. W. A. Robyns","NY01539115_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
