"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","order","fieldNumber","preparationType","individualCount","class","typeStatus"
"1","2021-03-30 12:34:43-03","EAO","IAN","122825","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Eupatorium","dictyophyllum","Eupatorium dictyophyllum","DC.","Barroso, GM","1966","Irwin, HS; Souza, R","8118","1965","09","09","Southern America","Brasil","Distrito Federal","Roadside, margin of cerrado. Taguatinga.","1100","1100","Subshrub ca. 50cm tall. Heads white.","IAN122825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:37:00-03","EAO","IAN","18834","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Eupatorium","dictyophyllum","Eupatorium dictyophyllum","DC.",NA,NA,"Lundell, CL","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,"IAN018834","IAN018834_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:34:43-03","EAO","IAN","93398","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Eupatorium","dictyophyllum","Eupatorium dictyophyllum","DC.",NA,NA,"Glaziou, AFM","s.n.","1985","10","06","Southern America","Brasil","Minas Gerais","Plants des environs de Rio de janeiro et d'Ouro Preto.",NA,NA,NA,"IAN093398",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:34:43-03","EAO","IAN","137326","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Eupatorium","dictyophyllum","Eupatorium dictyophyllum","DC.","Barroso, GM","1968","Belém, RP","3938","1968","02","03","Southern America","Brasil","Distrito Federal","Campus da UnB. Cerrado.",NA,NA,"Planta de 90cm; inflorescência creme.","IAN137326",NA,"11","Brasília","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:34:43-03","EAO","IAN","14341","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Eupatorium","dictyophyllum","Eupatorium dictyophyllum","DC.","Barreto, M",NA,"Magalhães, MG","3054","1942","07","25","Southern America","Brasil","Minas Gerais","Campo. Serra do Curral.",NA,NA,"Arbusto de 0,80m de altura. Muito frequente.","IAN014341","IAN014341 IAN014341_e",NA,"Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:34:43-03","EAO","IAN","110256","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Eupatorium","dictyophyllum","Eupatorium dictyophyllum","DC.","Barroso, GM","1950","Duarte, AP","2813","1950","08","21","Southern America","Brasil","Minas Gerais",NA,NA,NA,"Planta do cerradão, bastante frequente. De 0,60-0,80m de altura.","IAN110256",NA,NA,"Patos de Minas","-46.5181007385254","-18.5788993835449","69541","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-01-20 14:40:19-03","UPM","MACK","3441","PreservedSpecimen","Plantae",NA,"Asteraceae","Stomatanthes","dictyophyllus","Stomatanthes dictyophyllus","(DC.) R.M.King & H.Rob.",NA,NA,"B. Abud","121","2016","08","02",NA,"Brasil","SP","Parque Estadual do Juquery",NA,NA,NA,"HMACK00003441-B.Abud121-2/8/2016,ParqueEstadualdoJuquery,FrancodaRocha,SP,Brasil",NA,NA,"Franco da Rocha","-46.7200012207031","-23.3199996948242","12135","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-01-20 14:40:19-03","UPM","MACK","2982","PreservedSpecimen","Plantae",NA,"Asteraceae","Stomatanthes","dictyophyllus","Stomatanthes dictyophyllus","(DC.) R.M.King & H.Rob.","L. B. M. Modono","2018","L. T. A. Vieira","425","2016","10","07",NA,"Brasil","SP","Parque Estadual do Juquery",NA,NA,NA,NA,NA,"06","Franco da Rocha","-46.7200012207031","-23.3199996948242","12135","auto","05",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-20 14:40:19-03","UPM","MACK","2588","PreservedSpecimen","Plantae",NA,"Asteraceae","Stomatanthes","dictyophyllus","Stomatanthes dictyophyllus","DC. R.M.King & H.Rob","J.B. Baitello","2015","M.C. Antonucci","49","2015","04","25",NA,"Brasil","SP","Parque Estadual do Juquery",NA,NA,NA,NA,NA,"09","Franco da Rocha","-23.34197","-46.686391",NA,NA,NA,"-23,34197","-46,686391",NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:02:25-03","ESALQ","ESA","102547","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Stomatanthes","dictyophyllus","Stomatanthes dictyophyllus",NA,"Fernandes, A.C.",NA,"Krieger, L.","9120.0","1970","09","06",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"ESA102547","ESA102547",NA,"Entre Rios de Minas","-44.065601348877","-20.6707992553711","20620","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-22 17:44:37-03","UFPI","TEPB","29261","PreservedSpecimen","Plantae",NA,"Asteraceae","Eupatorium","dictyophyllum","Eupatorium dictyophyllum","DC.","CORREIA, C. A. S.","2004","Correia C. A. S","10","2004","11","25",NA,"Brasil","Distrito Federal","Parque das Sucupiras, Setor Sudoeste","1600","1600","Arbusto muito ramificado 1,3m; vários ramos saindo da base; caule esverdeado a marrom; folhas concolores, carnosas, diminuindo de tamanho da base para o ápice do ramo; filotaxia aparentemente verticilada em tríades; material em frutificação. Pápus cor de",NA,NA,"11","Brasília","-47.916667","-15.766667",NA,NA,"01","47°55'W","15°46'S",NA,NA,NA,NA,NA,NA
"12","2019-02-15 11:34:14-02","IPA","IPA","16890","S","Plantae","Plantae","Asteraceae","Eupatorium","dictyophyllum","Eupatorium dictyophyllum","DC.",NA,NA,"Belém, R.P.","3938","1968","02","03","Southern America","Brasil","Distrito Federal","Campus da UnB.",NA,NA,"Planta de 90cm. Inflorescência creme.; Cerrado.","IPA0016890","IPA0016890",NA,"Brasília","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-02-15 11:34:14-02","IPA","IPA","12785","S","Plantae","Plantae","Asteraceae","Eupatorium","dictyophyllum","Eupatorium dictyophyllum","DC.","Barroso, G.M.","1967","Andrade-Lima","61-3867","1961","10","03","Southern America","Brasil","Minas Gerais","Em campo.",NA,NA,"Ervas com flores alvas.","IPA0012785",NA,"02","Diamantina","-43.6002998352051","-18.2493991851807","101169","auto","23",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-21 14:32:14-03","UFJF","CESJ","46495","PreservedSpecimen","Plantae","Angiosperma","Asteraceae","Stomatanthes","dictyophyllus","Stomatanthes dictyophyllus","(DC.) R.M.King & H.Rob.","A.C. Fernandes","2011","F.M. Ferreira","882","2005","08","10","América do Sul","Brasil","Minas Gerais","Toca dos Urubus",NA,NA,"Arbusto ca. 50 cm no cerrado. Flores amareladas.","CESJ046495",NA,"10","Baependi","-44.8899993896484","-21.9589004516602","29865","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:32:14-03","UFJF","CESJ","9120","PreservedSpecimen","Plantae","Angiosperma","Asteraceae","Stomatanthes","dictyophyllus","Stomatanthes dictyophyllus","(DC.) R.M.King & H.Rob.","A.C. Fernandes","2011","L. Krieger","CESJ9120","1970","09","06","América do Sul","Brasil","Minas Gerais",NA,NA,NA,"Arbusto, no campo, flores amareladas(esbranquiçadas).","CESJ009120",NA,"10","Entre Rios de Minas","-44.065601348877","-20.6707992553711","20620","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-21 14:32:14-03","UFJF","CESJ","33741","PreservedSpecimen","Plantae","Angiosperma","Asteraceae","Stomatanthes","dictyophyllus","Stomatanthes dictyophyllus","(DC.) R.M.King & H.Rob.","A.C. Fernandes","2011","F.S. Araújo; V.R. Scalon","137","2001","07","28","América do Sul","Brasil","Minas Gerais","arredores do Parque Estadual de Ibitipoca, próximo a estrada para o distrito de Moreiras.",NA,NA,"Subarbusto, folhas pilosas e coriáceas, cálice verde claro. Coletada em área de campo limpo de cerrado.","CESJ033741",NA,"10","Lima Duarte","-43.793098449707","-21.8425006866455","30417","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 14:32:14-03","UFJF","CESJ","1493","PreservedSpecimen","Plantae","Angiosperma","Asteraceae","Stomatanthes","dictyophyllus","Stomatanthes dictyophyllus","(DC.) R.M.King & H.Rob.","A.C. Fernandes","2011","L. Roth","CESJ1493","1955","09","04","América do Sul","Brasil","Minas Gerais","Serra do Curral",NA,NA,"Arbusto do cerrado, flores brancas. 70 Cm.","CESJ001493",NA,"10","Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-21 14:32:14-03","UFJF","CESJ","1494","PreservedSpecimen","Plantae","Angiosperma","Asteraceae","Stomatanthes","dictyophyllus","Stomatanthes dictyophyllus","(DC.) R.M.King & H.Rob.","A.C. Fernandes","2011","L. Roth","CESJ1494","1955","10","16","América do Sul","Brasil","Minas Gerais","Serra do Curral",NA,NA,"Arbusto do cerrado, flores brancas. 1 m.","CESJ001494",NA,"10","Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
