"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","stateProvince","minimumElevationInMeters","maximumElevationInMeters","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","278801","PreservedSpecimen","Plantae","Magnoliophyta","Dipsacales","Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gardner","type","G. Gardner","5768","1836","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=154655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00278801","NY00278801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:04:29-03","ESALQ","ESA","31390","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Mull.",NA,"Löfgren, A.",NA,NA,NA,"Brasil","Alto dos Marins",NA,NA,"ESA031390",NA,"1962","01","01","São Paulo","2200","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:04:29-03","ESALQ","ESA","31389","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gard.",NA,"Novas, J.S.",NA,"1900",NA,"Brasil",NA,NA,NA,"ESA031389","ESA031389","1962","03","07","Minas Gerais",NA,NA,"02","16","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:26:55-03","MN","R","10459","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"Glaziou, A.F.M.","14928","1884",NA,"Brasil",NA,NA,NA,"R000010459","R000010459_001","1960","12",NA,"Minas Gerais",NA,NA,"02","09",NA,NA,NA,NA,NA,"Borsini, O.E.",NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:26:55-03","MN","R","37268","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"Mello Filho, L.E.; O. F. Pessoa et al.",NA,"1942",NA,"Brasil","Campo das Antas",NA,NA,NA,NA,"1942",NA,NA,"Rio de Janeiro","2100","2100","03",NA,"Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto","Mello Filho, L.E.",NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:26:55-03","MN","R","746665","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"Vidal, J.",NA,"1953",NA,"Brasil","Serra dos Órgãos",NA,NA,NA,NA,"1975","10","30","Rio de Janeiro",NA,NA,"02",NA,"Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto","F. Webwerling",NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:26:55-03","MN","R","97868","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"Brade, A.C.",NA,"1933",NA,"Brasil","Serra dos Órgãos",NA,NA,NA,NA,"1960","12",NA,"Rio de Janeiro","2100","2100","02","27","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto","O. E. Borsini",NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:26:55-03","MN","R","97880","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"Vidal, J.",NA,"1953",NA,"Brasil","Serra dos Órgãos",NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro","2170","2170","02",NA,"Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:46:59-03","UFJF","CESJ","72032","PreservedSpecimen","Plantae","Angiosperma",NA,"Valerianaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"L.N. Gonçalves; P. Duffles","411","2017","América do Sul","Brasil","Pico dos Marins, Cume do maciço principal",NA,"Folhas simples, serreadas; ind.660, P139/L.5;","CESJ072032",NA,"2017","10","23","São Paulo","2421","2421","07","29","Piquete","-20.503056","-45.120556",NA,NA,"C. Rabuske","-20.503056","-45.120556",NA,NA,NA,NA
"10","2020-03-12 10:29:06-03","UFOP","OUPR","33614","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"Pedrosa, L.G.","1471","2019",NA,"Brasil","Arredores de Santo Antônio do Leite.",NA,"Erva, tamanho indeterminado. Flores creme. No capinzal.",NA,NA,"2019","03","23","Minas Gerais",NA,NA,"03","23","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","Pedrosa, L.G.",NA,NA,NA,NA,NA,NA
"11","2019-11-05 16:46:43-03","UFOP","OUPR","1798","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"s.col.","s.n.",NA,NA,"Brasil","Serra do Itacolomi",NA,NA,NA,NA,"2012",NA,NA,"Minas Gerais",NA,NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","Sobral, M.",NA,NA,NA,NA,NA,NA
