"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01240759","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M. Sobral","W. W. Thomas","12680","2001","10","30","South America","Brazil","Bahia","Aurelino Leal","11.2 km W of BR 101 on road from Aurelino Leal towards Laje do Banco","-39.381867","-14.34533","175","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=622972' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240759","NY01240759_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:07:00-03","NBC","NL-BOTANY","U.1444056","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Lima DF","Belém RP",NA,"1968","07","08","Southern America","Brazil","Espírito Santo",NA,"Regiao Bahia. Linhares. Vale do Rio Doce.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1444056 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1444056","NL-U1444056","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 10:56:24-03","ESALQ","ESA","25138","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O. Berg) Nied.","Lima, D.F.","Souza, V.C.","9286.0",NA,NA,NA,NA,"Brasil","São Paulo","Peruibe",NA,"-46.9900016784668","-24.3199996948242",NA,NA,NA,NA,"ESA025138","ESA025138",NA,"2016","21922","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:14:50-03","ESALQ","ESA","129298","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O. Berg) Nied.","Lima, D.F.","Colletta, G.D.","1714.0","2014","05","29",NA,"Brasil","São Paulo","Ubatuba","Picinguaba, trilha da casa de farinha","-45.0699996948242","-23.4300003051758",NA,NA,NA,"Árvore, flores alvas, frutos imaturos verdes","ESA129298",NA,NA,"2016","34265","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-24 17:09:34-03","UFES","SAMES","3610","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Wagner,M.A.","Ribeiro,M.; Rocha,T.L.;Oliveira,I.R.","294","2010","09","25",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta Alta de Tabuleiro, km 5 a 6 da estrada interna.","-39.7322006225586","-18.5932998657227",NA,NA,NA,"Árvores de 12 metros, frutos (2 cm) de cor vinho escuro quando maduro. Semente marrom claro. As sementes são retiradas dos frutos e carregadas por formigas. Frutos na Carpoteca.","SAMES03610",NA,NA,"2019","41644","auto","11","28","-398050000.0","-182625000.0",NA,NA,NA,NA
"6","2021-03-24 17:09:34-03","UFES","SAMES","3965","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M.C.Souza.","Ribeiro,M.; Coelho,R.","634","2011","10","15",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre Tabuleiro, estrada Interna km 4.","-39.7322006225586","-18.5932998657227",NA,NA,NA,"Árvore de quatro metros, frutos verdes.","SAMES03965",NA,NA,"2019","41644","auto","09","05","-398050000.0","-182625000.0",NA,NA,NA,NA
"7","2021-03-24 17:09:34-03","UFES","SAMES","7639","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.",NA,"Saporetti,A.M.J.","19","2016","06","28",NA,"Brasil","Espírito Santo","Linhares","Propriedade do Sr. Waldemar Borges.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"CAP 12 cm. Apresentando caule descamando em finas placas papiráceas. Frutos verdes.","SAMES07639",NA,NA,NA,"48094","auto",NA,NA,"-398961111.0","-194311111.0",NA,NA,NA,NA
"8","2021-03-24 17:09:34-03","UFES","SAMES","7916","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M.C.Souza.","Ribeiro,M.","1119","2014","07","10",NA,"Brasil","Espírito Santo","Sooretama","Estrada nos limites da reserva a 300 m da sede.","-40.0978012084961","-19.1968994140625",NA,NA,NA,"Tronco com ritidoma pouco laminado, marrom avermelhado. Frutos verdes. Habito: Arbusto","SAMES07916",NA,NA,"2019","33715","auto","03","11","-402827778.0","-190922223.0",NA,NA,NA,NA
"9","2021-03-24 17:09:34-03","UFES","SAMES","7154","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M.C.Souza.","Curso de Campo UFES, UFRRJ, IBRJ, 2017.","68","2017","10",NA,NA,"Brasil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama, estrada do Quirino. Coleta na área do Grupo 3. Planta 04","-40.0978012084961","-19.1968994140625",NA,NA,NA,"Habitat: Floresta de Tabuleiro Habito: Árvore","SAMES07154",NA,NA,"2019","33715","auto","03","12","-401247223.0","-189977777.0",NA,NA,NA,NA
"10","2021-03-24 17:09:34-03","UFES","SAMES","7918","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M.C.Souza.","Ribeiro,M.","1110","2014","07","10",NA,"Brasil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama.Trilha recreativa ao lado do alojamento da reserva.","-40.0978012084961","-19.1968994140625",NA,NA,NA,"Tronco de ritidoma laminado, marrom avermelhado. Folhas discolores, abaxial verde mais claro. Inflorescência verde claro da raque ao cálice nos botões e corola branca. Outros 4 indivíduos a ca. 50 m. Habito: Arvoreta","SAMES07918",NA,NA,"2019","33715","auto","03","11","-401275000.0","-190258334.0",NA,NA,NA,NA
