"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","individualCount"
"1","2021-04-05 14:24:50-03","UNESC","CRI","14713","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","australis","Dendropanax australis","Fiaschi & Jung-Mend.","Renato Colares; Aline Votri Guislon & Felipe Seron","2018","07","19","Aline Votri Guislon; Renato Colares & Felipe Seron","2018","07","19","Brasil","Santa Catarina","Criciúma","Bairro Dagostim - APA Morro Albino e Esteves. L3","-49.360556","-28.746667","49º21'38''W","28º44'48''S","140","140","Fruto Preto. Habito: Arbustivo","CRI014023","CRI014023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:50-03","UNESC","CRI","1449","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","australis","Dendropanax australis","Fiaschi & Jung-Mend.","Silva, S. M.","1994","03","23","Negrelle, R.","1992","05","15","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.616667","-26.1175","48º37'0''W","26º7'3''S",NA,NA,"Arvoreta +- 1.60, com frutos azulaos Habito: Arbórea","CRI013811","CRI013811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 15:44:00-03","NY","NYBG","617172","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","australis","Dendropanax australis",NA,"P. Fiaschi",NA,NA,NA,"S. M. Silva","1988","03","26","Brazil","Paraná","Paranaguá","Morro Bento Alves, Ilha do Mel","-48.5092","-25.5203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617172","NY00617172_01","Magnoliophyta","Apiales","474","South America","sheet",NA,NA,NA,NA,NA
"4","2016-09-29 22:55:00-03","NY","NYBG","887342","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","australis","Dendropanax australis",NA,"P. Fiaschi",NA,NA,NA,"J. C. Gomes","1965","03","30","Brazil","São Paulo",NA,"Ilha Vitória, litoral norte.","-45.024073","-23.736481",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887342","NY00887342_01","Magnoliophyta","Apiales","2639","South America","sheet",NA,NA,NA,NA,NA
"5","2016-09-29 15:44:00-03","NY","NYBG","617174","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","australis","Dendropanax australis",NA,"P. Fiaschi",NA,NA,NA,"R. Reitz","1956","06","14","Brazil","Santa Catarina","Ibirama","Hôrto Florestal I. N. P., Ibirama","-49.5178","-27.0569",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617174","NY00617174_01","Magnoliophyta","Apiales","2077","South America","sheet",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02702134","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","australis","Dendropanax australis","Fiaschi & S.L.Jung",NA,NA,NA,NA,"P. Fiaschi","2011","03","21","Brazil","São Paulo","Eldorado","Estrada não pavimentada de Sete Barras para Eldorado, ca. 15 km de Sete Barras. Ramal à direita, no acesso ao Bairro Vergueiro, ca. 15km no ramal.","-48.02156","-24.44492",NA,NA,"175",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997350' target='other'> <mi>dwc_moreinfo</mi></a>","NY02702134","NY02702134_01","Magnoliophyta","Apiales","3581","South America","sheet",NA,NA,NA,NA,NA
"7","2016-09-29 15:44:00-03","NY","NYBG","617173","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","australis","Dendropanax australis",NA,"P. Fiaschi",NA,NA,NA,"R. M. Klein","1954","01","13","Brazil","Santa Catarina","Luis Alves","Braço Joaquim, Luis Alves, Itajaí","-48.941177","-26.748537",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617173","NY00617173_01","Magnoliophyta","Apiales","1062","South America","sheet",NA,NA,NA,NA,NA
"8","2020-11-04 11:00:28-03","ESALQ","ESA","124766","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","australis","Dendropanax australis",NA,"Tamashiro, J.Y.; Ivanauskas, N.M.; Rodrigues, R.R.; Souza, V.C.","2013","04","04","Bettinardi, M.L.","2013","04","02","Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, UHE Serraria, trilha da Igrejinha","-47.54396","-24.15706","-47.54396","-24.15706",NA,NA,"Árvore de 2m de altura. Inflorescência umbella, pedicelo cor vinho, ápice roxo da flor.","ESA124766",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:00:28-03","ESALQ","ESA","128241","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","australis","Dendropanax australis",NA,NA,NA,NA,NA,"Bettinardi, M.L.","2013","04","02","Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, UHE Serraria, trilha da Igrejinha","-47.54639","-24.1571","-47.54639","-24.1571",NA,NA,"Árvore de 2m de altura. Inflorescência umbella, pedicelo cor vinho, ápice roxo da flor.","ESA128241",NA,"Magnoliophyta",NA,"50.0",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:00:28-03","ESALQ","ESA","68490","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","australis","Dendropanax australis","Fiaschi & Jung-Mend.","Fiaschi, P.",NA,NA,NA,"Kozera, C.","1999","02","27","Brasil","Paraná","Paranaguá",NA,"-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"ESA068490","ESA068490","Magnoliophyta",NA,NA,NA,NA,"24916","auto",NA,NA,NA
