"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","relationshipType","previousCatalogNumber","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:43-03","UNESC","CRI","12501","PreservedSpecimen","Plantae","Orchidaceae","Cleistes","libonii","Cleistes libonii","(Rchb.f.) Schltr.","Peterson T. Padilha & Renato Colares","2017","07","25","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375","8793","Coleta 87. Habito: Epífita","CRI010708","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547476","PreservedSpecimen","Plantae","Orchidaceae","Cleistes","castaneoides","Cleistes castaneoides","Hoehne","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","1966","01","14","Brazil","Distrito Federal","Brasília","Summit of Chapada da Contagem","-47.9294","-15.7797",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756083' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547476",NA,"Magnoliophyta","Asparagales","11648","South America","1100","1100","sheet","NY00547476_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547477","PreservedSpecimen","Plantae","Orchidaceae","Cleistes","castaneoides","Cleistes castaneoides","Hoehne","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","1969","02","12","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 36 km N.E. of Francisco Sá, road to Salinas",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547477",NA,"Magnoliophyta","Asparagales","23184","South America","1100","1100","sheet","NY00547477_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547481","PreservedSpecimen","Plantae","Orchidaceae","Cleistes","castaneoides","Cleistes castaneoides","Hoehne","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","1966","02","09","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W of Veadeiros","-47.5097","-14.1325",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756081' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547481",NA,"Magnoliophyta","Asparagales","12392","South America","1000","1000","sheet","NY00547481_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","547478","PreservedSpecimen","Plantae","Orchidaceae","Cleistes","castaneoides","Cleistes castaneoides","Hoehne","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","1966","01","14","Brazil","Distrito Federal","Brasília","Summit of Chapada da Contagem","-47.9294","-15.7797",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756084' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547478",NA,"Magnoliophyta","Asparagales","11648","South America","1100","1100","sheet","NY00547478_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","547480","PreservedSpecimen","Plantae","Orchidaceae","Cleistes","castaneoides","Cleistes castaneoides","Hoehne","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","1966","02","12","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W of Veadeiros","-47.5097","-14.1325",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547480",NA,"Magnoliophyta","Asparagales","12640","South America","1000","1000","sheet","NY00547480_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","547482","PreservedSpecimen","Plantae","Orchidaceae","Cleistes","castaneoides","Cleistes castaneoides","Hoehne","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","1966","07","12","Brazil","Distrito Federal","Brasília","Corrego Covancas, near Chapada da Contagem, ca. 20 km NE of Brasilia","-47.9294","-15.7797",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756082' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547482",NA,"Magnoliophyta","Asparagales","11533","South America","1000","1000","sheet","NY00547482_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","547479","PreservedSpecimen","Plantae","Orchidaceae","Cleistes","castaneoides","Cleistes castaneoides","Hoehne","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","1966","01","30","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 15 km E of Brasilia, DF","-47.9296989440918","-15.7797002792358","70570","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756079' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547479","auto","Magnoliophyta","Asparagales","12130","South America","1050","1050","sheet","NY00547479_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","547489","PreservedSpecimen","Plantae","Orchidaceae","Cleistes","lepida","Cleistes lepida","(Rchb.f.) Schltr.","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","1968","02","18","Brazil","Minas Gerais",NA,"Serra do Cipo,ca. km 121 (ca. 146 km N of Belo Horizonte)","-43.4","-18.93",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=27969' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547489",NA,"Magnoliophyta","Asparagales","20457","South America","1250","1250","sheet","NY00547489_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","547487","PreservedSpecimen","Plantae","Orchidaceae","Cleistes","lepida","Cleistes lepida","(Rchb.f.) Schltr.","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","1968","02","22","Brazil","Minas Gerais",NA,"Summit of Serra do Cipo, km 145 (ca. 170 km N of Belo Horizonte)",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=27967' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547487",NA,"Magnoliophyta","Asparagales","20641","South America","1500","1500","sheet","NY00547487_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
