"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","495511","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki","G. A. Aymard Corredor","J. G. Jardim","278","1993","08","26","South America","Brazil","Bahia","Una","Ca 3 km, ramal ao N da sede da Estaçao Experimental Lemos Maia (ESMAI)","-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=579545' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495511","NY00495511_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:59:47-03","NBC","NL-BOTANY","U.1294205","PreservedSpecimen","Plantae",NA,"Dilleniales","Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki",NA,"Sucre Benjamin D",NA,"1972","03","13","Southern America","Brazil",NA,NA,"Estado do Espirito Santo-reserva Florestal de Linharas, Canto Grande, zone 2 Talhao 203, Municipio de Linhares, docemade 37.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1294205 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1294205","NL-U1294205","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:06:12-03","ESALQ","ESA","115133","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius",NA,"Mangueira, J.R.","Lopes, J.C.","195.0","2011","04","17",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA115133","ESA115133",NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:06:12-03","ESALQ","ESA","117556","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius",NA,NA,"Flores, T.B. ; Siqueira, G.","944.0","2010","10","01",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale - Nativo do Gávea","-40.0722007751465","-19.3910999298096",NA,"Trepadeira lenhoas - Frutos avermelhados","ESA117556","ESA117556",NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:06:12-03","ESALQ","ESA","112261","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius",NA,NA,"Flores, T.B.","944.0",NA,NA,NA,NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA112261",NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:06:12-03","ESALQ","ESA","115305","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius",NA,"Naves, R.P","Meirelles, J.","571.0","2011","04","18",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA115305","ESA115305",NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-24 17:08:59-03","UFES","SAMES","1946","PreservedSpecimen","Plantae",NA,NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki","Siqueira,G.S.","Ferreira,V.B.R.","66","2010","05","18",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. C.N.Roxinho (graminóide), nativo.","-40.0722007751465","-19.3910999298096",NA,"Arbusto de 2m de altura, botões florais verde.","SAMES01946",NA,NA,"48094","auto","2011","11","21",NA,NA,NA,NA,NA,NA
"8","2021-03-24 17:08:59-03","UFES","SAMES","1947","PreservedSpecimen","Plantae",NA,NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki","Rossini,J.","Oliveira,I.R.; Ribeiro,M.;Broggio,I.S.","75","2010","09","18",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Estrada a esquerda da sede da Reserva. Floresta Atlântica de Tabuleiro.","-40.2132987976074","-18.3703002929688",NA,"Liana com 5m, com frutos verdes, frutos abertos com parte interna vermelha.","SAMES01947",NA,NA,"28525","auto","2011","01","21",NA,NA,NA,NA,NA,NA
"9","2021-03-24 17:08:59-03","UFES","SAMES","1943","PreservedSpecimen","Plantae",NA,NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki",NA,"Ribeiro,M.; Broggio,I.S.;Rocha,T.L.;Oliveira,I.R.","232","2010","08","14",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Trilha da Anta.","-40.2132987976074","-18.3703002929688",NA,"Liana, fruto verde escuro, cálice verde claro.","SAMES01943",NA,NA,"28525","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-24 17:08:59-03","UFES","SAMES","1945","PreservedSpecimen","Plantae",NA,NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki","Giaretta,A.","Giaretta,A.O.","1071","2011","11","30",NA,"Brasil","Espírito Santo","São Mateus","Bairro Quadrado. Floresta de restinga sobre cordão arenoso. fundos do campus do CEUNES, próximo ao rio São Mateus.","-39.8588981628418","-18.716100692749",NA,"Planta prostrada no chão, flores alvas.","SAMES01945",NA,NA,"56510","auto","2011","11","30",NA,NA,NA,NA,NA,NA
"11","2021-03-24 17:08:59-03","UFES","SAMES","9992","PreservedSpecimen","Plantae",NA,NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki","Ribeiro, M.; Siqueira, G.","Ribeiro, M.","1646","2011","04","30",NA,"Brasil","Espírito Santo","Conceição da Barra","Floresta Alta, km 4 na estrada que circunda a reserva, trecho conservado, sub-bosque sombreado.","-39.7322006225586","-18.5932998657227",NA,"com 9,3 cm CAP, sobre um forófito de 10 m alt. Estéril. Transecto 8 planta 50. Habitat: Floresta de Tabuleiro Habito: Liana","SAMES09992",NA,NA,"41644","auto","2018",NA,NA,"-398194445.0","-182555556.0",NA,NA,NA,NA
"12","2021-03-24 17:08:59-03","UFES","SAMES","1950","PreservedSpecimen","Plantae",NA,NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki","Siqueira,G.S.","Ferreira,V.B.R.","83","2010","05","18",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. C.N.Ceolin (arbóreo), nativo.","-40.0722007751465","-19.3910999298096",NA,"Arbusto de 2m, botões florais verdes.","SAMES01950",NA,NA,"48094","auto","2011","11","21",NA,NA,NA,NA,NA,NA
"13","2021-03-24 17:08:59-03","UFES","SAMES","1949","PreservedSpecimen","Plantae",NA,NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki","Siqueira,G.S.","Ferreira,V.B.R.","107","2010","10","18",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. C.N.Gávea (Graminóide denso). Nativo.","-40.0722007751465","-19.3910999298096",NA,"Arbusto de 2m, fruto de coloração avermelhado.","SAMES01949",NA,NA,"48094","auto","2011","11","21",NA,NA,NA,NA,NA,NA
"14","2021-03-24 17:08:59-03","UFES","SAMES","1944","PreservedSpecimen","Plantae",NA,NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki","Broggio,I.S.","Oliveira,I.R.; Ribeiro,M.;Rocha,T.L.;Broggio,I.S.","52","2010","08","15",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Estrada a esquerda da sede da REBIO, que vai para o córrego da água limpa.","-40.2132987976074","-18.3703002929688",NA,"Arbusto escandente com frutos verdes que apresentam tricomas.","SAMES01944",NA,NA,"28525","auto","2011","06","29",NA,NA,NA,NA,NA,NA
"15","2021-03-24 17:08:59-03","UFES","SAMES","1948","PreservedSpecimen","Plantae",NA,NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki","Menezes,L.F.T.","Coelho,R.; Ribeiro,I.O.;Giaretta,A.O.;Monteiro,M.M.;Lopes,L.C.M.","31","2009","07","05",NA,"Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Vegetação de restinga pleistocênica. Entrada de terra adjacente à fábrica de tijolos, depois do hospital Roberto Silvares no sentido São Mateus - Guriri.","-39.8588981628418","-18.716100692749",NA,"Liana volúvel com frutos verdes.","SAMES01948",NA,NA,"56510","auto","2010","01","27","-398102778.0","-187422222.0",NA,NA,NA,NA
"16","2021-03-24 17:08:59-03","UFES","SAMES","1941","PreservedSpecimen","Plantae",NA,NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki",NA,"Martins,R.F.A.; Pereira,O.J.;Menezes,L.F.T.;Giaretta,A.O.","27","2007","08","01",NA,"Brasil","Espírito Santo","São Mateus","Bairro Litorâneo. Vegetação de restinga.","-39.8588981628418","-18.716100692749",NA,"Planta com frutos verdes, sépalas ainda presentes e vinosas, flores albo.","SAMES01941",NA,NA,"56510","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-24 17:08:59-03","UFES","SAMES","1942","PreservedSpecimen","Plantae",NA,NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki","Rossini,J.","Giaretta,A.O.; Coelho,R.;Ribeiro,M.;Menezes,L.F.T.","583","2009","08","28",NA,"Brasil","Espírito Santo","São Mateus","Bairro Quadrado. Fragmento de Restinga Pleistocênica , seguindo um estrada de terra atrás do campus do CEUNES.","-39.8588981628418","-18.716100692749",NA,"Arbusto de 1 metro, esparso em campo aberto, com frutos vinoso.","SAMES01942",NA,NA,"56510","auto","2011","01","21",NA,NA,NA,NA,NA,NA
"18","2019-09-27 18:04:27-03","UFES","VIES","41428","S","Plantae",NA,NA,"Dilleniaceae","Doliocarpus","lancifolius","Doliocarpus lancifolius","Kubitzki","Siqueira, G.S.","Ferreira, V.B.R.","66","2010","05","18",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. C.N.Roxinho (graminóide), nativo.","-40.0722007751465","-19.3910999298096",NA,NA,"VIES041428","VIES041428",NA,"48094","auto","2011","11","21",NA,NA,NA,NA,NA,NA
