"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01067324","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","G. T. Prance","H. C. de Lima","3155","1987","09","22","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD, Estrada da Farinha Seca, quadro E.","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211005' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067324","NY01067324_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01805823","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","G. T. Prance","W. W. Thomas","14496","2005","04","28","South America","Brazil","Bahia","Itapebi","Fazenda Palmeiras, 7.5 km W of BR-101 (at Ventania, 5 km N of Rio Jequitinhonha) on road to Caiubí, then 4 - 5 km S.","-39.6322","-15.9206","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977210' target='other'> <mi>dwc_moreinfo</mi></a>","NY01805823","NY01805823_01","320","420",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-19 15:43:46-03","UNEB","HUNEB","14456","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance",NA,"Felix, M.C.","4","2014","09","25",NA,"Brasil","Bahia","Alagoinhas","Fazenda Patioba","-38.4192008972168","-12.1356000900269",NA,NA,"HUNEB0014456",NA,NA,NA,"Dicotyledoneae","24621","auto",NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:16:38-03","UFV","VIC","17951","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Prance, G.T.","Luiza, A.","s.n.","1995","08","14",NA,"Brasil","Bahia",NA,"FLONA Rio Preto",NA,NA,NA,"Altura de 30 metros, P4 nº 119.","VIC017951","VIC017951",NA,NA,NA,NA,NA,"2007","07","24",NA,NA,NA
"5","2021-03-24 17:08:53-03","UFES","SAMES","9579","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance",NA,"Pereira, O.J.; Lemes, B.X.; Penha, J.S.","8894","2019","01","24",NA,"Brasil","Espírito Santo","Linhares","Distrito Regência. Reserva Biológica Comboios","-40.0722007751465","-19.3910999298096",NA,"Planta com 3m de altura.","SAMES09579",NA,NA,NA,NA,"48094","auto",NA,NA,NA,"-398883333.0","-196691667.0",NA
"6","2021-03-24 17:08:53-03","UFES","SAMES","1412","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Menezes,L.F.T.","Ribeiro,M.; Menezes,L.F.T.;Broggio,I.S.","175","2010","06","01",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Estrada, periferia de Mata alta de Floresta Atlântica de Tabuleiro.","-40.2132987976074","-18.3703002929688",NA,"Árvore com sete metros de altura, frutos verdes.","SAMES01412",NA,NA,NA,NA,"28525","auto",NA,NA,NA,NA,NA,NA
"7","2021-03-24 17:08:53-03","UFES","SAMES","9622","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance",NA,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.; Firmino, A.","9231","2019","08","22",NA,"Brasil","Espírito Santo","Aracruz",NA,"-40.2733001708984","-19.8202991485596",NA,"Planta com 4m de altura. Fruto vinoso escuro.","SAMES09622",NA,NA,NA,NA,"37987","auto",NA,NA,NA,"-397408333.0","-196980555.0",NA
"8","2021-03-24 17:08:53-03","UFES","SAMES","8837","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance",NA,"Pereira, O.J.; Penha, J.S.; Lemes, B.X.; Cardoso, L.B.","8426","2018","11","06",NA,"Brasil","Espírito Santo","Aracruz","Reserva Biológica de Comboios - Próximo a entrada do projeto Tamar. Restinga holocênica. Reserva Biológica de Comboios","-40.2733001708984","-19.8202991485596",NA,"Planta com 5 metros de altura, fruto vinoso Habitat: Formação Florestal não inundável","SAMES08837",NA,NA,NA,NA,"37987","auto",NA,NA,NA,"-398888889.0","-196694445.0",NA
"9","2021-03-24 17:08:53-03","UFES","SAMES","10404","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance",NA,"Pereira, O.J.; Lemes, B.X.; Penha, J.S; Firmino, A.D.","9461","2020","01","08",NA,"Brasil","Espírito Santo","Linhares","Regência. Reserva Biológica Comboios","-40.0722007751465","-19.3910999298096",NA,"Planta com 7 metros de altura. Flor alba. Indumento lanuginoso da face abaxial da folha jovem.","SAMES10404",NA,NA,NA,NA,"48094","auto",NA,NA,NA,"-398880555.0","-196686111.0",NA
"10","2021-03-24 17:08:53-03","UFES","SAMES","8836","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance",NA,"Pereira, O.J.; Penha, J.S.; Lemes, B.X.; Cardoso, L.B.","8380","2018","10","05",NA,"Brasil","Espírito Santo","Linhares","Reserva Biológica de Comboios. Restinga holocênica.","-40.0722007751465","-19.3910999298096",NA,"Planta com 4 metros de altura, botões esverdeados Habitat: Formação Florestal não inundável","SAMES08836",NA,NA,NA,NA,"48094","auto",NA,NA,NA,"-398861111.0","-196708334.0",NA
