"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","381539","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Olyra","polypodioides","Olyra polypodioides","Trin.","type","L. Riedel","164","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00381539","NY00381539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 11:59:00-03","NY","NYBG","772896","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddia","distichophylla","Raddia distichophylla",NA,NA,"C. E. Calderón","2176","South America","Brazil","Agua Fria: Faz. As Almas, 19 Km SE of Ubaitaba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376495' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772896",NA,"1972","03","17","Bahia","Itacaré","-39.27","-14.35","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 11:59:00-03","NY","NYBG","772891","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddia","distichophylla","Raddia distichophylla",NA,NA,"T. R. Soderstrom","2205","South America","Brazil","Fazenda Nini, old cacao plantation with sandy soil near Parque Nacional Monte Pascoal, located 14 km east of BR 101 at a point 13 km north of Itamarajú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376491' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772891",NA,"1976","05","12","Bahia","Porto Seguro","-39.4166","-16.8833",NA,NA,"E. J. Judziewicz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 11:59:00-03","NY","NYBG","772893","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddia","distichophylla","Raddia distichophylla",NA,NA,"T. C. Plowman","10057","South America","Brazil","Rodovia BA 654 entre Ubaituba e Tabaquinhas, km 16 ao leste de Ubaituba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376494' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772893",NA,"1980","04","12","Bahia","Itacaré","-39.2","-14.33","100","100","E. J. Judziewicz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 11:59:00-03","NY","NYBG","772895","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddia","distichophylla","Raddia distichophylla",NA,NA,"C. E. Calderón","2262","South America","Brazil","Road Santa Cruz da Vitória-Itajú do Colonia: 18 km N.W. of Itajú do Colônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772895",NA,"1972","05","11","Bahia","Itaju do Colônia","-39.8","-15.02","170","170","E. J. Judziewicz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 11:59:00-03","NY","NYBG","772894","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddia","distichophylla","Raddia distichophylla",NA,NA,"C. E. Calderón","2165","South America","Brazil","Ferradas: Faz. Aberta Grande, 14 km SW of Itabuna","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772894",NA,"1972","03","13","Bahia","Itabuna","-39.33","-14.85","80","80","E. J. Judziewicz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01112701","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddia","distichophylla","Raddia distichophylla","(Schrad. ex Nees) Chase",NA,"J. L. Paixão","386","South America","Brazil","Ramal sentido Vadiação, ca. 4 km. a direita, FAz. Camacã a ca. 12 km.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211755' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112701","NY01112701_01","2005","03","24","Bahia","Pau Brasil","-39.6975","-15.5808",NA,NA,"G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","772897","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddia","distichophylla","Raddia distichophylla","(Schrad. ex Nees) Chase",NA,"L. Riedel","161","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T. R. Soderstrom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","772892","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddia","distichophylla","Raddia distichophylla","(Schrad. ex Nees) Chase",NA,"J. G. Jardim","368","South America","Brazil","Fazenda situada W da sede do CEPEC","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772892",NA,"1994","03","18","Bahia","Ilhéus","-39.27","-14.8",NA,NA,"G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:38:17-02","BGBM","B","B 10 0158720","S","Plantae",NA,NA,"Gramineae","Raddia","distichophylla","Raddia distichophylla","Chase","lectotype","Nees von Esenbeck","46","Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100158720 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100158720","B100158720","1876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-04-27 16:11:13-03","UFES","VIES","1187","S","Plantae",NA,NA,"Poaceae","Raddia","distichophylla","Raddia distichophylla","(Schrad. ex Nees) Chase",NA,"Plowman, T.; Silva, L.A.M. & Santos, T.S. dos","10057",NA,"Brasil",NA,NA,NA,"VIES001187","VIES001187","1980","04","12","Bahia","Itacaré","-38.9967002868652","-14.2775001525879",NA,NA,"Oliveira, R.P.","2003","11","41230","auto",NA,NA,NA,NA,NA
