"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","typeStatus","continentOcean","preparationType","barcode","imagecode"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2797","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Scuticaria","irwiniana","Scuticaria irwiniana","Pabst","Carlos A. Ferreira Jr.","2013","09","10","Carlos Alberto F. Jr. ; Juliana Ordones, Clemens e Reisla","CAF1207","2013","09","09","Brasil","Minas Gerais","Catas Altas","Pico do Inficcionados, Serra do Caraça","-43.4075012207031","-20.0746994018555","20º 08' 08S","43º 27' 23W","11966","1947","1947","254","auto",NA,NA,NA,NA,NA
"2","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2798","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Scuticaria","irwiniana","Scuticaria irwiniana","Pabst","Carlos A. Ferreira Jr.","2013","09","10","Carlos Alberto F. Jr. ; Juliana Ordones, Clemens e Reisla","CAF1207","2013","09","09","Brasil","Minas Gerais","Catas Altas","Pico do Inficcionados, Serra do Caraça","-43.4075012207031","-20.0746994018555","20º 08' 08S","43º 27' 23W","11966","1947","1947","254","auto",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","9329","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Scuticaria","irwiniana","Scuticaria irwiniana","Pabst",NA,NA,NA,NA,"H. S. Irwin","29103","1971","01","25","Brazil","Minas Gerais",NA,"Serra do Espinhaco, summit and adjacent precipices and steep valley of Serra da Caraca","-43.508849","-20.130068",NA,NA,NA,"1750","1950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545411' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"holotype","South America","sheet","NY00009329","NY00009329_01 NY00009329_02"
"4","2021-03-15 16:37:00-03","NY","NYBG","910897","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Scuticaria","irwiniana","Scuticaria irwiniana","Pabst","G. F. J. Pabst",NA,NA,NA,"W. R. Anderson","35756","1972","02","10","Brazil","Minas Gerais",NA,"Serra do Espinhaço, summit of the Pico do Itambé","-43.3919444","-18.43185",NA,NA,NA,"2000","2000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989242' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY00910897","NY00910897_01"
"5","2020-02-08 08:46:50-03","NBC","NL-BOTANY","WAG.1140480","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Asparagales","Orchidaceae","Scuticaria","irwiniana","Scuticaria irwiniana","Pabst",NA,NA,NA,NA,"Anderson WR; Stieber M; Kirkbride Jr JH",NA,"1972","02","10","Brazil",NA,NA,"Brasil, Estado de Minas Gerais, Serra do Espinhaço. Summit of the Pico do Itambé.",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1140480 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-WAG1140480","NL-WAG1140480"
"6","2020-11-04 12:17:40-03","ESALQ","ESA","117260","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Scuticaria","irwiniana","Scuticaria irwiniana","Pabst","Silva-Filho, A.A.","2016","03","23","Romão, G.O.; Latvis, M.; Gissi, D.S.","2558.0","2010","04","01","Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Proximidades do topo do Pico; campo rupestre, entre veios de rocha","-43.3067016601562","-18.465799331665",NA,NA,"19014",NA,NA,"Rupícola, 20cm alt.; labelo branco com veios vináceos, coluna branca, políneas amarela; demais verticilos vináceos.","auto",NA,NA,NA,"ESA117260",NA
"7","2016-07-05 11:14:20-03","FFCLRP","LBMBP","1154","S","Plantae",NA,NA,NA,"Orchidaceae","Scuticaria","irwiniana","Scuticaria irwiniana","Pabst","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:01:02-03","UNICAMP","UEC","177960","S","Plantae","Liliopsida",NA,NA,"Orchidaceae","Scuticaria","irwiniana","Scuticaria irwiniana","Pabst","Pabst, G","1977",NA,NA,"Anderson, WR; Stieber, M; Kirkbride Jr, JH","35756","1972","02","10","Brazil","Minas Gerais",NA,"Serra do Espinhaço, On rocks. Summit of the Pico do Itambé; shrubby vegetation mostly to 1 m or less, with mossy ground cover in organic soil overlying sandy soil on sandstone rocks.",NA,NA,NA,NA,NA,"2250","2250","Sepals and upper petals dark red; lip white with reddish purple lines.",NA,NA,NA,NA,"UEC001569","UEC001569"
"9","2020-12-11 11:44:52-03","UFMG","BHCB","92252","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Scuticaria","irwiniana","Scuticaria irwiniana","Pabst",NA,NA,NA,NA,"Mota, RC da","2373","2005","01","05","Brasil","Minas Gerais","Catas Altas","Serra do Caraça","-43.4075012207031","-20.0746994018555",NA,NA,"11966",NA,NA,NA,"auto",NA,"Southern America",NA,NA,NA
"10","2020-12-11 11:44:52-03","UFMG","BHCB","52814","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Scuticaria","irwiniana","Scuticaria irwiniana","Pabst",NA,NA,NA,NA,"Vasconcelos, MF de","s.n.","2000","02","16","Brasil","Minas Gerais","Catas Altas","Serra do Caraça, Pico do Inficionado.","-43.4075012207031","-20.0746994018555",NA,NA,"11966","111","111","Mata decídua, alterada; erva terrestre, carnosa, folhas e flores verdes; prensado em álcool.","auto",NA,"Southern America",NA,NA,NA
