"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","03075480","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","M. C. M. Marques","265","1992","03","20","South America","Brazil","Rio de Janeiro","Paraty","Ponta Negra, Morro dos Antigos.","-44.7131004333496","-23.2178001403809","34470","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3301974' target='other'> <mi>dwc_moreinfo</mi></a>","NY03075480","NY03075480_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:32:32-03","UFRJ","RFA","15893","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","P. Occhioni","6782","1975","01","00",NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos, Barreira do Soberbo, margem do Soberbo","-42.9655990600586","-22.4122009277344","38539",NA,NA,NA,"Arbusto; flor","RFA13697",NA,"auto","G. V. Somner","1999","04","14",NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:32:32-03","UFRJ","RFA","16827","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","P. Occhioni","7479","1975","07","01",NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos, rio Soberbo","-42.9655990600586","-22.4122009277344","38539",NA,NA,NA,"Arbusto de 5 a 6m, flor creme.","RFA14248",NA,"auto","G. V. Somner","1999","04","14",NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:32:32-03","UFRJ","RFA","37762","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","M. S. Wängler; D. F. Massunaga; G. F. Mazzoni; N. Fortuna","357","2011","04","09",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Alameda Palmares, em frente à propriedade do Sr. Mané Salu","-43.4185981750488","-22.4286003112793","18359",NA,NA,NA,"Árvore ca. 7m, folhas alternas, inflorescência terminal, flores brancas com estames rosa, perfume doce","RFA43721",NA,"auto","Manão, C. Y. G.","2018","12","17",NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:32:32-03","UFRJ","RFA","15914","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","P. Occhioni","6811","1975","01","20",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Serra dos Orgãos, Loc. Limoeiro, próximo a Guapimirim","-43.2075004577637","-22.9027996063232","57442",NA,NA,NA,"Arbusto, flor creme esverdeada.","RFA13709",NA,"auto","G. V. Somner","1999","04","14",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:48:51-03","EAO","IAN","5299","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Glaziou, AFM","3904",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN005299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:19:22-03","ESALQ","ESA","125985","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Cupania","concolor","Cupania concolor",NA,"Marques, M.C.M.","265.0","1905","06","14",NA,"Brasil","Rio de Janeiro","Paraty",NA,"-44.7131004333496","-23.2178001403809","34470",NA,NA,NA,NA,"ESA125985","ESA125985","auto","Somner, G.V.","1905","06","27",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:19:22-03","ESALQ","ESA","130894","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","36097.0","2013","02","27",NA,"Brasil","Rio de Janeiro","Barra Mansa","Fragmento 52 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.","-22.5959","-44.1389",NA,"553","553",NA,"Árvore","ESA130894",NA,NA,"Souza, V.C.","2013",NA,NA,"-22.5959","-44.1389",NA,NA,NA,NA,NA
"9","2020-11-04 11:19:22-03","ESALQ","ESA","130895","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","36098.0","2013","02","28",NA,"Brasil","Rio de Janeiro","Piraí","Fragmento 57 (TAV). Floresta Ombrófila Densa.","-22.606","-43.9423",NA,"494","494",NA,"Árvore","ESA130895",NA,NA,"Souza, V.C.","2013",NA,NA,"-22.606","-43.9423",NA,NA,NA,NA,NA
"10","2021-03-01 16:40:42-03","UNICAMP","UEC","166894","S","Plantae","Magnoliopsida",NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Stefani, EJF; Belinello, R; Galvão, JC","169","2010","06","02",NA,"Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar.","-45.5275","-23.620833",NA,"50","90",NA,"Árvore com 7 m.; Mata Atlântica.","UEC059348","UEC059348",NA,"Stefani, EJF","2010","12",NA,"-45.5275","-23.620833",NA,NA,NA,NA,NA
"11","2021-03-01 16:40:42-03","UNICAMP","UEC","85803","S","Plantae","Magnoliopsida",NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Shirasuna, RT; Catharino, ELM; Esteves, GL; Rodrigues, EA","52","1994","09","27",NA,"Brazil","São Paulo","Bananal","Serra da Bocaina, Estrada para Madeirite.","-44.3199996948242","-22.6800003051758","26795",NA,NA,NA,"Árvore, cerca de 8m de altura; frutos imaturos.; Mata secundária.","UEC159836","UEC159836","auto","Ferrucci, MS","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 09:32:11-03","UFRRJ","RBR","34229","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","M. Peron",NA,"1992","02","22",NA,"Brasil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso, 22°26#?#00' S, 42°50#?#00'W/ 22°32#?#00'S, 42°56#?#0'W. Parcela 11- Cumieira do Morro das Pacas","-42.9818992614746","-22.5372009277344","21463",NA,NA,NA,NA,"RBR00034229",NA,"auto","G.V. Somner","2010","05","17",NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 09:32:11-03","UFRRJ","RBR","34542","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","A.F. Nunes","52","2010","04","30",NA,"Brasil","Rio de Janeiro","Tinguá","Instituto Zoobotânico de Morro Azul, Engenheiro Paulo de Frontin, Morro Azul do Tingua, estrada do Pau-ferro. Trilha dos Quatis, subindo, lado direito, a 100m do portão Reserva Biológica do Tinguá",NA,NA,NA,NA,NA,NA,NA,"RBR00034542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 09:32:11-03","UFRRJ","RBR","34783","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","A.F. Nunes","90","2010","08","06",NA,"Brasil","Rio de Janeiro","Tinguá","Instituto Zoobotânico de Morro Azul, Engenheiro Paulo de Frontin, Morro Azul do Tingua, estrada do Pau-ferro. Trilha dos Quatis, subindo, lado esquerdo, a 300m do portão Reserva Biológica do Tinguá",NA,NA,NA,NA,NA,NA,NA,"RBR00034783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-06-29 09:32:11-03","UFRRJ","RBR","43375","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","T.P.P. Alverga",NA,"2014","03","31",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","PEPB (Est. da Toca Grande). F98/02.","-43.516389","-22.975278",NA,NA,NA,NA,NA,"RBR00043375",NA,NA,"T.P.P. Alverga",NA,NA,NA,"43º30'59''W","22º58'31''S",NA,NA,NA,NA,NA
"16","2020-10-07 16:08:36-03","UFRRJ","RBR","46900","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","V.C. Cysneiros; et al",NA,"2009",NA,NA,NA,"Brasil","Rio de Janeiro","Paracambi",NA,"-43.7092018127441","-22.6107997894287","13366",NA,NA,NA,NA,"RBR00046900",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-06-29 09:32:11-03","UFRRJ","RBR","12251","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","M.M.S. Conde","477","2000","04","15",NA,"Brasil","Rio de Janeiro","Mangaratiba","Ilha da Marambaia, Caminho da gruta em direçao da praia da armaçao.","-44.040599822998","-22.9596996307373","17272",NA,NA,NA,NA,"RBR00012251",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-06-29 09:32:11-03","UFRRJ","RBR","9937","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","F.C. Nettesheim","58","2002","05","14",NA,"Brasil","Rio de Janeiro","Mangaratiba","Ilha da Marambaia, Caminho da gruta, na linha 8 da fitosossiologia.","-44.040599822998","-22.9596996307373","17272",NA,NA,NA,NA,"RBR00009937",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-06-29 09:32:11-03","UFRRJ","RBR","29054","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","C. Marquês","265","1992","03","20",NA,"Brasil","Rio de Janeiro","Paraty","Morro dos Antigos, Elevação: 200metros. Mata de encosta","-44.7131004333496","-23.2178001403809","34470",NA,NA,NA,NA,"RBR00029054",NA,"auto","G.V. Somner","2005","10","13",NA,NA,NA,NA,NA,NA,NA
"20","2020-10-07 16:08:36-03","UFRRJ","RBR","55047","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","G.V. Somner; et al.","1155a","2006","07","29",NA,"Brasil","Rio de Janeiro","Mangaratiba","Restinga de Marambaia. Entrada pelo exército, restinga, beira da estrada próximo a guarita em direção a linha 4.","-44.040599822998","-22.9596996307373","17272",NA,NA,NA,NA,"RBR00055047",NA,"auto","G.V. Somner","2006","07","29",NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:44:24-03","MBM","MBM","217648","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Ferrucci, M.S.","1154",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Mangaratiba","Ilha de Marambaia","-44.040599822998","-22.9596996307373","17272",NA,NA,NA,NA,"MBM217648","MBM217648","auto","Ferrucci, M.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
