"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","789014","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","sellowiana","Huperzia sellowiana","(Herter) B.Øllg.","B. Øllgaard; P. G. Windisch","A. C. Brade","16624","1940","08","23","South America","Brazil","Rio de Janeiro","Serra dos Orgãos, Picada do Rancho Frio.","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00789014","NY00789014_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","789013","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","sellowiana","Huperzia sellowiana","(Herter) B.Øllg.","B. Øllgaard; P. G. Windisch","R. Schmalz","204","1906","04","16","South America","Brazil","Santa Catarina",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795434' target='other'> <mi>dwc_moreinfo</mi></a>","NY00789013","NY00789013_01","Joinville","-48.8456","-26.3044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:18:08-03","UFV","VIC","1909","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Hert.)",NA,"Kuhlmann, J.Y.","57","1935","04","20",NA,"Brasil","Minas Gerais","Alto da Serra da Grama",NA,NA,NA,"Planta ereta, cresce a 1835m de altitude.","VIC001909","VIC001909","Carangola","-42.0293998718262","-20.7331008911133","21913","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-06 09:56:07-03","UFOP","OUPR","10273","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.","Almeida, T.E.","Badini, J.; Assunção, G.","s.n.","1938",NA,NA,NA,"Brasil","Minas Gerais","Alto do Itacolomi",NA,NA,NA,"Erva. Mata, sobre itacolomito",NA,NA,NA,NA,NA,NA,NA,"2013","04","17",NA,NA,NA,NA,NA
"5","2019-11-06 09:56:07-03","UFOP","OUPR","10274","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.","Almeida, T.E.","Damazio, L.B.","s.n.","1904",NA,NA,NA,"Brasil","Minas Gerais","Itacolomi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","04","17",NA,NA,NA,NA,NA
"6","2019-11-06 09:56:07-03","UFOP","OUPR","10275","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.","Almeida, T.E.","Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Itacolomi",NA,NA,NA,"Nas árvores",NA,NA,NA,NA,NA,NA,NA,"2013","04","17",NA,NA,NA,NA,NA
"7","2020-10-14 10:02:30-03","FURB","FURB","51504","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.","Testo, W.","Funez, L.A.; Kemmelmeier, K., Marascalchi, N.M., Bittencourt, F.","5557","2016","09","24",NA,"Brasil","Santa Catarina","Eremitério Frei Egídio.","823","823",NA,NA,"FURB51504","FURB51504","Rodeio","-49.405","-26.8805556",NA,NA,"2016","10","24","-49.4050000","-26.8805556",NA,NA,NA
"8","2020-10-14 10:02:30-03","FURB","FURB","65156","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.","Gasper, A.L. de","Gasper, A.L. de; Bones, F.L.V.; Montibeler, M","3758","2019","10","14",NA,"Brasil","Santa Catarina","Eremitério Frei Egídio. Trilha para o topo do morro.","843","843",NA,"Disciplina de Biogeografia Habitat: Mata Nebular Habito: Epífita","FURB65156","FURB65156","Rodeio","-49.4033333","-26.8791667",NA,NA,"2019","10","18","-49.4033333","-26.8791667",NA,NA,NA
"9","2020-12-21 16:32:08-03","MBM","MBM","428950","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B. Øllg.","Lozano, E.D.","Lozano, E.D.; Canestraro, B.K.; Canestraro, B.K.","3642","2017","04","23","Southern America","Brazil","Paraná","Morro Torre Amarela, trilha para o morro",NA,NA,NA,"Terícola, 20 cm, interior da mata.; Floresta Ombrófila Densa Altomontana.","MBM428950",NA,"Piraquara","-49.0633010864258","-25.4416999816895","12577","auto","2017",NA,NA,NA,NA,NA,NA,NA
"10","2015-09-19 21:39:52-03","MNHN","RECOLNAT_MNHN_P","P00559110","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.",NA,"Glaziou, A.",NA,"1877","6","6",NA,"Brésil",NA,"Haut du Tingua",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559110' target='other'> <mi>dwc_moreinfo</mi></a>","P00559110","P00559110_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9066",NA,NA
"11","2015-09-18 05:07:50-03","MNHN","RECOLNAT_MNHN_P","P00559111","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.",NA,"Glaziou, A.",NA,"1877","6","6",NA,"Brésil",NA,"Haut du Tingua",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559111' target='other'> <mi>dwc_moreinfo</mi></a>","P00559111","P00559111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9066",NA,NA
"12","2016-01-12 02:24:09-02","MNHN","RECOLNAT_MNHN_P","P00559108","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.",NA,"Glaziou, A.",NA,"1870","3","12",NA,"Brésil",NA,"Alto Macahé",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559108' target='other'> <mi>dwc_moreinfo</mi></a>","P00559108","P00559108_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4470",NA,NA
