"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","818251","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Lyroglossa","euglossa","Lyroglossa euglossa","(Kraenzl.) Hoehne","G. F. J. Pabst","H. S. Irwin","10763","1965","11","30","South America","Brazil","Goiás","Abadiânia","Serra dos Pirineus, ca. 14 km S. of Corumbá de Goiás","-48.8086111","-16.05012","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818251","NY00818251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1031995","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Lyroglossa","euglossa","Lyroglossa euglossa","(Kraenzl.) Hoehne","G. F. J. Pabst","E. P. Heringer","10811","1965","12","26","South America","Brazil","Distrito Federal","Brasília","Setor de Indústria.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189921' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031995","NY01031995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","818242","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Lyroglossa","grisebachii","Lyroglossa grisebachii","(Cogn.) Schltr.","F. C. Hoehne; F. R. R. Schlechter","A. Gehrt","1041","1917","12","10","South America","Brazil","São Paulo",NA,"Butantan.","-46.724373","-23.565521",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818242","NY00818242_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:45:20-03","EAO","IAN","22614","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Spiranthes","grisebachii","Spiranthes grisebachii","Cogn.",NA,"Leprieur","s.n.",NA,NA,NA,NA,"Guiana Francesa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN022614","IAN022614_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:46:26-03","NBC","NL-BOTANY","U.1470130","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Lyroglossa","grisebachii","Lyroglossa grisebachii","(Cogn.) Schltr.","Steen J van der","Lanjouw J; Lindeman JC",NA,"1949","01","15","Southern America","Surinam",NA,NA,"Tibiti savanne.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1470130 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1470130","NL-U1470130","Magnoliopsidae","U 0181060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:46:26-03","NBC","NL-BOTANY","U.1470131","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Lyroglossa","grisebachii","Lyroglossa grisebachii","(Cogn.) Schltr.","Steen J van der","Maas PJM; Maas-van de Kamer H",NA,"1971","12","20","Southern America","Surinam","Para",NA,"Distr. Para: clay savanna Welgelegen.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1470131 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1470131","NL-U1470131","Magnoliopsidae","U 0181058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:46:26-03","NBC","NL-BOTANY","U.1470132","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Lyroglossa","grisebachii","Lyroglossa grisebachii","(Cogn.) Schltr.","Steen J van der","Donselaar J van",NA,"1959","02","02","Southern America","Surinam",NA,NA,"Coesewijne-savanna.",NA,NA,NA,NA,NA,"On sandy loam, very humic.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1470132 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1470132","NL-U1470132","Magnoliopsidae","U 0181059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:41:05-03","MN","R","221453","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lyroglossa","euglossa","Lyroglossa euglossa","(Kraenzl.) Hoehne & Schltr.","Pabst, G.F.J.","Silveira, A.A.","1881","1896","11",NA,NA,"Brasil","Minas Gerais","São João del Rei",NA,"-44.2616996765137","-21.1355991363525",NA,NA,NA,"Commissão Geografica e Geologica de Minas",NA,NA,NA,NA,"1958","08","27","39093","auto",NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:41:08-03","MN","R","35561","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lyroglossa","euglossa","Lyroglossa euglossa","(Kraenzl.) Hoehne & Schltr.","Hoehne, F.C.","Dusén, P.K.H.","2264 A","1903","11","27",NA,"Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:41:08-03","MN","R","35681","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lyroglossa","euglossa","Lyroglossa euglossa","(Kraenzl.) Hoehne & Schltr.","Brade, A.C.","Brade, A.C.","12336","1932","12",NA,NA,"Brasil","São Paulo","São Paulo","Vila Ema","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA
