"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","class","typeStatus","relatedCatalogItem","relationshipType","coordinatePrecision","geoFlag","individualCount","eventTime","fieldNumber"
"1","2021-04-05 14:25:37-03","UNESC","CRI","14463","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","Korte, A","2010","11","09","Korte, A.; Kniess, A.","4845","2010","10","29","Brasil","Santa Catarina","Biguaçu","Timbé. Timbé.","-48.690278","-27.361389","48º41'25''W","27º21'41''S","75","75","Florística IFFSC 430b (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Inicial; interior do fragmento Habito: arbusto;","CRI013597","CRI013597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","12640","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","Aline Votri Guislon & Peterson T. Padilha","2017","09","18","Alexandre Medeiros",NA,"2017","07","25","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.593333","-27.006944","48º35'36''W","27º0'25''S",NA,NA,"Coleta 523.","CRI010854","CRI010854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","579852","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","19588","1968","08","13","Brazil","Paraná","Morretes","Col. Florestal","-48.8342","-25.4769",NA,NA,"50","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579852","NY00579852_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","579856","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","5767","1953","10","26","Brazil","Santa Catarina","Brusque","Azambuja, Brusque","-48.910147","-27.126635",NA,NA,"35","35","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70618' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579856","NY00579856_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579857","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","5713","1953","09","04","Brazil","Santa Catarina","Brusque","Azambuja, Brusque","-48.910147","-27.126635",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579857","NY00579857_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","579851","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","M. L. Kawasaki",NA,NA,NA,"G. G. Hatschbach","19433","1968","06","25","Brazil","Paraná","Guaratuba","Serra de Araraquara","-48.5744","-25.8831",NA,NA,"70","70","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579851","NY00579851_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","558095","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","F. F. Mazine",NA,NA,NA,"G. G. Hatschbach","19220","1968","05","20","Brazil","Paraná","Guaraqueçaba","Rio Tagaçaba","-48.3289","-25.3069",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558095","NY00558095_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","579854","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","1092","1953","10","01","Brazil","Santa Catarina","Itajaí","Praia Braba, Itajaí","-48.644872","-26.946812",NA,NA,"5","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70616' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579854","NY00579854_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","579858","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","3652","1950","08","23","Brazil","Santa Catarina","Brusque","Azambuja, Brusque","-48.910147","-27.126635",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579858","NY00579858_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","579853","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","19220","1968","05","20","Brazil","Paraná","Guaraqueçaba","Rio Tagaçaba","-48.3289","-25.3069",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579853","NY00579853_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","579850","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","19433","1968","06","25","Brazil","Paraná","Guaratuba","Serra de Araraquara","-48.5744","-25.8831",NA,NA,"70","70","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579850","NY00579850_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","579855","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","5710","1953","09","04","Brazil","Santa Catarina","Itajaí","Praia Braba, Itajaí","-48.644872","-26.946812",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579855","NY00579855_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","579848","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","19217","1968","05","20","Brazil","Paraná","Guaraqueçaba","Rio Tagaçaba","-48.3289","-25.3069",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579848","NY00579848_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","579849","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","43961","1981","07","18","Brazil","Paraná","Morretes","Morro do Arrastao","-48.8342","-25.4769",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579849","NY00579849_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-24 17:10:53-03","UTFPR","DVPR","5839","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","Sobral, M","2010","10","25","Korte, A; Kniess, A","4736","2010","10","13","Brasil","Santa Catarina","Águas Mornas","Rio Miguel.","-48.5739","-27.4313","-48.5739","-27.4313","460","460","Arbusto.; Floresta Ombrófila Densa, Estágio Médio, interior do fragmento.","DVPR005839",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:06:08-03","NBC","NL-BOTANY","L.2515227","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand",NA,NA,NA,NA,"Hatschbach GG",NA,"1969","05","20","Brazil",NA,NA,"Rio Tagaçaba (mun. Guaraqueçaba)Paraná.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2515227 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2515227","NL-L2515227",NA,"Myrtales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 10:06:08-03","NBC","NL-BOTANY","U 0005001","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","Legrand CMDE",NA,NA,NA,"Reitz R",NA,"1950","08","23","Brazil","Santa Catarina",NA,"Santa CatarinaAzambuja, Brusque",NA,NA,NA,NA,NA,NA,"Capoeira<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005001 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0005001","NL-U0005001",NA,"Myrtales","Southern America",NA,"Magnoliopsidae","isotype","93767 B",NA,NA,NA,NA,NA,NA
"18","2020-02-08 10:06:08-03","NBC","NL-BOTANY","U.1442800","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand",NA,NA,NA,NA,"Reitz R",NA,"1953","09","04","Brazil",NA,NA,"Plantas de SANTA CATARINA. Praia Braba, Itajai.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1442800 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1442800","NL-U1442800",NA,"Myrtales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 10:06:08-03","NBC","NL-BOTANY","WAG.1115143","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand",NA,NA,NA,NA,"Hatschbach GG",NA,"1969","05","20","Brazil",NA,NA,"Rio Tagaçaba (mun. Guaraqueçaba)Paraná.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1115143 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1115143","NL-WAG1115143",NA,"Myrtales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:14:28-03","ESALQ","ESA","39339","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis",NA,NA,NA,NA,NA,"Mattos, J.","15613.0","1971","06","01","Brasil","São Paulo","Pariquera Açú",NA,NA,NA,NA,NA,NA,NA,NA,"ESA039339","ESA039339","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-19 08:15:24-03","FPS","FPS","1008","MachineObservation","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand?","Schwirkowski, P.","2015","11","10","Schwirkowski, P.","1274","2015","11","10","Brasil","Santa Catarina","Joinville","Serra Dona Francisca. Trilha do Castelo dos Bugres","-49.054899","-26.224838","-49.054899","-26.224838",NA,NA,"<ll>dwc_commonname:</ll> Guamirim-de-folha-miúda, guamirim, araçá-angelim","FPS01008,FURB49342","FPS01008_v01 FPS01008_v02 FPS01008_v03 FPS01008_v04 FPS01008_v05 FPS01008_v06 FURB49342",NA,NA,NA,NA,NA,NA,"FURB 49342","voucher",NA,NA,NA,NA,NA
"22","2019-12-19 08:15:24-03","FPS","FPS","2517","MachineObservation","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D.Legrand","Schwirkowski, P.","2016","10","15","Schwirkowski, P.","1951","2016","10","15","Brasil","Santa Catarina","São Bento do Sul","Localidade de Rio Natal.","-49.269824","-26.326217","-49.269824","-26.326217",NA,NA,"<ll>dwc_commonname:</ll> Guamirim-de-folha-miúda, guamirim, araçá-angelim","FPS02517,FURB52055","FPS02517_v01 FPS02517_v02 FPS02517_v03 FPS02517_v04 FPS02517_v05 FPS02517_v06 FPS02517_v07 FPS02517_v08 FPS02517_v09 FURB52055",NA,NA,NA,NA,NA,NA,"FURB 52055","voucher",NA,NA,NA,NA,NA
"23","2019-08-27 13:31:18-03","IAP","PACA-AGP","64898","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D. Legrand","C. D. Legrand","1956",NA,NA,"P. R. Reitz","3652","1950","08","23","Brasil","SC","Brusque","Mata da Azambuja","-48.9174995422363","-27.0981006622314",NA,NA,"50","50","2m de altura e flores brancas. HBR 6796. Habitat: capoeira Hábito: arbusto","PACA064898",NA,"Magnoliophyta","Myrtales",NA,NA,"Magnoliatae",NA,NA,NA,"19684","auto",NA,NA,NA
"24","2019-08-27 13:31:18-03","IAP","PACA-AGP","64897","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D. Legrand","C. D. Legrand","1955",NA,NA,"P. R. Reitz","5767","1953","10","26","Brasil","SC","Brusque","Mata da Azambuja","-48.9174995422363","-27.0981006622314",NA,NA,"35","35","HBR 9307. Habitat: capoeira","PACA064897",NA,"Magnoliophyta","Myrtales",NA,NA,"Magnoliatae",NA,NA,NA,"19684","auto",NA,NA,NA
"25","2019-08-27 13:31:18-03","IAP","PACA-AGP","64895","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D. Legrand","C. D. Legrand","1955",NA,NA,"P. R. Reitz","5713","1953","09","04","Brasil","SC","Brusque","Mata da Azambuja","-48.9174995422363","-27.0981006622314",NA,NA,"50","50","1m de altura e flores brancas. HBR 9310. Habitat: capoeira Hábito: arbusto","PACA064895",NA,"Magnoliophyta","Myrtales",NA,NA,"Magnoliatae",NA,NA,NA,"19684","auto",NA,NA,NA
"26","2019-08-27 13:31:18-03","IAP","PACA-AGP","55481","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D. Legrand","M. Sobral","2002","07",NA,"Reitz, R.","3139a","1949","11","02","Brasil","SC","Brusque","Mata da Azambuja","-48.9174995422363","-27.0981006622314",NA,NA,"50","50","4m de altura. HBR 4938. Habitat: in dumetosis secundariis Fenofase: flor Hábito: arbusto","PACA055481",NA,"Magnoliophyta","Myrtales",NA,NA,"Magnoliatae",NA,NA,NA,"19684","auto",NA,NA,NA
"27","2019-08-27 13:31:18-03","IAP","PACA-AGP","50355","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","catharinensis","Eugenia catharinensis","D. Legrand","J. Mattos",NA,NA,NA,"Rambo, B.",NA,"1951","07","18","Brasil","SC","Florianópolis","ad montem Cambirela","-48.5491981506348","-27.596700668335",NA,NA,NA,NA,"Habitat: in silvula rupestri Fenofase: flor","PACA050355",NA,"Magnoliophyta","Myrtales",NA,NA,"Magnoliatae",NA,NA,NA,"27000","auto",NA,NA,NA
