"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","fieldNumber","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","class","order","recordNumber","year","month","day","continentOcean","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","geoFlag","phylum","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2015-11-07 07:16:14-02","MNHN","RECOLNAT_MNHN_P","P01902766","PreservedSpecimen","Myrtaceae","Eugenia","sphenoides","Eugenia sphenoides","O.Berg","Mazine-Capelo","isotype","Sellow, F.","1070","Brésil","Brasilia","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902766' target='other'> <mi>dwc_moreinfo</mi></a>","P01902766","P01902766_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-11-07 07:16:21-02","MNHN","RECOLNAT_MNHN_P","P01902767","PreservedSpecimen","Myrtaceae","Eugenia","sphenoides","Eugenia sphenoides","O.Berg","Mazine-Capelo","isotype","Sellow, F.","1070","Brésil","Brasilia","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902767' target='other'> <mi>dwc_moreinfo</mi></a>","P01902767","P01902767_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2325791","PreservedSpecimen","Myrtaceae","Eugenia","sphenoides","Eugenia sphenoides","O. Berg",NA,NA,"L. Smith & R. M. Klein",NA,"Brazil","26 km N of Curitibanos (Estrada deRodagem Federal 258)",NA,NA,"US01898754","US01898754_01 US01898754_02","Plantae","Dicotyledonae","Myrtales","8367","1956","12","6","South America - Neotropics","Santa Catarina","Curitibanos","-50.584400177002","-27.2828006744385","25987","850","950","1","auto",NA,NA,NA,NA
"4","2019-11-22 16:09:15-03","UEFS","HUEFS","87328","PreservedSpecimen","Myrtaceae","Eugenia","sphenoides","Eugenia sphenoides","O.Berg",NA,"Tipo",NA,NA,"Brasil",NA,NA,NA,"HUEFS0087328",NA,"Plantae","Rosanae","Myrtales",NA,NA,NA,NA,NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"Angiospermae",NA,NA,NA
"5","2019-09-04 18:49:17-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Myrtaceae","Eugenia","sphenoides","Eugenia sphenoides",NA,NA,"Isotype","F. Sellow",NA,"Brazil",NA,NA,NA,NA,NA,"Plantae","Dicotyledoneae",NA,NA,NA,NA,NA,"South America",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA
"6","2019-01-23 11:00:40-02","F","FMNH-SEEDPLANTS","V0065319F","PreservedSpecimen","Myrtaceae","Eugenia","sphenoides","Eugenia sphenoides",NA,NA,"Isotype","F. Sellow",NA,"Brazil",NA,NA,NA,"V0065319F","V0065319F_01","Plantae","Dicotyledoneae",NA,NA,NA,NA,NA,"South America",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA
"7","2016-08-23 10:59:57-03","NHMLondon","NHM-LONDON-BOT","BM000799563","S","Myrtaceae","Eugenia","sphenoides","Eugenia sphenoides","O.Berg",NA,"Type","F. Sellow",NA,"Brasil",NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/8168b41f0192dff4e52c6bc7bc5e227aafd235e4/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Plantae",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109","NHMUK:ecatalogue:4991657"
"8","2017-09-11 17:11:14-03","UnB","HBVIRTFLBRAS",NA,"O","Myrtaceae","Eugenia","sphenoides","Eugenia sphenoides","O.Berg",NA,NA,"Sellow, F",NA,"Brazil",NA,NA,"Oreas; HABITAT: Oreas",NA,NA,"Plantae",NA,NA,"s.n.",NA,NA,NA,"Southern America","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
