"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","country","stateProvince","locality","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag"
"1","2019-11-13 11:21:11-03","USP","SPF","67240","PreservedSpecimen","Plantae","Lauraceae","Ocotea","inhauba","Ocotea inhauba","Coe-Teix.","Baitello, JB","1998","04","15","isotype","Schwebel, E","s.n.","1917","10","Brasil","São Paulo","Alto da Serra","Ex Serv. Florestal da Cia. Paulista de Estr. de Ferro, nº 82. Ex SP1280.","SPF00067240",NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:07:31-03","IBt","SP","1280","S","Plantae","Lauraceae","Ocotea","inhauba","Ocotea inhauba","Coe-Teix.","Rohwer, JG","1983",NA,NA,"Holotype","Schwebel, E","s.n.","1917","10","Brasil","São Paulo","Alto da Serra","Ex Serviço Florestal da Cia. Paulista de estrada de Ferro nº 82","SP000844","Santo André","-46.5299987792969","-23.6599998474121","27258","SP000844","auto"
