"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","recordNumber","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:32-03","UNESC","CRI","15242","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","Altamir Rocha Antunes","2020","03","10","Altamir Rocha Antunes; Iara Zaccaron Zanoni","2020","03","10","Brasil","Santa Catarina","Nova Veneza","São Bonifácio. Coletada em borda de mata, ao lado da igreja.","-49.593611","-28.72","49º35'37''W","28º43'12''S","44","44","Fruto vagem, cor verde. Planta cultivada. Habito: Arbóreo","CRI014657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","15241","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","Altamir Rocha Antunes","2020","03","10","Altamir Rocha Antunes; Iara Zaccaron Zanoni","2020","03","10","Brasil","Santa Catarina","Nova Veneza","São Bonifácio. Coletada em borda de mata, ao lado da igreja.","-49.593611","-28.72","49º35'37''W","28º43'12''S","44","44","Fruto vagem, cor verde. Planta cultivada. Habito: Arbóreo","CRI014656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:32-03","UNESC","CRI","15244","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","Altamir Rocha Antunes","2020","03","10","Altamir Rocha Antunes; Iara Zaccaron Zanoni","2020","03","10","Brasil","Santa Catarina","Nova Veneza","São Bonifácio. Coletada em borda de mata, ao lado da igreja","-49.593611","-28.72","49º35'37''W","28º43'12''S","44","44","Fruto vagem, cor verde. Planta cultivada. Habito: Arbóreo","CRI014659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:32-03","UNESC","CRI","15243","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","Altamir Rocha Antunes","2020","03","10","Altamir Rocha Antunes; Iara Zaccaron Zanoni","2020","03","10","Brasil","Santa Catarina","Nova Veneza","São Bonifácio. Coletada em borda de mata, ao lado da igreja.","-49.593611","-28.72","49º35'37''W","28º43'12''S","44","44","Fruto vagem, cor verde. Planta cultivada. Habito: Arbóreo","CRI014658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:32-03","UNESC","CRI","15240","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","Altamir Rocha Antunes","2020","03","10","Altamir Rocha Antunes; Iara Zaccaron Zanoni","2020","03","10","Brasil","Santa Catarina","Nova Veneza","São Bonifácio. Coletada em borda de mata, ao lado da igreja.","-49.593611","-28.72","49º35'37''W","28º43'12''S","44","44","Fruto vagem, cor verde. Planta cultivada. Habito: Arbóreo","CRI014655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:41-03","E","E","212422","PreservedSpecimen","Plantae","Leguminosae","Inga","edulis","Inga edulis",NA,NA,NA,NA,NA,"Davidse, G.","1973","11","26","VE","Miranda",NA,"36 km ESE of Santa Teresa in Parque Nacional Guatopo.",NA,NA,NA,NA,"500","500","<a href=http://data.rbge.org.uk/herb/E00212422 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212422","4506","W. Tropical South America","herbarium specimen of unspecif","BGBASE:226814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:40:41-03","E","E","326276","PreservedSpecimen","Plantae","Leguminosae","Inga","edulis","Inga edulis",NA,NA,NA,NA,NA,"Matthews, Andrew","1905","01","08","PE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00326276 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326276","1595","W. Tropical South America","herbarium specimen of unspecif","BGBASE:369562","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","408876","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","O. Poncy",NA,NA,NA,"R. P. Belém","1965","09","09","Brazil","Bahia","Santa Luzia","Margem da Rodovia Camacan - Canavieira, 70km W de Canavieiras. Plantaçao de cacau","-39.3342","-15.4294",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408876","1761","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY00408876_01",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01179215","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","A. S. L. da Silva",NA,NA,NA,"G. T. Prance","1971","03","01","Brazil","Roraima",NA,"Vicinity Uaicá airstrip, Rio Uraricoeira.","-63.183333","3.55",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1313717' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179215","10793","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01179215_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01179249","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","W. A. Ducke",NA,NA,NA,"W. A. Archer",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388201' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179249","8002","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","389172","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","O. Poncy",NA,NA,NA,"B. M. Boom","1982","10",NA,"French Guiana",NA,NA,NA,NA,NA,NA,NA,"200","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389172","2052","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","389175","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","O. Poncy",NA,NA,NA,"N. Marshall","1987","08",NA,"French Guiana",NA,NA,NA,NA,NA,NA,NA,"200","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389175","183","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
