"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","typeStatus","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1144635","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","R. C. Forzza","3650","2004","11","23","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual da Serra do Ibitipoca, Mata da Portaria.","-43.9","-21.72","1450","1450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1297147' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144635","NY01144635_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1039645","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","M. L. Brotto","279","2009","01","22","South America","Brazil","Paraná","Quatro Barras","Parque Estadual Serra da Baitaca.","-49.0183","-25.38","960",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488679' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039645","NY01039645_01","M. L. Brotto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02423566","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","M. L. Brotto","730","2011","07","09","South America","Brazil","Paraná","Sao José dos Pinhais","Serra do Salto","-49.0892","-25.7419","1082",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669062' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423566","NY02423566_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1039646","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","M. L. Brotto","280","2009","01","22","South America","Brazil","Paraná","Quatro Barras","Parque Estadual Serra da Baitaca.","-49.0183","-25.38","960",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488680' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039646","NY01039646_01","M. L. Brotto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1039648","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","M. L. Brotto","285","2009","02","10","South America","Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas.","-48.7178","-24.8583","900",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488683' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039648","NY01039648_01","M. L. Brotto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1144638","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","R. C. Forzza","3714","2004","11","25","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual da Serra do Ibitipoca, mata em frente a Casa do Pesquisador","-43.87","-21.68","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1297153' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144638","NY01144638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02423574","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","M. L. Brotto","603","2011","04","16","South America","Brazil","Paraná","Ponta Grossa","Escarpa da Fortaleza","-49.98475","-25.230047","1035",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669084' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423574","NY02423574_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1039670","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","M. L. Brotto","410","2009","12","29","South America","Brazil","Paraná","Curitiba","Bairro Uberaba.","-49.2128","-25.485","912",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488749' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039670","NY01039670_01","M. L. Brotto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02423563","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","M. L. Brotto","643","2011","04","18","South America","Brazil","Paraná","Telêmaco Borba","Próximo ao rio Tibagi","-50.542922","-24.414392","690",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669050' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423563","NY02423563_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02423613","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","C. T. Blum","11-037","2011","02","20","South America","Brazil","Paraná","Tijucas do Sul","Remanescentes florestais marginais à represa de Vossoroca","-49.0775","-25.8347","890",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669389' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423613","NY02423613_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-24 17:10:45-03","UTFPR","DVPR","3183","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo","Brotto, ML; Silva, JM; Mello, MCH","1761","2014","08","26",NA,"Brasil","Paraná","Adrianópolis","Parque Estadual das Lauráceas","-48.4245","-24.5118","868","868",NA,"Àrvore 18 m, frutos imaturos verdes.; Floresta Ombrófila Densa Montana","DVPR003183",NA,"Brotto, ML","2014","09","09","-48.4245","-24.5118",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:39:18-03","EAO","IAN","186924","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo","Vieira, AOS","662","1999","10","16","Southern America","Brasil","Paraná","Curiúva","Fazenda Torre Alta.","-50.4583015441895","-24.0324993133545",NA,NA,NA,"Árvore 6 m ,botões florais verdes ,beira da mata.","IAN186924",NA,"Baitello, JB","1999",NA,NA,NA,NA,"23566","auto",NA,NA,NA,NA,NA
"13","2020-01-20 14:40:34-03","UPM","MACK","1573","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","A. Buccaran","A168","2011","07","05",NA,"Brasil","SP","Campos do Jordão","Floresta Ombrófila Mista","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,"J. Baitello",NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA
"14","2020-01-20 14:40:31-03","UPM","MACK","406","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","M. J. Robim","343","1985","11","21",NA,"Brasil","SP","Campos do Jordão","Região do Pau Arcado, Mata Latifoliada","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,"J. B. Baitello","1999","02","23",NA,NA,"21048","auto",NA,NA,NA,NA,NA
"15","2019-12-04 15:26:04-03","PUCPR","HUCP","19920","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil.","Brotto, M","152","2008","06","17",NA,"Brasil","Paraná","Guaratuba",NA,"-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"HUCP00012757","HUCP00012757","Brotto, M",NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA
"16","2019-12-04 15:26:04-03","PUCPR","HUCP","19740","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil.","Selusniaki, M; Ariati, V","2120","2008","06","14",NA,"Brasil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"HUCP00012820","HUCP00012820","Selusniaki, M",NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA
"17","2019-12-04 15:26:04-03","PUCPR","HUCP","23324","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil.","Silva, JM; Cordeiro, J","8678","2014","11","04",NA,"Brasil","Paraná","Piraquara","Caminho Trentino","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"HUCP00012908","HUCP00012908","Brotto, M",NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA
"18","2019-12-04 15:26:05-03","PUCPR","HUCP","23631","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil.","Dunaiski, A","046","1991","01","09",NA,"Brasil","Paraná","Quatro Barras",NA,"-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"HUCP00012699","HUCP00012699","Brotto, M",NA,NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA
"19","2019-12-04 15:26:04-03","PUCPR","HUCP","13105","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil.","Ruas, PM","s.n.","1988","12","04",NA,"Brasil","Paraná","Jaguaraíva",NA,NA,NA,NA,NA,NA,"Nº 5923.","HUCP00012711","HUCP00012711","Baitello, JB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-04 15:26:05-03","PUCPR","HUCP","23553","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil.","Dunaiski, A","969","1998","11","29",NA,"Brasil","Paraná","Campo Largo",NA,"-49.5283012390137","-25.4585990905762",NA,NA,NA,NA,"HUCP00012686","HUCP00012686","Brotto, M",NA,NA,NA,NA,NA,"53742","auto",NA,NA,NA,NA,NA
"21","2019-12-04 15:26:05-03","PUCPR","HUCP","23630","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil.","Dunaiski, A","2192","2003","12","21",NA,"Brasil","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"HUCP00012751","HUCP00012751","Brotto, M",NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA
"22","2019-12-04 15:26:05-03","PUCPR","HUCP","23617","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil.","Dunaiski, A","2254","2004","01","17",NA,"Brasil","Paraná","São José dos Pinhais","Cunhãy","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"HUCP00012786","HUCP00012786","Brotto, M",NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA
"23","2020-02-08 09:36:12-03","NBC","NL-BOTANY","U.1416758","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo","Custodio Filho A",NA,"1984","01","04","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1416758 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1416758","NL-U1416758","Baitello JB","1997","07","01",NA,NA,NA,NA,"Magnoliopsidae","U 0038329",NA,NA,NA
"24","2020-11-04 11:12:03-03","ESALQ","ESA","14492","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","Silva, J.M. ; Poliquesi C.B.","917.0","1991","01","08",NA,"Brasil","Paraná","Quatro Barras",NA,"-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"ESA014492",NA,"Baitello, J.B.",NA,NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA
"25","2020-11-04 11:12:03-03","ESALQ","ESA","31609","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","Delgado et al.",NA,"1995","04","07",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA031609",NA,"Baitello, J.B.",NA,NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA
"26","2020-11-04 11:12:03-03","ESALQ","ESA","7136","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","Moraes, P.L.R.","626.0","1992","01","17",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"ESA007136",NA,"Baitello, J.B.",NA,NA,NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA
"27","2020-11-04 10:56:01-03","ESALQ","ESA","136326","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","V.S. Moreno",NA,"2013","10","24",NA,"Brasil","Minas Gerais","Poços de Caldas",NA,"-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,"ESA136326",NA,"V.S. Moreno","2014",NA,NA,NA,NA,"23696","auto",NA,NA,NA,NA,NA
"28","2020-11-04 11:12:03-03","ESALQ","ESA","69574","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","Silva, J.M. et al.","1966.0","1997","09","18",NA,"Brasil","Paraná","Tijucas do Sul",NA,"-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"ESA069574","ESA069574","Brotto, M.L.","2017","02","02",NA,NA,"25228","auto",NA,NA,NA,NA,NA
"29","2020-11-04 11:12:03-03","ESALQ","ESA","18710","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo","Andrade, P.M. et al.","970.0","1989","01","24",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"ESA018710",NA,"Assis, L.C.S","2006",NA,NA,NA,NA,"30417","auto",NA,NA,NA,NA,NA
"30","2020-11-04 11:12:03-03","ESALQ","ESA","68899","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","Moraes, P.L.R.","2386.0","2001","02","01",NA,"Brasil","São Paulo","Jundiaí",NA,"-46.8800010681152","-23.1800003051758",NA,NA,NA,NA,"ESA068899","ESA068899","Baitello, J.B.",NA,NA,NA,NA,NA,"17840","auto",NA,NA,NA,NA,NA
"31","2020-11-04 11:12:03-03","ESALQ","ESA","9772","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vatt.","Andrade, P.M. et al.","816.0","1986","10","16",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"ESA009772",NA,"Moraes, P. L. R.",NA,NA,NA,NA,NA,"30417","auto",NA,NA,NA,NA,NA
"32","2020-11-04 11:12:03-03","ESALQ","ESA","9741","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","bicolor","Ocotea bicolor","Vattimo-Gil","Andrade, P.","864.0","1986","12","18",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"ESA009741",NA,"Moraes, P.L.R.",NA,NA,NA,NA,NA,"30417","auto",NA,NA,NA,NA,NA
