"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","class","infraspecificEpithet","fieldNumber","relatedCatalogItem","sex"
"17","2021-03-15 16:37:00-03","NY","NYBG","447500","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","L. P. de Queiroz","2604","1992","01","31","South America","Brazil","Bahia","Feira de Santana","Campus da UEFS, Módulo VI.","-38.97","-12.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601498' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447500","NY00447500_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1280135","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","G. Pereira-Silva","3638","1996","09","21","South America","Brazil","Bahia","Jacobina","Rodovia Jacobina - Campim Grosso km 41.","-40.13","-11.6","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1592570' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280135","NY01280135_01","J. D. Mitchell; D. C. Daly","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01093259","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","H. C. de Lima","2883","1987","05","06","South America","Brazil","Rio de Janeiro","Cabo Frio","Estrada nova para Buzios, Baia Formosa, entrada para o Capão da Pedra. Fazenda do Senhor Henrique Massala.","-42.0183","-22.8794","sheet","Estudos de Áreas Remanescentes de Pau Brasil, Expediação - I, RJ, ES e BA. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1231082' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093259","NY01093259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","447497","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","D. S. D. de Araújo","7828","1987","05","13","South America","Brazil","Rio de Janeiro","Sao Pedro da Aldeia","Serra de Sapiatiba, à beira da estrada que vai a torre da TELERJ.","-42.1028","-22.8394","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447497","NY00447497_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","886704","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","D. B. O. S. Cardoso","1935","2007","05","22","South America","Brazil","Bahia","Anguera","Fazenda Retiro, ca. 18 km de Feira de Santana na Estrada do Feijão sentido Ipirá.","-39.1839","-12.1617","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886704","NY00886704_01",NA,"300","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","447503","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","J. Rimoli","17681",NA,NA,NA,"South America","Brazil","Minas Gerais","Caratinga","EBC.","-42.1392","-19.7897","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447503","NY00447503_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","447501","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","G. L. Farias","40","1984","11","12","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. Gávea, ant. X-2, km 23,532, lado direito.","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601497' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447501","NY00447501_01","J. D. Mitchell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","885912","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","C. Farney","4292","2000","11","09","South America","Brazil","Rio de Janeiro","Saquarema","Palmital, Mata de encosta. Limites propriedade Erminda Machado/Hotel Fazenda Serra da Castelhana.","-42.5103","-22.9203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885912","NY00885912_01","D. C. Daly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","02431761","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","G. L. Farias","37","1984","11","12","South America","Brazil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976668' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431761","NY02431761_01",NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","02431762","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","J. Spada","1/77","1977","11","04","South America","Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Ao lado do escritório Talhão 507. estrada Flamengo.","-40.0722007751465","-19.3910999298096","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976669' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431762","NY02431762_01",NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
