"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","class","order","typeStatus","relatedCatalogItem","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","individualCount"
"1","2021-03-30 12:45:56-03","EAO","IAN","183291","PreservedSpecimen","Plantae","Dicotiledônea","Myrtaceae","Myrceugenia","franciscensis","Myrceugenia franciscensis","(O.Berg) Landrum","Kawasaki, ML","1995","04","Souza, VC; Miyagi, PH; Souza, JP","7361","1994","11","14","Southern America","Brasil","São Paulo","Itararé","Estrada Itararé-Bom Sucesso. Fazenda Sta. Maria do Espinho. Campo natural com banhado e mata ciliar adjacentes. Beira da mata.","-49.263056","-24.261667","-49.263056","-24.261667","Arbusto, ca. 3m de altura; petalas e estames alvos.","IAN183291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:25:31-03","PUCPR","HUCP","22729","S","Plantae","Eudicotiledonea","Myrtaceae","Myrceugenia","franciscensis","Myrceugenia franciscensis","(O. Berg) Landrum.","Lozano, E",NA,NA,"Lozano, E; Scholz, I","175","2009","11","07",NA,"Brasil","Paraná","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465",NA,NA,NA,"HUCP00015157","55154","HUCP00015157","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:06:43-03","NBC","NL-BOTANY","U 0005086","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrceugenia","franciscensis","Myrceugenia franciscensis","(O.Berg) Landrum","Landrum LR",NA,NA,"Hatschbach GG",NA,"1968","03","24","Southern America","Brazil","Paraná",NA,"Barra Rio das Mortes (mun. Jaguariaiva) Paraná",NA,NA,NA,NA,"margens de rio.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005086 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0005086",NA,"NL-U0005086",NA,"Magnoliopsidae","Myrtales","isotype","52266",NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:06:43-03","NBC","NL-BOTANY","WAG.1116148","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrceugenia","franciscensis","Myrceugenia franciscensis","(Berg) Landrum",NA,NA,NA,"Silva JM; Cordeiro J",NA,"1988","04","12","Southern America","Brazil",NA,NA,"Morro Mãe Catira (mun. Quatro Barras) Paraná.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1116148 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1116148",NA,"NL-WAG1116148",NA,"Magnoliopsidae","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 10:56:24-03","ESALQ","ESA","135600","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrceugenia","franciscensis","Myrceugenia franciscensis","(O. Berg) Landrum","Meireles, L.D.","2020","09","C.P. Caliari","2160.0","2009","03","19",NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,"ESA135600","55628",NA,"auto",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA
"6","2020-11-04 11:14:43-03","ESALQ","ESA","15764","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrceugenia","franciscensis","Myrceugenia franciscensis","(O.Berg) Landrum","Landrum, L.R.",NA,NA,"Souza, V.C.; Sakuragui, C.M.; Scaramuzza, C.A.M.; Fina, B.G.; Rolim, G.S.; Shimabukuro, M.T.","2373.0","1993","02","19",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,"ESA015764","27729",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:43-03","ESALQ","ESA","35447","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrceugenia","franciscensis","Myrceugenia franciscensis","(O.Berg) Landrum","Kawasaki, M.L.",NA,NA,"Souza, V.C.; Miyagi, P.H.; Souza, J.P.; Nakagomi, M. Y.","7361.0","1994","11","14",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,"ESA035447","27729",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:14:43-03","ESALQ","ESA","21064","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrceugenia","franciscensis","Myrceugenia franciscensis","(O.Berg) Landrum","Kawasaki, M.L.",NA,NA,"Souza, V.C.; Miyagi, P.H.; Souza, J.P.; Nakagomi, M. Y.","7361.0","1994","11","14",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,"ESA021064","27729",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:43-03","ESALQ","ESA","19254","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrceugenia","franciscensis","Myrceugenia franciscensis","(O.Berg) Landrum","Souza, V.C. & Souza, J.P.",NA,NA,"Miyagi, P.H.; Zandoval, J.A.; Souza, J.P.","357.0","1995","02","12",NA,"Brasil","São Paulo","Itararé","Fazenda Ibiti (Ripasa) . Beira de estrada Itararé - Bonsucesso de Itararé. Campo com mata ciliar perturbada adjacente.","-49.3400001525879","-24.1100006103516",NA,NA,"Arbusto, 2,5 - 3,0 m alt. Frutos verdes. Mata.","ESA019254","27729",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:14:43-03","ESALQ","ESA","12465","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrceugenia","franciscensis","Myrceugenia franciscensis","(O.Berg) Landrum","Souza, V.C. & Souza, J.P.",NA,NA,"Souza, V.C. et al.","4729.0","1993","11","27",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,"ESA012465","27729",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
